name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
Newport HS,63,35,35,39,4,0
Norristown Area HS,304,247,239,247,0,8
Norristown Area SD,13,0,0,0,0,0
North Allegheny HS,657,502,502,502,0,0
North Allegheny SD,5,0,0,0,0,0
North Clarion Co JSHS,37,28,28,28,0,0
North East HS,119,76,74,79,3,2
North Hills SHS,381,322,319,331,9,3
North Penn SD,18,6,5,7,1,1
North Penn SHS,1047,926,922,942,16,4
North Penn-Liberty JSHS,42,27,27,29,2,0
North Penn-Mansfield JSHS,95,52,52,60,8,0
North Pocono HS,214,162,161,164,2,1
North Schuylkill JSHS,129,79,79,82,3,0
North Star HS,72,40,36,43,3,4
Northampton Area HS,396,321,316,328,7,5
Northampton Area SD,1,0,0,0,0,0
Northeast Bradford JSHS,76,43,42,47,4,1
Northeast HS,631,0,0,0,0,0
Northeastern SHS,221,142,138,146,4,4
Northeastern York SD,5,0,0,0,0,0
Northern Bedford Co MS/SHS,61,33,30,38,5,3
Northern Cambria HS,89,51,51,51,0,0
Northern HS,236,160,157,165,5,3
Northern Lebanon SD,4,0,0,0,0,0
Northern Lebanon SHS,150,101,93,101,0,8
Northern Lehigh SD,2,0,0,0,0,0
Northern Lehigh SHS,128,77,75,79,2,2
Northern Potter JSHS,44,17,15,17,0,2
Northern York County SD,9,0,0,0,0,0
Northgate MSHS,72,54,54,54,0,0
Northgate SD,1,0,0,0,0,0
Northwest Area HS,63,44,44,47,3,0
Northwest Area SD,2,0,0,2,2,0
Northwest PA Collegiate Academy,186,185,184,186,1,1
Northwestern  SD,1,0,0,0,0,0
Northwestern Lehigh HS,171,136,135,136,0,1
Northwestern Lehigh SD,5,0,0,0,0,0
Northwestern SHS,108,66,58,76,10,8
Norwin SD,4,0,0,0,0,0
Norwin SHS,412,335,329,340,5,6
Octorara Area JSHS,183,130,118,131,1,12
