Unnamed: 0,Unnamed: 1,Unnamed: 2,2021 Keystone Grade 11 - School Level Proficiency Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, EL students who were enrolled for less than one year in a school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,
,,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,,
,,,** Note that fewer students participated in Keystone Exams than in past years. A comparison to 2018-19 is included in the table below to demonstrate that difference. 2021 results may not reflect representative samples of the schools' students. Cross-year comparisons of proficiency are likely to be inaccurate for this reason.   ,,,,,,,,,,,
,,,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Difference in Number Scored From 2019,Percent Reduction From 2019,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,11,23,-39,-0.6290322580645161,26.1,30.4,4.3,39.1
103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,All Students,11,5,-109,-0.956140350877193,,,,
103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,Historically Underperforming,11,5,-56,-0.9180327868852459,,,,
103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Algebra I,All Students,11,172,26,0.1780821917808219,14.5,44.8,26.2,14.5
103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Algebra I,Historically Underperforming,11,64,16,0.3333333333333333,7.8,28.1,31.3,32.8
103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Biology,All Students,11,173,21,0.13815789473684212,24.3,41,18.5,16.2
103023153,000000144,Allegheny,ELIZABETH FORWARD SD,ELIZABETH FORWARD SHS,Biology,Historically Underperforming,11,65,9,0.16071428571428573,9.2,32.3,21.5,36.9
103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Algebra I,All Students,11,13,2,0.18181818181818182,0,7.7,46.2,46.2
103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Algebra I,Historically Underperforming,11,8,0,0,,,,
103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Biology,All Students,11,12,1,0.09090909090909091,16.7,16.7,25,41.7
103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Biology,Historically Underperforming,11,6,-2,-0.25,,,,
103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Literature,All Students,11,11,3,0.375,0,36.4,18.2,45.5
103023807,000005016,Allegheny,FORBES ROAD CTC,FORBES ROAD CTC,Literature,Historically Underperforming,11,8,2,0.3333333333333333,,,,
103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Algebra I,All Students,11,315,-21,-0.0625,55.2,31.4,10.8,2.5
103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Algebra I,Historically Underperforming,11,73,-36,-0.3302752293577982,26,35.6,28.8,9.6
103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Biology,All Students,11,241,-94,-0.28059701492537314,74.3,23.2,2.5,0
103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Biology,Historically Underperforming,11,32,-76,-0.7037037037037037,53.1,40.6,6.3,0
103023912,000000156,Allegheny,FOX CHAPEL AREA SD,FOX CHAPEL AREA HS,Literature,All Students,11,2,-330,-0.9939759036144579,,,,
103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Algebra I,All Students,11,176,-38,-0.17757009345794392,28.4,34.7,26.1,10.8
103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Algebra I,Historically Underperforming,11,66,-42,-0.3888888888888889,13.6,31.8,31.8,22.7
103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Biology,All Students,11,95,-120,-0.5581395348837209,66.3,13.7,9.5,10.5
103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Biology,Historically Underperforming,11,33,-76,-0.6972477064220184,39.4,9.1,21.2,30.3
103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Literature,All Students,11,57,-155,-0.7311320754716981,45.6,50.9,3.5,0
103024102,000000170,Allegheny,GATEWAY SD,GATEWAY SHS,Literature,Historically Underperforming,11,12,-94,-0.8867924528301887,16.7,66.7,16.7,0
103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,All Students,11,238,7,0.030303030303030304,43.3,43.7,10.5,2.5
103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,Historically Underperforming,11,39,0,0,17.9,46.2,23.1,12.8
103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,All Students,11,208,-23,-0.09956709956709957,56.3,36.1,7.7,0
103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,Historically Underperforming,11,21,-18,-0.46153846153846156,33.3,47.6,19,0
