Ctgy,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,"Actual
Instruction Expense (AIE)","Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,108110603.0,Blacklick Valley SD,Cambria,5675661.83,3595377.87,360072.1,9631111.8,,760713.0,10391824.8,6261903.57,3836175.19,1503321.29,279724.0,36781.35,19660.0,,,,528938.99,270113.94,726892.97,118725.25,245736.45,827382.38,790488.01,85836.83,1263.05
1.0,108111203.0,Cambria Heights SD,Cambria,12380225.8,6488106.87,551859.98,19420192.65,554528.28,1030159.61,21004880.54,14291556.43,8419384.87,2555181.37,852801.13,381539.21,,,,171319.22,690118.03,286526.28,1274320.0,240004.76,215876.09,1981878.42,1569183.16,226895.79,3304.34
1.0,108111303.0,Central Cambria SD,Cambria,13395802.22,7478292.81,514847.71,21388942.74,,3304779.35,24693722.09,14979414.5,9783070.85,2860688.95,536384.88,215657.54,,,,,895965.49,827702.45,1490909.58,435061.86,328772.95,2084413.85,1296458.67,112506.11,6501.85
1.0,108111403.0,Conemaugh Valley SD,Cambria,6340365.26,3818344.11,385769.66,10544479.03,,854478.18,11398957.21,7178715.99,3955231.64,1467718.85,453815.69,244575.94,1125.0,,,217898.14,213266.66,254775.14,876262.47,98514.22,297502.17,1191625.28,876233.45,8413.2,1751.52
1.0,108112003.0,Ferndale Area SD,Cambria,7147646.54,3932171.26,256289.74,11336107.54,,,11336107.54,7933016.84,5101822.77,1615656.34,202655.04,36311.62,7835.41,,,183365.36,457222.16,395774.98,1233473.44,136107.03,379866.5,616115.61,712132.88,529.95,948.71
1.0,108112203.0,Forest Hills SD,Cambria,15624098.51,7661842.15,847299.57,24133240.23,,1119752.36,25252992.59,17045223.27,11154426.89,2974287.01,1185156.57,82196.47,,,,228031.57,789314.83,995780.38,1559242.59,364245.24,324541.02,2143801.22,1376736.17,,108180.7
1.0,108112502.0,Greater Johnstown SD,Cambria,30159624.12,12068274.33,1038388.55,43266287.0,111596.0,5044658.62,48422541.62,26875256.43,19296780.89,7413379.09,1626872.32,499660.03,97254.92,,242563.0,983113.87,1078208.17,1210408.35,2728539.34,351004.8,634118.57,3256005.16,2345989.14,64888.65,399112.15
1.0,108114503.0,Northern Cambria SD,Cambria,10447996.28,5190928.17,408098.15,16047022.6,,989150.25,17036172.85,11128036.12,7905215.39,2025756.56,250329.56,156589.18,17345.0,,,92760.59,637502.36,449982.14,1002014.94,237305.41,250495.61,1436449.62,1175081.05,,2097.04
1.0,108116003.0,Penn Cambria SD,Cambria,14287064.78,7390168.04,565250.46,22242483.28,32018.88,1563960.74,23838462.9,15331995.15,9545666.35,3953794.65,489593.1,101409.79,37242.26,,,159358.63,629617.97,756128.46,1606878.11,334229.8,294939.57,1959452.36,1497481.44,306775.46,4664.87
1.0,108116303.0,Portage Area SD,Cambria,7120128.89,4284282.18,655162.68,12059573.75,,954527.51,13014101.26,8298232.69,5377510.31,1110704.78,319837.5,96312.16,,,,215764.14,390775.14,571624.89,935594.49,243235.36,337242.5,1080931.09,637606.64,85526.6,1745.47
