AUN,School District,County,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09
114069353.0,Wyomissing Area SD,Berks,26349341.1,26835645.46,26582870.97,25557861.58,24952743.49,22628966.95,21841301.97,21284152.6,20363988.75,20867313.69,20335594.5,20718792.38,20537239.84
108070502.0,Altoona Area SD,Blair,66736277.77,67319592.68,70390632.41,66102540.72,62261433.78,59575617.2,57591547.6,54202714.17,53378674.04,49903351.47,50416784.07,51201705.45,53162789.32
108071003.0,Bellwood-Antis SD,Blair,12386282.55,12034717.56,11598054.52,10951328.0,10720222.73,10440590.92,10191467.49,11820825.1,10863226.2,10009963.09,10612346.34,10043965.88,9966292.93
108071504.0,Claysburg-Kimmel SD,Blair,8418037.24,7882274.39,8244528.49,7535387.41,7180082.64,6710725.2,6554828.86,6532231.89,6672695.56,6584771.26,6851065.84,6752359.47,6583805.06
108073503.0,Hollidaysburg Area SD,Blair,34439244.83,36018580.04,33416969.16,32609114.61,31361727.1,30531883.68,29671758.48,29491859.17,29470684.59,28814219.34,30256827.2,29018563.33,28573591.67
108077503.0,Spring Cove SD,Blair,16857660.75,16048970.96,15378784.89,15475779.47,15581725.84,15474464.8,14908073.62,14203172.31,14532209.76,14057986.39,16347517.87,16610909.73,13316191.05
108078003.0,Tyrone Area SD,Blair,16445959.91,16037257.42,16546834.47,15110766.39,14215145.03,13730295.57,13760373.73,13007704.39,12970981.87,11977408.29,12730654.96,13191625.94,12089529.84
108079004.0,Williamsburg Community SD,Blair,5191508.41,4938313.68,4587001.24,4705040.13,4637239.44,4451383.86,4639753.76,4641184.62,4327255.64,4381377.3,4448708.56,4446648.33,4503723.44
117080503.0,Athens Area SD,Bradford,24951222.39,24755575.13,24550493.65,23372016.12,23553908.75,21555887.28,22097322.51,21619670.98,21201016.92,20256347.7,20978873.35,20801814.85,20423703.38
117081003.0,Canton Area SD,Bradford,10045801.3,10223473.65,9932939.58,9791209.2,9582351.7,9501511.46,9113314.82,9390328.72,9077806.39,8773178.01,9256678.85,9194501.84,9569182.92
117083004.0,Northeast Bradford SD,Bradford,9427570.1,9861480.86,9234377.65,9117842.4,9822394.63,9733834.52,8463468.7,8973868.87,8530196.11,7979633.1,7734182.12,7522288.28,7172156.52
117086003.0,Sayre Area SD,Bradford,12900838.22,13074413.3,12990597.88,12731443.27,13969315.34,13657648.53,13624540.5,13382574.46,12437201.2,11836602.64,12364751.65,11047962.8,10826366.09
117086503.0,Towanda Area SD,Bradford,18236148.26,17483472.85,17458367.1,16965882.54,15449516.84,14263744.67,13249625.39,13332517.26,13360094.07,11730453.86,12496130.05,11844348.48,11659365.52
117086653.0,Troy Area SD,Bradford,16614241.8,16324830.75,15604970.38,14915458.81,14025792.5,13542783.79,14033895.57,13505667.67,13235943.22,12827657.45,13523929.84,12694808.68,12319253.43
117089003.0,Wyalusing Area SD,Bradford,15124983.7,14511311.66,13784820.39,13471966.7,13497720.71,13387971.77,12955163.25,12995400.67,14027980.79,13497725.46,15291115.49,20626437.26,13907970.97
122091002.0,Bensalem Township SD,Bucks,106783431.86,110108562.56,105624504.11,105577860.25,107936813.3,100513765.08,97509607.54,92945579.91,88463203.54,88500692.95,85973999.85,87889606.57,91895049.72
122091303.0,Bristol Borough SD,Bucks,16780678.31,17625029.22,17251181.37,16223286.8,15961960.19,16727243.85,15810509.76,15063850.82,15354032.52,14207917.04,14420737.85,13841701.23,13531195.82
122091352.0,Bristol Township SD,Bucks,96348331.7,94898346.58,96123785.4,93443242.44,92137594.97,92720438.49,93163955.33,95690208.12,90891356.7,89496590.15,90188858.81,82823425.62,80636220.11
122092002.0,Centennial SD,Bucks,87021066.71,87817535.23,85749736.0,83271465.78,76690892.56,75500921.15,75304260.83,72424015.3,67984679.61,66835975.01,64175676.47,66027246.99,63668611.92
122092102.0,Central Bucks SD,Bucks,241375298.41,236491488.74,228638044.27,217784858.97,211454517.31,196928716.74,190008438.52,182018466.51,177140626.01,172298931.19,172726156.05,176735017.91,174065558.54
122092353.0,Council Rock SD,Bucks,168780143.42,170505532.31,169863903.17,165272632.62,159420979.93,157046402.8,151965997.31,150069159.22,147714059.05,143993991.27,146003539.34,139139861.73,139272662.01
122097203.0,Morrisville Borough SD,Bucks,16309065.54,16718241.61,16110746.83,16256423.85,14074395.14,14192795.41,12415299.29,12595943.15,13091481.68,13345557.56,13447757.07,13652584.46,13710778.01
122097502.0,Neshaminy SD,Bucks,137558133.2,126977649.69,123499377.25,126796622.01,125140291.49,123457826.31,118084464.39,118148078.3,113199280.19,114161330.04,115216858.51,114109409.69,118462062.45
122097604.0,New Hope-Solebury SD,Bucks,31011507.46,29415388.64,28820582.54,28631029.48,28791584.79,28702899.41,27226022.44,26227951.49,24976496.51,24384986.68,23545625.5,23421410.89,22659878.77
122098003.0,Palisades SD,Bucks,35042853.24,31946846.28,31596036.73,29709345.14,29593484.11,28055437.58,27200933.29,25809049.49,25481545.43,25142522.89,25170169.42,24260040.12,23908797.86
122098103.0,Pennridge SD,Bucks,99927372.68,99034868.56,95471094.55,91802373.66,89836114.22,84335979.83,83890172.83,83942389.47,80851461.98,75428367.24,71454250.16,73347104.52,72497220.88
122098202.0,Pennsbury SD,Bucks,153157678.65,150989542.77,148201208.48,143726760.02,140011184.04,135851468.13,132737052.61,135033450.5,138946866.03,141748184.71,135374764.54,138370168.08,135586285.48
122098403.0,Quakertown Community SD,Bucks,76447601.95,75215789.81,72670067.31,74234795.5,73585199.18,68953774.44,67429397.21,67007253.12,66667137.08,64762137.61,62144524.9,60014081.86,59487423.2
104101252.0,Butler Area SD,Butler,63205577.13,67131049.75,65605336.96,64551220.77,66836026.53,63841997.69,62776738.49,61661054.72,60240818.9,59529498.27,60224191.24,59142058.67,57517209.24
104103603.0,Karns City Area SD,Butler,15008285.18,15350391.56,15126276.96,14590938.94,14654138.44,14569269.69,14428347.25,13924676.49,13758646.77,13126093.23,13598393.25,12825614.9,13360332.4
104105003.0,Mars Area SD,Butler,33888323.75,33472542.81,32539197.82,32072161.81,30661931.06,30126430.27,28805003.95,27412342.98,25894615.92,25460047.42,25510664.23,24225388.37,22943060.45
104105353.0,Moniteau SD,Butler,13573667.03,13894680.66,14254451.03,13497562.34,13187257.68,12252733.14,12257533.03,12364349.12,12544662.7,11825932.74,11764636.91,11898123.81,11829643.81
104107903.0,Seneca Valley SD,Butler,89641867.07,87655367.66,85979372.45,82720620.27,80050542.35,75268743.55,71606774.91,67122890.76,64865078.22,63936774.94,66290469.7,65004633.67,63173554.07
104107503.0,Slippery Rock Area SD,Butler,24781165.46,22832495.16,22293882.97,22815257.81,20765623.72,21475638.61,20812210.64,19326404.08,20261434.41,19245930.6,19157032.82,17965967.66,17350673.51
104107803.0,South Butler County SD,Butler,22510477.55,24236158.63,23399091.7,23993617.63,21987393.49,22167498.66,21880004.71,22447565.29,21993868.59,20945879.23,20865994.47,20749804.79,19377271.22
108110603.0,Blacklick Valley SD,Cambria,6195513.93,6103427.73,6331869.0,6261903.57,6990423.02,6859184.48,6858244.94,6572606.46,6116249.03,5989741.88,6061753.87,5904273.68,5386014.73
108111203.0,Cambria Heights SD,Cambria,14525648.67,15209261.92,16517459.99,14291556.43,12553001.65,13251053.81,12947442.02,12759983.51,13009320.03,12207808.88,12556684.77,11972182.47,12155376.36
108111303.0,Central Cambria SD,Cambria,,15823024.24,16069431.03,14979414.5,14571171.52,14324804.57,14483104.14,13374041.77,12736210.24,13928032.83,13042670.18,13456482.34,13227938.21
108111403.0,Conemaugh Valley SD,Cambria,8360799.93,8367771.76,7749530.68,7178715.99,8009387.67,7488983.43,7560973.73,7786698.29,6886307.9,6737848.7,8032959.32,7382637.71,7498802.33
108112003.0,Ferndale Area SD,Cambria,7917423.46,7239067.82,7675817.51,7933016.84,7886739.64,7896240.31,7578832.78,7001106.24,6556514.52,6297562.56,6380722.28,6089844.8,6078454.31
