Cat,AUN,LEA Name,County,Total Local Revenue 6000 ,"Current Real Estate Taxes
6111",Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from LEA Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Other Sources 6829,Federal Revenue from Other PA LEAs  6831,Federal IDEA Revenue Received as Pass Through 6832,Federal ARP Act IDEA Revenue Received as Pass Through for Other PA LEAs 6833,Federal ARP Act IDEA Preschool Revenue Received as Pass Through from Other PA LEAs 6834,Federal COVID Related Revenue Received as Pass Through 6837,Federal COVID Related Revenue Received as Pass Through from Other PA LEAs 6838,Federal Revenue from Other Sources 6839,Other Federal Revenue from Intermediary Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1.0,114060503.0,Antietam SD,Berks,13096007.32,10409929.09,3304.26,11145.88,,,,,,,,,,,1153782.15,,178448.27,,,,,,,,,,,,,,469462.64,442707.51,,12979.0,,,,,242547.24,13993.38,,,,,,4310.0,9415.95,,,,,,,,,,,,,68509.36,,75472.59
1.0,114060753.0,Boyertown Area SD,Berks,95631839.43,79159626.32,,82278.88,,,127028.64,,127028.64,,70353.76,,,,7873843.96,,1380247.95,,,,,,,,,,,,,,1124124.88,2589472.82,,384583.72,,,,,1351078.68,258219.01,,,,,90000.0,251566.97,87805.04,258.86,1600.0,,,,,14903.0,,,,,,191679.41,,466138.89
1.0,114060853.0,Brandywine Heights Area SD,Berks,23655253.72,19737974.08,44337.61,21006.51,168.72,,32127.55,,32127.55,,21053.73,,,,2026762.12,,195624.61,,,,,,,,,,,,,,544135.84,448151.9,,56588.02,,,,,266124.55,64142.67,,,,,,35058.98,63337.32,,4726.3,,,,,,,,,,,49417.74,,12387.92
1.0,114061103.0,Conrad Weiser Area SD,Berks,38377105.26,31320301.96,188937.1,32071.27,71145.62,,58876.2,,58876.2,,,,,,3098132.73,,445503.14,,,,,,,,,,,,,,509651.92,689176.17,,56209.0,,,,,504350.87,117912.43,,,,,,36000.0,,,,,934409.05,,,,,,,,,,,255551.6
1.0,114061503.0,Daniel Boone Area SD,Berks,42298471.98,34964732.31,53811.82,36681.34,133.92,,68925.15,,59095.0,,,,,,3970638.68,,568742.09,,,,,,,,,,,,,,477809.62,469598.2,,97386.8,,,,10000.0,538463.2,,534157.52,,,,,242700.7,177044.46,5551.2,1530.0,,,,,,,,,,,15866.17,,5603.8
1.0,114062003.0,Exeter Township SD,Berks,55101437.69,46570233.69,42481.95,50861.06,,,61201.95,,61201.95,,84828.3,,,,4401266.75,,651276.11,,751238.73,,10361.49,,,,,,,,,,322936.49,1342407.2,,203212.41,,,3033.17,,455914.94,,,,,,,27042.42,,,,,,,,,,,,,,17476.51,,44462.57
1.0,114062503.0,Fleetwood Area SD,Berks,32397455.68,26949204.49,46304.39,29607.02,26.28,,,,,,57515.55,,,,2809089.21,,351396.66,32782.48,,,,,,,,,,,,,846346.68,434466.65,,115556.49,,,,31283.78,466104.57,,,,,,,130515.64,8540.0,,5410.0,,13850.0,,,,,,,,191.0,18778.2,,50486.59
1.0,114063003.0,Governor Mifflin SD,Berks,54630252.98,44772754.06,224568.42,48918.38,1489.41,,86671.9,,86721.9,63460.31,54523.27,,,,5555492.8,,815488.25,,,,,,,,,,,,,,957441.44,731461.14,,139480.61,30000.0,,,,765083.23,,,,,,,94193.31,6707.75,,13000.0,,147629.54,,,,,,,,,4564.64,,30602.62
1.0,114063503.0,Hamburg Area SD,Berks,32704308.08,25598288.23,1263461.43,29348.06,11770.23,,,,,,,,,,2672582.78,,723957.2,,,,,,,,,,,,,,742483.06,935142.6,,72850.96,,,,,382970.66,82962.74,,25640.16,,,,79581.06,55782.66,,,,,,,,,,18041.49,,,1500.0,,7944.76
1.0,114064003.0,Kutztown Area SD,Berks,24462347.82,20278082.83,62861.49,22849.54,12325.32,,33336.6,,33336.6,,37231.23,,,,2083554.78,,299655.98,56441.38,,,,,,,,,,,,,517036.79,368175.48,,58944.23,,,,,262497.27,,,,,,,44988.5,78723.38,,600.0,,3404.64,,,,,,,,,11.5,,208290.28
1.0,114065503.0,Muhlenberg SD,Berks,47121251.99,37969445.56,294137.54,40704.04,7016.09,,,,,,83031.9,,,,3862043.31,,753101.1,,,,1219282.73,,,,,,,,,,921952.14,994718.53,,24750.0,,,,,750550.82,99943.35,,,,,,8865.22,2300.0,,,,,,,,,,,,,32142.03,3768.86,53498.77
1.0,114066503.0,Oley Valley SD,Berks,25081911.29,20886382.53,14832.86,22438.47,83.48,,41775.9,,41775.89,,,,,,2318653.15,,316929.62,,,,,,,,,,,,,,479055.42,407120.94,,15195.06,,,,,240867.24,,,,,,,13352.96,996.73,,,,87494.4,,,,,,,,300.0,8514.64,,186142.0
1.0,114067002.0,Reading SD,Berks,50852458.75,19792245.1,,38371.62,141472.38,,110269.65,13871129.66,,,121649.74,1223959.65,,,6935564.81,,1056305.46,,,,,,,,,,,,,,3072798.47,1743278.86,,143009.63,,,63900.0,,439530.54,,,,,,,33823.4,72182.85,,,,,,,,,,,,,1621898.48,,371068.45
1.0,114067503.0,Schuylkill Valley SD,Berks,32542972.65,26851728.9,483575.22,28658.06,,,,,,,,,,,2619566.92,,636718.38,,,,,,,,,,,,,,690211.49,315811.96,,105328.61,,,,8960.0,409882.53,45771.5,,,,,,15968.83,29.33,,,,293500.0,,,,,,,,,,,37260.92
1.0,114068003.0,Tulpehocken Area SD,Berks,27678321.88,22483817.51,918541.13,22936.12,3847.08,,34682.45,,35613.45,,,,,,1979664.45,,499409.78,,,,,,,,,,,,,,564454.76,578928.67,,6430.0,,,,,338637.32,,,,3920.0,,,23463.0,41542.93,67349.36,275.0,,,,,,,,,,37700.0,21811.09,,15297.78
1.0,114068103.0,Twin Valley SD,Berks,52997322.43,42380693.4,1752156.92,43770.77,12605.23,,,,,,,,,,4505888.56,,758821.28,,,,,,,,,,,,,,540845.64,1170956.61,,118469.24,,,,,510432.44,62981.13,,,,,,50312.85,10000.0,,,,1050779.29,,,,,,,,,5302.5,,23306.57
1.0,114069103.0,Wilson SD,Berks,93790297.43,73389953.82,789831.84,77015.66,1014.54,,122916.6,,122916.61,,117395.88,,,,7680894.75,,1566274.07,,3141400.3,,,,,,,,,,,,1711276.12,2270335.18,,330807.43,65571.19,,,,1123654.66,,,,,,,152263.26,112264.63,1950.0,29900.0,,520155.19,,,24205.0,45651.32,,65542.55,,107906.55,78943.12,26988.16,113269.0
1.0,114069353.0,Wyomissing Area SD,Berks,33012299.63,26559639.17,93522.55,29151.6,408500.0,,32616.14,,32616.13,,69159.31,,,,3045715.05,,587164.14,,610431.51,,,,,,,,,,,,356233.2,693099.72,,86683.75,,,,,270311.83,21206.29,,,,,,3392.0,2258.0,,1075.0,,,,,,,,,,,34821.95,,74702.29
1.0,108070502.0,Altoona Area SD,Blair,32996904.43,17476342.3,19343.03,27150.95,306095.45,,104293.67,,106619.66,94680.44,139976.15,,,,6019200.89,,788047.91,40006.27,2078466.62,,1030130.38,,,,,,,,,,683780.93,807761.74,,220754.07,,,,,2416821.5,76647.7,,,,,,145296.97,,16351.17,14850.0,,,,,1824.98,,,96933.78,,,42537.5,23324.46,219665.91
1.0,108071003.0,Bellwood-Antis SD,Blair,7578486.32,5255312.18,16535.67,6242.4,17042.77,,14330.3,,14330.3,18295.5,17364.74,,670.0,,1054166.38,,114346.83,,,,,,,,,,,,,,370392.11,137566.31,,66132.99,,,,,280301.55,,,,,,,,750.0,23288.46,,,,,,,,,,,,47415.68,,124002.15
1.0,108071504.0,Claysburg-Kimmel SD,Blair,4215409.48,2446440.84,,3124.98,1953.21,,11076.4,,15328.7,,19053.23,,,,578065.14,,444759.66,,,,,,,,,,,,,,280488.73,80961.94,,45669.0,,,,,190162.37,,,,,,,3800.0,59716.2,,,,,,,,,,,,,,,34809.08
1.0,108073503.0,Hollidaysburg Area SD,Blair,29940453.07,21666653.04,192634.74,25242.27,14044.87,,81338.3,,74059.8,121040.64,,,,,3950904.12,,627949.5,,,,,,,,,,,,,,1212825.63,575102.73,,115789.1,,,,580902.54,2702.0,24802.09,,,,,,37501.68,20000.0,19521.51,9445.0,,321435.8,,,,1000.0,,,5671.6,,259886.11,,
1.0,108077503.0,Spring Cove SD,Blair,13634659.74,10254701.66,24541.25,11688.78,6840.84,,24549.9,,24549.9,40378.0,39979.83,,,,1396887.7,,,,,,,,,,,,,,,,653343.67,423529.03,,113979.95,,,,,347319.01,,,,,,,8350.0,33600.0,,,,132794.01,,,,,,,,,43246.08,,54380.13
1.0,108078003.0,Tyrone Area SD,Blair,8998074.38,5774968.54,24885.1,7350.73,19704.99,,,,,,,,,,1894987.62,,,,,,,,,,,,,,,,342741.95,268633.38,,99891.0,,,,,433672.36,,,,,,,5895.5,750.0,6465.0,,,,,,,,14733.8,,,,82823.2,2130.19,18441.02
1.0,108079004.0,Williamsburg Community SD,Blair,2354997.22,1563890.98,,2070.14,16057.11,,7362.6,,7362.6,,5818.61,,,,414868.46,,38627.77,,,,,,,,,,,,,,105885.25,51295.35,,29936.0,,,,1544.0,104712.05,,,,,,,3000.0,351.0,,,,,,,,,,,,,,,2215.3
1.0,117080503.0,Athens Area SD,Bradford,17809285.31,12114354.31,31523.82,16113.19,13467.96,,,,,,,,,,2998610.0,,278880.27,,,,,,,,,,,,,,1404356.01,145594.01,,50300.4,,,,,501973.45,,,,,,,101348.05,62826.43,,,,11094.75,,,,,,,,,-8320.95,5215.85,81947.76
1.0,117081003.0,Canton Area SD,Bradford,4903862.19,3037607.42,,3581.15,96916.47,,10352.7,,10362.5,,,,,,633355.77,21758.55,133330.66,,,,,,,,,,,,,,271636.64,217668.35,,23157.5,,,,,223569.12,924.6,,,,,,10879.0,20925.76,40302.76,,,,,,,,,,,,,,147533.24
1.0,117083004.0,Northeast Bradford SD,Bradford,5560548.08,3432587.52,4923.61,4190.53,6908.01,,,,12444.38,,,,,,527729.59,240354.06,88201.61,,,,,,,,,,,,,,409112.66,328302.08,,17941.87,,,,,165017.8,18446.73,,,,,,220973.87,67927.36,6506.27,,,,,,,,,,,,273.43,,8706.7
1.0,117086003.0,Sayre Area SD,Bradford,9591863.39,6413128.25,,8141.47,302625.98,,,,,,,,,,1845697.59,,123723.36,,,,,,,,,,,,,,322302.47,206964.64,,48310.04,,,,,220993.13,,,,,,,,,6175.0,,,17136.49,,,,,,,,11273.5,,,65391.47
1.0,117086503.0,Towanda Area SD,Bradford,13083370.18,10089150.52,24054.53,11799.51,81759.21,,,,,,,,,,1720874.36,,207608.98,,,,,,,,,,,,,,85958.54,110938.86,,49204.41,,73159.71,,1789.6,237826.81,,,,,,,58105.55,,,7820.0,,1907.2,,,,,,,,,,,321412.39
1.0,117086653.0,Troy Area SD,Bradford,10201664.27,7377722.29,,8599.83,8325.65,,26282.04,,26282.04,,,,,,997362.56,376624.12,213787.12,,,,,,,,,,,,,,295459.12,188648.73,,41220.05,,,,,467969.81,,,,,,,35359.42,79025.1,,,,22754.62,,,,,,,,,,,36241.77
1.0,117089003.0,Wyalusing Area SD,Bradford,12641166.19,8811579.12,,10921.99,51563.49,,19808.66,,19808.67,,,,,,1827619.17,,140926.2,,,,,,,,,,,,,,539203.4,165763.24,,48986.25,,,,44919.0,284091.63,66367.52,,,,,,597988.52,,,,,,,,,,,,,,,,11619.33
1.0,122091002.0,Bensalem Township SD,Bucks,117904501.4,101499172.42,494799.68,109214.49,30000.0,,,,,,139258.88,,5195.0,,,,2249671.28,,5642534.19,,,,,,,,,,,,2121128.59,2149433.19,,39734.0,,,,817746.69,1435379.82,,,,,,,217556.17,7889.53,,,,330025.19,,,,14258.29,,,,103170.75,21938.28,,476394.96
1.0,122091303.0,Bristol Borough SD,Bucks,12871314.62,11146741.87,83393.15,11320.89,,,,,,,16871.63,,,,,,363096.14,,,,,,,,,,,,,,265974.54,142117.36,,7023.0,,,,,290211.0,,,,,,,361731.26,10000.0,123307.2,,,,,,,,,,,,,,49526.58
1.0,122091352.0,Bristol Township SD,Bucks,95830402.82,85408983.76,,88983.5,,,,,95000.0,,97687.38,,,,,,1771377.19,,,,607298.0,,,,,,,,,,3055390.45,2723389.15,,38656.87,,,,136280.0,1541405.85,,,,,,,124872.52,20590.27,91585.98,,,,,,,,,,,,,16168.34,12733.56
1.0,122092002.0,Centennial SD,Bucks,101483933.33,82492284.27,403587.56,87262.1,1799132.81,,,,,,124627.53,,,,7625081.54,,1493599.11,,1176595.44,,1010501.3,,,,,,,,,,1484512.87,2263044.34,,39480.09,,,,892.44,1314487.86,,,,,,,95868.52,41682.76,,,,16350.4,,,,,,,,,,,14942.39
1.0,122092102.0,Central Bucks SD,Bucks,283485632.26,229125139.53,1104606.04,252289.03,,,,,,,,,,,31677451.86,,5770391.49,,,,,,,,,,,,,,4345311.36,4428493.58,,377069.61,,,,,2681317.15,,,,,,,30721.92,99392.4,71049.81,,91182.88,351486.41,,,,,,,,3008198.88,34041.25,,37489.06
1.0,122092353.0,Council Rock SD,Bucks,204526195.93,164383347.94,843604.24,186673.9,3265.85,,,,,,148295.01,,,,22315839.16,4346831.19,3699492.24,,,,,,,,,,,,,,1961545.57,3579451.94,,123804.27,,,,,1789716.78,,,,,,,612023.58,45220.95,47972.03,31627.0,,,,,,,,,,132539.0,88598.42,91266.67,95080.19
1.0,122097203.0,Morrisville Borough SD,Bucks,14595430.0,13613958.0,,13120.0,,,,,,,,,,,,,223338.0,,,,,,,,,,,,,,300881.0,160565.0,,2190.0,,,,,216322.0,,,,,,,1724.0,,,,,,,,,,,,,,,,63332.0
1.0,122097502.0,Neshaminy SD,Bucks,146377502.88,128142863.39,250704.23,130678.02,445760.43,,185896.0,185895.8,,,179082.49,,,,,,2080426.23,552796.67,1509813.22,1370001.37,,,,,,,,,,,3964119.89,3815623.86,,70353.0,,,,,2011051.61,410979.63,,,,,,773064.57,,,164034.5,,47852.0,,,,22657.5,,,,,,,63848.47
1.0,122097604.0,New Hope-Solebury SD,Bucks,42332714.8,31992999.21,78824.38,37390.8,,,,,,,,,,,7048351.67,,1205887.64,,,,,,,,,,,,,,560065.46,1143069.1,,7527.22,,,,,202191.97,,,,,,,13008.0,21934.0,248.84,,,,,,,,,,,,,,21216.51
1.0,122098003.0,Palisades SD,Bucks,35569188.31,29204928.36,84122.53,32488.3,2091.0,,,,,,,,,,3166110.47,,750927.56,,,,,,,,,,,,,,610141.05,743406.93,,59964.19,,,,,293000.11,,,38900.0,,,,61693.68,148586.95,,,21673.24,,,,7642.52,,,,,,281856.14,10728.8,50926.48
1.0,122098103.0,Pennridge SD,Bucks,114156489.0,84389667.0,670388.0,103056.0,170411.0,,,,,,98663.0,,,,21170300.0,,1821273.0,,,,,,,,,,,,,,579074.0,2910855.0,,237274.0,,,,,1308187.0,,,,,,,233869.0,7731.0,,,,196207.0,,,,,,,,16327.0,2960.0,,240247.0
1.0,122098202.0,Pennsbury SD,Bucks,173452524.79,157749187.91,1389747.45,152444.8,1159450.75,,,,,,,,,,,,4552610.7,,,,,,,,,,,,,,1830798.15,2805934.18,,259573.19,,,,,2336710.71,,,,,,,309178.89,500000.0,,,,38150.34,,,,,,,,,74230.76,,294506.96
1.0,122098403.0,Quakertown Community SD,Bucks,91553298.2,70623183.83,832961.93,79850.85,55950.33,,,,,,,,,,13396432.74,,1563742.85,,,,,,,,,,,,,,921957.28,2309568.7,,185399.02,,,,380621.68,969454.88,,,,,,,110523.3,42841.01,,450.0,,,,,11602.35,,,,,,53757.45,,15000.0
1.0,104101252.0,Butler Area SD,Butler,55592180.65,41978084.78,76334.77,49765.01,107463.64,,142742.93,,142742.93,,115689.58,,,,7172170.59,,1043302.5,,,,,,,,,,,,,,1169738.11,1150180.39,,247186.0,,,,456.6,1426160.73,,,,,,,73188.75,195459.88,,37740.0,,271930.0,,,50000.0,,,,,,41532.55,,100310.91
1.0,104103603.0,Karns City Area SD,Butler,8785457.0,5750420.0,,,6645.0,,,,,,13713.0,,,,1235349.0,,189564.0,,,,,,,,,,,,,,319625.0,280800.0,,78052.0,,,7310.0,328121.0,229104.0,,,,,,,7107.0,15500.0,,,,,,,,32597.0,,,,,145894.0,,145656.0
1.0,104107803.0,Knoch SD,Butler,21825192.65,15866012.61,68377.26,18922.55,118652.6,,53791.8,,53791.8,,36878.65,,,,2769370.57,,425816.57,,,,,,,,,,,,,,551555.41,302585.21,,138134.6,,,,357947.81,328973.53,,,,,,,26561.63,140205.81,,,,,,,,,,,,,7061.12,,560553.12
1.0,104105003.0,Mars Area SD,Butler,41119412.49,29270879.75,505835.98,34906.14,309729.13,,,,,,76480.99,,,,7123864.38,,1511660.37,,,,,,,,,,,,,,481563.97,283720.24,,349231.57,,,,118509.45,526684.94,106372.06,,,,,,45835.52,213175.94,17519.02,,,,,,,,,,,,71265.24,,72177.8
1.0,104105353.0,Moniteau SD,Butler,8336152.8,5408469.16,,7523.19,,,27344.75,,25785.95,,26577.11,,,,1144792.0,,123168.6,,,,,,,,,,,,,,463679.84,229777.25,,7406.24,,,98.28,384940.88,391898.36,,,,,,,12887.51,5000.0,,,,28067.96,,,,,,,,,33676.08,7105.07,7954.57
1.0,104107903.0,Seneca Valley SD,Butler,115515327.82,86687494.88,965748.6,93610.09,338605.19,,,,,,,,,195849.39,13821669.27,,3288704.79,,,,,,,,,,,,,,1046927.31,2395266.43,,495042.45,36156.2,,,21260.73,1670312.96,,174857.5,,,,,120427.5,55324.73,12208.65,157387.84,,3677440.71,,,,,,,,,95786.63,72226.0,93019.97
1.0,104107503.0,Slippery Rock Area SD,Butler,18580396.0,13567209.0,35181.0,16240.0,8424.0,,43208.0,,43225.0,,,,,,2328831.0,,591034.0,,,,,,,,,,,,,,914341.0,116004.0,,51999.0,,,,,781144.0,34954.0,,,,,,200.0,,7107.0,15960.0,,,,,,,,,,,,,25335.0
1.0,108110603.0,Blacklick Valley SD,Cambria,2561077.41,1314973.1,,1781.52,7094.14,,8620.95,,8620.95,,10208.6,,,,495289.92,,36285.58,,,,,,,,,,,,,,144028.39,293261.78,,11020.52,,3000.0,,167426.64,21465.74,,,,,,,,,,,,32647.19,,,,,,,,,4566.94,,785.45
1.0,108111203.0,Cambria Heights SD,Cambria,6863052.21,4679651.95,,5989.4,6199.16,,25264.55,,25264.55,,,,,,1128284.84,,74801.71,,,,,,,,,,,,,,284716.58,261.17,,,,,90007.37,,237351.39,47624.09,,,,,,1830.0,,,,,,,,,,,,,,66879.47,,188925.98
1.0,108111303.0,Central Cambria SD,Cambria,12397506.94,8445683.92,22612.93,9670.15,9299.42,,,,,,33057.95,,,,1621987.28,,182637.83,,,,,,,,,,,,,,447612.1,301766.82,,1901.0,,,220.57,66.4,326223.44,,,,,,,11031.75,15000.0,900877.98,,,62564.28,,,,,,,,,4024.47,,1268.65
1.0,108111403.0,Conemaugh Valley SD,Cambria,3455550.54,2032628.36,,2834.84,,,,,,,5029.48,,,,717102.64,,52459.16,,,,,,,,,,,,,,193954.65,147128.37,,23602.09,,,,,263334.08,,,,,,,,,,,,,,,,,,,,,4940.72,,12536.15
1.0,108112003.0,Ferndale Area SD,Cambria,3366964.86,1921747.78,,2480.0,243.42,,9459.9,,9459.9,,,,,,426981.57,,30201.92,,,,,,,,,,,,,,250587.42,120029.77,,22322.7,,,269999.78,,146146.35,,,,,,,10000.0,10622.11,,,,,,,,,,,,,112719.85,,23962.39
1.0,108112203.0,Forest Hills SD,Cambria,6828552.72,3972717.39,13632.88,5600.19,11670.0,,18834.1,,17680.74,17800.1,,,,,1537294.24,,88376.51,,,,,,,,,,,,,,200184.17,259461.09,,39365.0,,,,142011.88,384412.91,,,,,,,935.0,10500.0,,462.5,,88320.53,,,,,,,,,6613.98,,12679.51
1.0,108112502.0,Greater Johnstown SD,Cambria,13205977.39,7218757.35,2065.46,,44059.77,,35943.66,,35943.48,28526.5,72774.67,782029.78,,,1688970.03,,194672.99,,,,782029.61,,,,,,,,,,798153.5,467903.32,,38146.01,,,,,685973.74,60149.67,,,,,,18750.0,49097.65,,,,32941.99,,,,15805.46,,,,,25692.89,,127589.86
1.0,108114503.0,Northern Cambria SD,Cambria,4500918.14,2707227.32,,3556.51,1647.6,,17095.1,,17095.1,,7366.68,,,,793946.33,,41806.49,,,,,,,,,,,,,,206746.91,406439.39,,,,,,,215354.75,43317.65,,,,,,,500.0,,,,,,,,,,14438.0,,,,,24380.31
1.0,108116003.0,Penn Cambria SD,Cambria,8302962.77,5183413.22,57886.72,6774.38,14741.73,,32488.35,,32488.35,21217.6,19422.31,,,,1565143.41,,106750.59,,,,,,,,,,,,,,332869.89,300713.54,,38376.24,,,,,340048.43,,,,,2164.14,,8025.0,19394.21,,10715.0,,,,,,,97954.37,,,,34624.94,,77750.35
1.0,108116303.0,Portage Area SD,Cambria,3230049.93,1864674.28,,3427.34,2448.52,,11019.31,,8429.54,6909.75,9073.33,,,,644728.41,,34914.79,,,,,,,,,,,,,,122472.2,216308.84,,20650.0,,,,,169919.79,,,,,,111716.0,,,,,,,,,,,,,,,,,3357.83
1.0,108116503.0,Richland SD,Cambria,15750365.37,11599316.38,28428.77,14425.9,,,19937.9,,19937.9,,68466.09,,,,1908882.93,,282088.15,,,,545382.13,,,,,,,,,,326784.71,488481.87,,74540.35,,,,14443.22,237354.96,,,,,,,20180.24,10923.91,50957.07,,,,,,,,,,,,,6284.3,33548.59
1.0,108118503.0,Westmont Hilltop SD,Cambria,14492625.51,11084210.32,,12983.36,828.19,,27937.93,,27937.77,,,,,,1659662.48,,208741.53,,,,,,,,,,,,,,610425.69,365599.83,,36859.0,,,,70000.0,300069.56,,,,,,,6480.0,40047.75,,,,,,,,,,,,,9157.43,,31684.67
1.0,109122703.0,Cameron County SD,Cameron,4264981.0,2652226.0,,3928.0,296685.0,,10080.0,,10080.0,,,,,,378397.0,,153344.0,,,,,,,,,,,,,,296577.0,-31633.0,,15656.0,,,,266654.0,124648.0,,,,,,,53000.0,13266.0,,,,,,,,,,,,10715.0,1551.0,,9807.0
1.0,121135003.0,Jim Thorpe Area SD,Carbon,35078666.68,28162609.8,,31875.2,26248.22,,27785.2,,27785.2,,31338.91,,324.0,,1983001.98,,1026403.55,174106.29,,,,,,,,,,,,,1489353.94,689635.6,,52122.69,73997.83,,,,330456.12,,,,,,,2435.2,55000.0,89128.23,,,,,,,18304.0,,,750000.0,5642.84,,,31111.88
1.0,121135503.0,Lehighton Area SD,Carbon,24783759.8,18505829.6,,20991.8,9812.09,,46145.8,,46145.8,,,,,,2236495.88,789434.6,312425.24,,,,,,,,,,,,,,851619.26,560782.88,,64261.8,,,,3482.0,433207.23,32148.52,,,,,,4986.9,83693.59,,,,28254.52,,,4635.0,24305.3,11482.8,,,,638792.81,,74826.38
1.0,121136503.0,Palmerton Area SD,Carbon,22656361.69,18146321.4,,18883.09,5100.53,,34679.3,,34679.3,,21252.04,,,,1996046.25,,260523.81,,,,,,,,,,,,,,881113.72,613275.55,,45297.59,,,,6064.0,423058.4,,,,,,,1200.0,146532.31,,1530.0,,4847.63,,,,,,,,,8770.23,,7186.54
1.0,121136603.0,Panther Valley SD,Carbon,12802962.54,8315524.28,,13384.21,42817.53,,22406.1,,22406.1,,11593.93,,,,1244762.82,344117.5,192762.42,,,,,,,,,,,,,,989582.05,343091.33,,82564.85,,,155251.04,,465340.32,,,,,41896.39,1000.0,12732.5,251315.81,,165.0,,,,,,33792.0,,1951.75,,,110858.13,,103646.48
1.0,121139004.0,Weatherly Area SD,Carbon,7866590.26,6425885.14,,7287.27,15258.66,,12317.09,,12317.09,,,,,,586170.65,,279998.75,14467.99,,,,,,,,,,,,,214304.69,34575.56,,14152.46,,,,,98058.79,,,,,,,1800.0,13302.0,,,,,,,,24640.0,,,,,43287.47,,68766.65
1.0,110141003.0,Bald Eagle Area SD,Centre,18940537.05,10341023.81,43997.04,15894.38,140375.01,,34998.4,3230075.6,34998.4,,25400.9,,,,3128054.63,,231258.88,,,,,,,,,,,,,,705073.74,541813.92,,64781.5,,,,,292654.56,,,,,,,13115.0,4049.0,,,,,,,,,,,,,9593.36,,83378.92
1.0,110141103.0,Bellefonte Area SD,Centre,36934049.36,26415454.51,302618.02,32184.65,112790.92,,,,,,68280.89,,,,7369536.88,,774105.71,,,,,,,,,,,,,,450207.61,717125.49,,58008.0,,,,,549459.66,,,,,,,48500.0,,,,,,,,8700.0,,,,,,10.64,,27066.38
1.0,110147003.0,Penns Valley Area SD,Centre,19570313.12,13743208.63,8731.19,16575.62,86270.78,,,,,,,,,,3899583.53,,278184.84,,,,,,,,,,,,,,288825.02,816001.94,,46313.81,,,,,233496.31,,,,,,,53075.15,28586.07,,,,,,,,,,,,,55337.19,,16123.04
1.0,110148002.0,State College Area SD,Centre,147567360.31,113489296.63,348540.7,127972.26,650661.22,,,,,,379884.54,,,,21638562.18,,3165321.45,,,,,,,,,,,,,,1203321.4,3462443.75,,102977.32,,,,,1040604.41,,,,,,,102869.88,9588.77,61898.56,,,73182.4,,,1388930.72,,,,,,7037.16,,314266.96
1.0,124150503.0,Avon Grove SD,Chester,68322960.55,61743705.39,451440.35,59131.04,,,,,,,,,,,,,1049653.27,,,,,,,,,,,,,,1384543.01,2129810.9,,694510.11,,,,,568710.62,,,12000.0,,,,99400.67,63695.28,,,,,,,,,,,,,2769.78,28842.3,34747.83
1.0,124151902.0,Coatesville Area SD,Chester,140396072.47,114218012.64,4228273.85,115893.61,234.1,,,,,,83228.24,,,,10790276.2,,2347888.73,,,,,,,,,,,,,,3118546.45,2774300.61,,243363.73,,,,,1325101.28,-0.16,,2475.0,,,,160303.36,151447.06,,,,325863.19,,,,,,,,4600.0,375947.96,,130316.62
1.0,124152003.0,Downingtown Area SD,Chester,199868071.51,157626568.0,5008320.06,168583.65,,,,,,,242944.06,,,,22080903.35,,3760720.6,,,,,,,,,,,,,,2778381.19,3732764.45,,1910219.95,,,,,1868110.0,,,,,,20000.0,419463.76,,,58650.0,,,,,,,,,22603.41,,45766.63,43089.27,80983.13
