Ctgy,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,116495103.0,Mount Carmel Area SD,Northumberland,22718092.34,4578665.4799999995,470645.24,5049310.72,0.2223,13522117.05,0.5952,836664.57,0.0368,3310000.0,0.1457
1.0,116496503.0,Shamokin Area SD,Northumberland,27925630.35,5759721.390000001,823630.7799999998,6583352.17,0.2357,20079294.71,0.719,1230704.98,0.0441,32278.49,0.0012
1.0,116496603.0,Shikellamy SD,Northumberland,46238221.41,20060255.62,1460045.9999999998,21520301.62,0.4654,22839006.94,0.4939,1846457.85,0.0399,32455.0,0.0007
1.0,116498003.0,Warrior Run SD,Northumberland,33661994.19,11708093.0,656186.41,12364279.41,0.3673,10833441.46,0.3218,654273.32,0.0194,9810000.0,0.2914
1.0,115503004.0,Greenwood SD,Perry,13928145.79,6756182.82,241619.24000000002,6997802.06,0.5024,6817884.73,0.4895,112459.0,0.0081,,0.0
1.0,115504003.0,Newport SD,Perry,29216108.17,7786122.080000001,667666.3399999999,8453788.42,0.2894,10192468.71,0.3489,423635.21,0.0145,10146215.83,0.3473
1.0,115506003.0,Susquenita SD,Perry,31719753.8,15216610.69,1049563.31,16266174.0,0.5128,15160086.81,0.4779,293492.99,0.0093,,0.0
1.0,115508003.0,West Perry SD,Perry,39674821.89,20034162.919999998,764817.0,20798979.92,0.5242,18116287.55,0.4566,759554.42,0.0191,,0.0
1.0,126515001.0,Philadelphia City SD,Philadelphia,3326503962.06,1280225439.79,150820588.0,1431046027.79,0.4302,1614855891.97,0.4855,277553485.97,0.0834,3048556.33,0.0009
1.0,120522003.0,Delaware Valley SD,Pike,81007778.81,46713785.98,1288133.73,48001919.71,0.5926,31287941.53,0.3862,1717917.57,0.0212,,0.0
1.0,119648303.0,Wallenpaupack Area SD,Pike,72515983.33,52122016.5,2014277.3900000001,54136293.89,0.7465,17275644.5,0.2382,1097844.94,0.0151,6200.0,0.0001
1.0,109530304.0,Austin Area SD,Potter,4359364.64,1663859.0899999999,201576.23,1865435.32,0.4279,2398004.42,0.5501,95924.9,0.022,,0.0
1.0,109531304.0,Coudersport Area SD,Potter,12843362.08,5421822.700000001,254596.38,5676419.08,0.442,6910450.0,0.5381,256493.0,0.02,,0.0
1.0,109532804.0,Galeton Area SD,Potter,7306517.0,3339749.0,299873.0,3639622.0,0.4981,3526870.0,0.4827,140025.0,0.0192,,0.0
1.0,109535504.0,Northern Potter SD,Potter,10482236.4,3028084.5600000005,387196.74000000005,3415281.3,0.3258,6766713.64,0.6455,300241.46,0.0286,,0.0
1.0,109537504.0,Oswayo Valley SD,Potter,8695229.58,2296430.5,323029.64,2619460.14,0.3013,5863819.42,0.6744,211950.02,0.0244,,0.0
1.0,129540803.0,Blue Mountain SD,Schuylkill,51888233.33,23417878.479999997,1175192.01,24593070.49,0.474,16643243.74,0.3208,582821.33,0.0112,10069097.77,0.1941
1.0,129544503.0,Mahanoy Area SD,Schuylkill,18346074.39,4936459.720000001,495015.3399999999,5431475.06,0.2961,12200381.75,0.665,713517.58,0.0389,700.0,0.0
1.0,129544703.0,Minersville Area SD,Schuylkill,18883772.47,8256343.619999998,364517.38,8620861.0,0.4565,9681038.11,0.5127,581873.36,0.0308,,0.0
1.0,129545003.0,North Schuylkill SD,Schuylkill,29541003.14,11489050.0,990236.3799999999,12479286.38,0.4224,16166263.74,0.5472,895453.02,0.0303,,0.0
1.0,129546003.0,Pine Grove Area SD,Schuylkill,24112123.04,11007266.930000002,630067.2900000003,11637334.22,0.4826,11955707.24,0.4958,519081.58,0.0215,,0.0
1.0,129546103.0,Pottsville Area SD,Schuylkill,40108664.08,14426325.37,2839527.55,17265852.92,0.4305,21362576.87,0.5326,960734.29,0.024,519500.0,0.013
1.0,129546803.0,Saint Clair Area SD,Schuylkill,14951191.79,4908153.0,596247.11,5504400.11,0.3682,5465403.06,0.3655,307928.62,0.0206,3673460.0,0.2457
1.0,129547303.0,Schuylkill Haven Area SD,Schuylkill,19762868.02,7928801.710000001,763503.7300000001,8692305.44,0.4398,10725152.96,0.5427,345409.62,0.0175,,0.0
1.0,129547203.0,Shenandoah Valley SD,Schuylkill,17386647.48,4542079.96,335241.91000000003,4877321.87,0.2805,11563230.76,0.6651,901794.85,0.0519,44300.0,0.0025
