Cat,AUN,LEA Name,County,"Committed
Fund Balance 0830","Assigned
Fund Balance 0840","Unassigned
Fund Balance 0850"
1.0,115221753.0,Derry Township SD,Dauphin,5600000.0,,5009642.0
1.0,115222504.0,Halifax Area SD,Dauphin,2211995.0,,1917579.0
1.0,115222752.0,Harrisburg City SD,Dauphin,500000.0,1900000.0,18127451.0
1.0,115224003.0,Lower Dauphin SD,Dauphin,7600000.0,6701105.0,1353307.0
1.0,115226003.0,Middletown Area SD,Dauphin,10430463.0,874962.0,3666239.0
1.0,115226103.0,Millersburg Area SD,Dauphin,725000.0,211989.0,3377682.0
1.0,115228003.0,Steelton-Highspire SD,Dauphin,,,-4534753.0
1.0,115228303.0,Susquehanna Township SD,Dauphin,,8824287.0,4759323.0
1.0,115229003.0,Upper Dauphin Area SD,Dauphin,7827474.0,,1925774.0
1.0,125231232.0,Chester-Upland SD,Delaware,,,-3404248.0
1.0,125231303.0,Chichester SD,Delaware,,8483656.0,6803073.0
1.0,125234103.0,Garnet Valley SD,Delaware,5100000.0,,8542037.0
1.0,125234502.0,Haverford Township SD,Delaware,,,30365374.0
1.0,125235103.0,Interboro SD,Delaware,669083.0,,9703586.0
1.0,125235502.0,Marple Newtown SD,Delaware,6851406.0,2533868.0,8128000.0
1.0,125236903.0,Penn-Delco SD,Delaware,9586982.0,4529270.0,5309711.0
1.0,125237603.0,Radnor Township SD,Delaware,22485473.0,,8835876.0
1.0,125237702.0,Ridley SD,Delaware,,,32957.0
1.0,125237903.0,Rose Tree Media SD,Delaware,,5518603.0,8220826.0
1.0,125238402.0,Southeast Delco SD,Delaware,,,4862169.0
1.0,125238502.0,Springfield SD,Delaware,,,3999662.0
1.0,125239452.0,Upper Darby SD,Delaware,4464615.0,13817799.0,11885103.0
1.0,125239603.0,Wallingford-Swarthmore SD,Delaware,2500000.0,,6092389.0
1.0,125239652.0,William Penn SD,Delaware,,,373446.0
1.0,109243503.0,Johnsonburg Area SD,Elk,3600000.0,,2336305.0
1.0,109246003.0,Ridgway Area SD,Elk,1750000.0,1500000.0,1135524.0
1.0,109248003.0,Saint Marys Area SD,Elk,6247239.0,,2234600.0
1.0,105251453.0,Corry Area SD,Erie,3871374.0,,4544161.0
1.0,105252602.0,Erie City SD,Erie,,,24947661.0
1.0,105253303.0,Fairview SD,Erie,9526921.0,,4040906.0
1.0,105253553.0,Fort LeBoeuf SD,Erie,8984990.0,1570000.0,3304362.0
1.0,105253903.0,General McLane SD,Erie,9070712.0,,1211894.0
1.0,105254053.0,Girard SD,Erie,167302.0,8116365.0,2370953.0
1.0,105254353.0,Harbor Creek SD,Erie,4913245.0,6124870.0,2576222.0
1.0,105256553.0,Iroquois SD,Erie,6378488.0,623604.0,3570683.0
1.0,105257602.0,Millcreek Township SD,Erie,1863595.0,6387868.0,8619789.0
1.0,105258303.0,North East SD,Erie,7010920.0,213410.0,4548483.0
1.0,105258503.0,Northwestern SD,Erie,13360990.0,13277.0,1962124.0
1.0,105259103.0,Union City Area SD,Erie,,7099607.0,247329.0
1.0,105259703.0,Wattsburg Area SD,Erie,3234559.0,,2320700.0
1.0,101260303.0,Albert Gallatin Area SD,Fayette,,3251428.0,7320582.0
1.0,101260803.0,Brownsville Area SD,Fayette,,,2581365.0
1.0,101261302.0,Connellsville Area SD,Fayette,,,18464477.0
1.0,101262903.0,Frazier SD,Fayette,,322011.0,444975.0
1.0,101264003.0,Laurel Highlands SD,Fayette,1200086.0,,1592968.0
1.0,101268003.0,Uniontown Area SD,Fayette,,,5324431.0
1.0,106272003.0,Forest Area SD,Forest,1786870.0,,3046600.0
1.0,112281302.0,Chambersburg Area SD,Franklin,6184991.0,25095009.0,
1.0,112282004.0,Fannett-Metal SD,Franklin,2258575.0,16101.0,1075512.0
1.0,112283003.0,Greencastle-Antrim SD,Franklin,4484272.0,,8110695.0
1.0,112286003.0,Tuscarora SD,Franklin,5125051.0,,5339055.0
1.0,112289003.0,Waynesboro Area SD,Franklin,274942.0,3382788.0,5139979.0
1.0,111291304.0,Central Fulton SD,Fulton,,2605262.0,52951.0
1.0,111292304.0,Forbes Road SD,Fulton,4220000.0,100000.0,66680.0
1.0,111297504.0,Southern Fulton SD,Fulton,8349912.0,537837.0,1480535.0
1.0,101301303.0,Carmichaels Area SD,Greene,3239170.0,36604.0,2210077.0
1.0,101301403.0,Central Greene SD,Greene,,2138109.0,6002479.0
1.0,101303503.0,Jefferson-Morgan SD,Greene,1750000.0,22200.0,2903269.0
1.0,101306503.0,Southeastern Greene SD,Greene,,1005529.0,3195812.0
