Unnamed: 0,Unnamed: 1,Unnamed: 2,The 2016 Keystone Exams - Best Score Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. ",,,,,,,,,,
,,,Data for groups with 10 or fewer students were replaced by blanks. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,,
,,,,,,,,,,,,,
Year,AUN,School Number,County,District,School,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2016,103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,All Students,11,116,45.7,41.4,9.5,3.4
2016,103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,Historically Underperforming,11,28,14.3,32.1,39.3,14.3
2016,103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,All Students,11,116,16.4,80.2,0.9,2.6
2016,103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,Historically Underperforming,11,28,0,85.7,3.6,10.7
2016,103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,11,314,13.7,69.4,13.7,3.2
2016,103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Historically Underperforming,11,119,5.9,63.9,22.7,7.6
2016,103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,11,315,23.5,52.1,18.4,6
2016,103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Historically Underperforming,11,121,13.2,47.1,24.8,14.9
2016,103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,All Students,11,313,8,77.6,11.5,2.9
2016,103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,Historically Underperforming,11,120,3.3,70.8,19.2,6.7
2016,103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,All Students,11,353,27.2,49.9,20.4,2.5
2016,103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,Historically Underperforming,11,75,8,42.7,40,9.3
2016,103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,All Students,11,351,31.3,44.7,16.2,7.7
2016,103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,Historically Underperforming,11,73,16.4,32.9,24.7,26
2016,103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,All Students,11,346,10.4,78.3,8.7,2.6
2016,103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,Historically Underperforming,11,71,4.2,60.6,25.4,9.9
2016,103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,11,84,2.4,66.7,23.8,7.1
2016,103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,39,2.6,48.7,35.9,12.8
2016,103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,All Students,11,85,16.5,52.9,18.8,11.8
2016,103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,Historically Underperforming,11,39,5.1,43.6,28.2,23.1
2016,103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,All Students,11,85,3.5,74.1,18.8,3.5
2016,103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,Historically Underperforming,11,39,2.6,61.5,28.2,7.7
2016,103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,All Students,11,100,9,45,34,12
2016,103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,Historically Underperforming,11,45,2.2,31.1,44.4,22.2
2016,103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,All Students,11,101,29.7,42.6,21.8,5.9
2016,103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,Historically Underperforming,11,45,17.8,44.4,26.7,11.1
2016,103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,All Students,11,100,9,70,19,2
2016,103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,Historically Underperforming,11,44,0,61.4,34.1,4.5
2016,103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,All Students,11,265,20,59.6,17,3.4
