Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,127042003.0,Central Valley SD,Beaver,34125211.61,17878920.669999998,452657.05000000005,18331577.72,0.5372,15092457.18,0.4423,488030.71,0.0143,213146.0,0.0062
1.0,127042853.0,Freedom Area SD,Beaver,22354841.55,8531160.04,379813.31,8910973.35,0.3986,12884498.5,0.5764,500851.82,0.0224,58517.88,0.0026
1.0,127044103.0,Hopewell Area SD,Beaver,38767824.78,18503807.2,691341.6099999999,19195148.81,0.4951,19156872.33,0.4941,400329.99,0.0103,15473.65,0.0004
1.0,127045303.0,Midland Borough SD,Beaver,5920749.13,789691.7400000002,308968.63,1098660.37,0.1856,4614910.86,0.7794,207177.9,0.035,,0.0
1.0,127045653.0,New Brighton Area SD,Beaver,27821974.0,6410781.0,402181.0,6812962.0,0.2449,16068953.0,0.5776,670059.0,0.0241,4270000.0,0.1535
1.0,127045853.0,Riverside Beaver County SD,Beaver,23842627.03,9237996.47,453686.80000000005,9691683.27,0.4065,13852328.6,0.581,298615.16,0.0125,,0.0
1.0,127046903.0,Rochester Area SD,Beaver,17036969.53,5375210.22,439301.41,5814511.63,0.3413,10739744.41,0.6304,482713.49,0.0283,,0.0
1.0,127047404.0,South Side Area SD,Beaver,23007910.0,7959801.0,255168.0,8214969.0,0.357,14560371.0,0.6328,210965.0,0.0092,21605.0,0.0009
1.0,127049303.0,Western Beaver County SD,Beaver,13302682.85,4108266.6900000004,235109.27,4343375.96,0.3265,8385441.87,0.6304,244971.02,0.0184,328894.0,0.0247
1.0,108051003.0,Bedford Area SD,Bedford,29450034.25,12943108.21,912190.0800000001,13855298.29,0.4705,13958864.63,0.474,1635871.33,0.0555,,0.0
1.0,108051503.0,Chestnut Ridge SD,Bedford,21108511.03,5757442.180000001,800552.77,6557994.95,0.3107,14073797.63,0.6667,476718.45,0.0226,,0.0
1.0,108053003.0,Everett Area SD,Bedford,21356851.98,7692210.999999999,703933.8800000001,8396144.88,0.3931,12017574.72,0.5627,943132.38,0.0442,,0.0
1.0,108056004.0,Northern Bedford County SD,Bedford,21608928.26,3745170.57,374738.13999999996,4119908.71,0.1907,9039777.52,0.4183,321779.03,0.0149,8127463.0,0.3761
1.0,108058003.0,Tussey Mountain SD,Bedford,32346117.33,4427453.6,413031.83999999997,4840485.44,0.1496,12136722.83,0.3752,437981.06,0.0135,14930928.0,0.4616
1.0,114060503.0,Antietam SD,Berks,17817061.25,10205427.29,354184.68,10559611.97,0.5927,6677107.2,0.3748,354164.04,0.0199,226178.04,0.0127
1.0,114060753.0,Boyertown Area SD,Berks,109294355.69,70210371.26,2265593.0000000005,72475964.26,0.6631,34400965.73,0.3148,1121302.7,0.0103,1296123.0,0.0119
1.0,114060853.0,Brandywine Heights Area SD,Berks,30651184.45,20306790.659999996,516376.6,20823167.26,0.6794,9492733.76,0.3097,319363.43,0.0104,15920.0,0.0005
1.0,114061103.0,Conrad Weiser Area SD,Berks,47589976.45,28659715.76,2111207.5900000003,30770923.35,0.6466,15075896.13,0.3168,1743156.97,0.0366,,0.0
1.0,114061503.0,Daniel Boone Area SD,Berks,91528014.77,34504781.26,1701932.7800000003,36206714.04,0.3956,18656496.88,0.2038,439482.5,0.0048,36225321.35,0.3958
1.0,114062003.0,Exeter Township SD,Berks,72284624.41,48727566.589999996,1260778.13,49988344.72,0.6915,21189849.6,0.2931,730784.86,0.0101,375645.23,0.0052
1.0,114062503.0,Fleetwood Area SD,Berks,44021604.4,28351759.410000004,879112.7499999999,29230872.16,0.664,14419600.34,0.3276,369121.42,0.0084,2010.48,0.0
1.0,114063003.0,Governor Mifflin SD,Berks,67335258.81,47610569.02000001,1464234.47,49074803.49,0.7288,17517840.08,0.2602,717615.24,0.0107,25000.0,0.0004
1.0,114063503.0,Hamburg Area SD,Berks,40047397.45,24063874.070000004,691348.78,24755222.85,0.6181,14626282.93,0.3652,445441.75,0.0111,220449.92,0.0055
1.0,114064003.0,Kutztown Area SD,Berks,51292943.43,21763273.84,519236.17000000004,22282510.01,0.4344,8621721.84,0.1681,279894.08,0.0055,20108817.5,0.392
1.0,114065503.0,Muhlenberg SD,Berks,56782970.0,38809899.0,832175.0,39642074.0,0.6981,15917601.0,0.2803,1223295.0,0.0215,,0.0
1.0,114066503.0,Oley Valley SD,Berks,31522139.99,20832269.97,484827.6,21317097.57,0.6763,9838207.55,0.3121,366834.87,0.0116,,0.0
