Cat,AUN,LEA Name,County,"Object 100
Personnel Services - Salaries","Object 200
Personnel Services - Employee Benefits",Object 220 Social Security Contributions,Object 230 Retirement Contributions,"Object 300
Purchased Professional and Technical Services","Object 400
Purchased Property Services","Object 500
Other Purchased Services","Object 600
Supplies","Object 700
Property","Object 800
Other Objects","Object 900
Other Uses of Funds",Total
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,12878584.78,9241000.96,974384.51,4493423.37,2249065.38,1028164.38,4988449.02,2055846.6099999999,79235.36,718335.48,1338343.76,34577025.73
1.0,127041603.0,Blackhawk SD,Beaver,17297257.7,11285791.81,1661287.28,5624591.100000001,1519074.3900000001,630957.7499999999,6365515.84,1098876.1199999999,597565.55,1064087.75,2103006.71,41962133.62
1.0,127042003.0,Central Valley SD,Beaver,16857871.009999998,11382311.110000001,1227500.27,5530907.489999999,1219096.26,1419938.11,4522659.72,1836452.37,2360112.21,1836812.87,1435000.0,42870253.66
1.0,127042853.0,Freedom Area SD,Beaver,10023016.47,7096642.7,754924.5199999999,3436650.67,1719616.98,416383.73,3863083.45,1498487.2499999998,105244.33,344611.89,2330749.42,27397836.22
1.0,127044103.0,Hopewell Area SD,Beaver,19416510.15,13010578.15,1458180.83,6794895.260000001,2868064.2700000005,959077.59,3193117.1199999996,1897096.2800000003,599956.78,2135901.14,1161233.61,45241535.09
1.0,127045303.0,Midland Borough SD,Beaver,2179926.92,1374834.74,162080.22999999998,777133.84,435644.33,126809.23000000001,2265299.59,564220.2200000001,105509.15,104604.2,140000.0,7296848.38
1.0,127045653.0,New Brighton Area SD,Beaver,11198913.309999999,7723793.53,837651.93,3873218.1199999996,1413113.76,474487.21,4076211.52,4838948.05,121752.41,478651.88999999996,317597.43,30643469.11
1.0,127045853.0,Riverside Beaver County SD,Beaver,10727703.29,7489421.049999999,817982.8799999999,3659172.67,1332522.28,416524.49,2740523.3,1068614.11,446746.82999999996,374859.33,2088492.05,26685406.73
1.0,127046903.0,Rochester Area SD,Beaver,7561127.4,5544280.44,585079.05,2641034.88,1346877.72,183724.99,3360222.86,1218699.89,148751.71,317548.58999999997,1089722.4,20770956.0
1.0,127047404.0,South Side Area SD,Beaver,10643128.229999999,7045419.02,793681.33,3601225.77,789565.24,511837.29000000004,3464782.3299999996,1465207.92,180131.59000000003,256709.28999999998,1205000.0,25561780.91
1.0,127049303.0,Western Beaver County SD,Beaver,6047949.6899999995,3807081.2199999993,455193.19,2064420.8799999997,1050560.96,261018.9,3336733.35,918139.43,88385.5,167466.25,552928.98,16230264.28
1.0,108051003.0,Bedford Area SD,Bedford,11636876.530000001,8778099.860000001,862059.0900000001,4030400.1100000003,2412313.5300000003,241252.76,6555149.83,2616911.98,139134.05000000002,761024.61,2061032.68,35201795.83
1.0,108051503.0,Chestnut Ridge SD,Bedford,8862728.590000002,6350729.47,665528.49,3078195.66,940694.09,172721.54,3645792.4400000004,1710825.48,319139.58999999997,214534.31,1804661.08,24021826.59
1.0,108053003.0,Everett Area SD,Bedford,8209145.52,5396184.72,627819.12,2860320.46,1406661.6300000001,284387.42,3382672.65,1066987.29,125044.10999999999,419171.99,4848837.84,25139093.17
1.0,108056004.0,Northern Bedford County SD,Bedford,6571850.08,4441699.79,494016.26,2274453.1500000004,578011.41,86917.09,1819798.59,813864.6900000001,27491.76,179020.28,2884241.5,17402895.19
1.0,108058003.0,Tussey Mountain SD,Bedford,7006691.459999999,5231637.78,523196.93999999994,2429400.69,1403350.2000000002,274642.74,2434668.61,667399.04,157072.3,462056.94999999995,1521284.69,19158803.77
1.0,114060503.0,Antietam SD,Berks,8295723.09,5586511.21,614382.96,2851899.46,1757081.37,929018.17,2590757.55,1211211.7699999998,831780.99,635001.67,1203047.0,23040132.82
1.0,114060753.0,Boyertown Area SD,Berks,49672726.87,31842777.409999996,3699927.8,17357993.009999998,13125001.25,875010.5,16022913.190000001,4037652.53,451772.18,2718946.2600000002,19710557.97,138457358.16
1.0,114060853.0,Brandywine Heights Area SD,Berks,14106519.450000001,8189634.97,1041133.78,4770151.8,2198018.9,693774.02,4456028.61,1843676.66,614560.1699999999,782899.61,2146676.23,35031788.62
1.0,114061103.0,Conrad Weiser Area SD,Berks,24622625.630000003,16546224.620000001,1834542.3800000001,8361582.74,2444898.09,667416.25,6494952.22,2179083.2,482530.17000000004,2596615.4000000004,6941050.67,62975396.25
1.0,114061503.0,Daniel Boone Area SD,Berks,23588002.86,13677769.12,1630183.91,7611047.43,2110551.62,3641640.71,9789364.0,1694795.7299999997,433790.56000000006,2445729.57,5359186.62,62740830.79
1.0,114062003.0,Exeter Township SD,Berks,35688331.75,23223773.4,2630127.5300000003,11926771.36,2819123.62,1487726.0899999999,5097901.25,4472438.59,1449781.4300000002,1549615.65,7009329.8,82798021.58
1.0,114062503.0,Fleetwood Area SD,Berks,21358862.939999998,13734564.559999999,1563931.04,7466088.98,2815589.84,676079.92,6696232.83,1981789.68,161350.01,169035.52,4124442.83,51717948.13
1.0,114063003.0,Governor Mifflin SD,Berks,32104892.45,20247077.91,2383898.18,11143131.08,3215309.45,3733327.12,9963264.58,2370698.9299999997,1033985.8400000001,298847.01,10443649.79,83411053.08
1.0,114063503.0,Hamburg Area SD,Berks,19249751.650000002,12034697.46,1418291.1,6672837.7,868587.71,740486.0199999999,7176781.11,2151952.94,654555.21,1852240.3699999999,2714906.71,47443959.18
1.0,114064003.0,Kutztown Area SD,Berks,15414760.940000001,9482325.719999999,1132923.07,5266126.970000001,1376631.3000000003,887742.1799999999,4959501.84,1798572.71,608094.3999999999,747441.3200000001,2202272.92,37477343.33
1.0,114065503.0,Muhlenberg SD,Berks,29690463.509999998,18839684.91,2195002.3200000003,10236202.42,3205434.76,870882.93,7789925.399999999,3086410.35,386167.55,154143.14,5773833.78,69796946.33
1.0,114066503.0,Oley Valley SD,Berks,13991085.88,8868878.31,1035340.1500000001,4840179.77,3171896.28,695102.8400000001,4851741.8,1750355.8299999998,949411.4500000001,910527.01,2394394.05,37583393.45
1.0,114067002.0,Reading SD,Berks,114378663.61999999,80603425.57,8516518.469999999,39072027.96,32394938.77,22107784.52,47028193.27,16824927.09,2548082.06,10327585.2,26843000.0,353056600.1
1.0,114067503.0,Schuylkill Valley SD,Berks,18438558.29,11412749.379999999,1404331.77,6268367.8,1482436.74,1044008.78,5634406.720000001,1976916.83,597566.77,170442.02000000002,5346584.12,46103669.65
1.0,114068003.0,Tulpehocken Area SD,Berks,14122510.72,9054471.46,1039793.6699999999,4887463.66,1098723.46,756363.43,4547709.46,1568366.06,382120.62,307809.91,7663308.6,39501383.72
1.0,114068103.0,Twin Valley SD,Berks,25979665.56,18524325.259999998,1945254.3699999999,8826185.52,5079591.79,848491.25,10570811.549999999,2386281.2800000003,1375825.72,1469573.47,3305000.0,69539565.88
1.0,114069103.0,Wilson SD,Berks,56559750.339999996,35769356.28,4207605.5600000005,19737676.23,3639084.87,2824722.23,6136612.380000001,4120305.3000000003,239196.22,326852.95,16009266.06,125625146.63
1.0,114069353.0,Wyomissing Area SD,Berks,17648335.69,11145808.360000001,1298752.38,6101756.45,1833588.77,999284.3300000001,3840063.81,1392686.8199999998,827887.87,1393318.6,2186037.15,41267011.4
1.0,108070502.0,Altoona Area SD,Blair,53334279.62,32046315.860000003,3973059.56,18753550.05,3368993.23,4335021.6,13440383.670000002,7310761.0200000005,922331.8600000001,3945452.58,4482092.49,123185631.93
1.0,108071003.0,Bellwood-Antis SD,Blair,8816564.68,6041999.76,654660.71,2971883.72,982437.8500000001,170862.63,2015389.59,1089621.63,483948.20999999996,524068.29,1914569.52,22039462.16
1.0,108071504.0,Claysburg-Kimmel SD,Blair,5767909.0200000005,3953652.0,430216.49,1984101.3499999999,593152.77,698335.6799999999,1580236.66,929373.72,85790.5,11305.52,1165085.34,14784841.21
1.0,108073503.0,Hollidaysburg Area SD,Blair,22556844.990000002,15849080.35,1673828.24,7780226.58,1640045.03,227547.67,5939656.57,2263108.62,555010.59,883046.28,3398294.51,53312634.61
1.0,108077503.0,Spring Cove SD,Blair,10552256.31,7128147.04,790769.75,3580031.83,1751503.12,568584.45,3993425.67,2421123.11,110224.77,393184.89,2565000.0,29483449.36
1.0,108078003.0,Tyrone Area SD,Blair,12336905.629999999,7992512.64,923190.9099999999,4203357.13,1014807.6699999999,1468757.0599999998,3027667.4,2270204.87,350662.42000000004,153312.35,644015.4,29258845.44
1.0,108079004.0,Williamsburg Community SD,Blair,3195480.5100000002,2374142.0500000003,240758.7,1103703.7700000003,611434.9600000001,141162.87,1368026.47,407299.11000000004,29921.79,205783.85,218797.0,8552048.61
1.0,117080503.0,Athens Area SD,Bradford,18245121.02,13230608.040000001,1344251.69,6240564.72,2467803.6300000004,560622.36,5058586.869999999,2259928.84,962704.32,299541.5399999999,3892325.01,46977241.63
1.0,117081003.0,Canton Area SD,Bradford,7543722.81,5146555.05,547714.08,2582815.34,726928.63,1641275.12,2161056.6,715513.0399999999,0.0,71592.96,838000.0,18844644.21
1.0,117083004.0,Northeast Bradford SD,Bradford,6346947.669999999,4526270.04,474132.83,2169733.56,808346.34,660848.4099999999,1779653.41,544645.29,69313.76000000001,146906.03,743749.99,15626680.94
1.0,117086003.0,Sayre Area SD,Bradford,8714469.87,6633595.149999999,640505.08,2929058.49,1819033.92,283765.47,2026696.8,999624.4099999999,352813.17,127728.56,2875349.45,23833076.8
1.0,117086503.0,Towanda Area SD,Bradford,12066608.81,8118032.01,889728.9899999999,4008361.76,1781509.2400000002,238794.75,3280297.79,1748872.3800000001,152201.56,280804.74,2540000.0,30207121.28
1.0,117086653.0,Troy Area SD,Bradford,10046148.1,8099537.14,748366.51,3499518.1999999997,1121602.96,205971.97,3137373.7399999998,1144729.0099999998,234321.83,820760.91,2276109.42,27086555.08
1.0,117089003.0,Wyalusing Area SD,Bradford,9634411.38,6928483.27,724182.28,3364361.45,1788597.28,1143135.3,3577867.06,1114583.08,434375.91000000003,638093.05,2253858.44,27513404.77
1.0,122091002.0,Bensalem Township SD,Bucks,64803364.01,40707800.26,4764050.890000001,22599997.81,13925213.690000001,1203144.9200000002,27319105.779999997,6226273.470000001,1525462.1,3596649.39,8148429.65,167455443.27
1.0,122091303.0,Bristol Borough SD,Bucks,11985177.309999999,7264564.76,890126.1,3946353.62,1495945.0899999999,1246187.27,3348305.0300000003,1960752.71,98606.86,431918.8,1587521.91,29418979.74
1.0,122091352.0,Bristol Township SD,Bucks,53785996.86,35374431.54000001,3756449.52,18868722.880000003,14766055.25,10007943.54,25962393.909999996,5919814.329999999,1386824.6700000002,6446444.4,43168399.38,196818303.88
1.0,122092002.0,Centennial SD,Bucks,60676878.839999996,34456769.480000004,4470924.38,21309349.259999998,9296744.64,2212256.3600000003,11160954.31,4228774.77,1176094.26,5808488.83,11258053.05,140275014.54
1.0,122092102.0,Central Bucks SD,Bucks,177976488.97,113477279.83000001,13087390.979999999,62781925.64,9324039.08,3956757.67,26034706.51,11569718.319999998,460731.33999999997,1092164.92,17164200.0,361056086.64
1.0,122092353.0,Council Rock SD,Bucks,117127308.78,73891108.54,8617101.17,41460159.25,8160833.95,6455961.140000001,23222319.14,7463825.06,2395951.9499999997,634820.6599999999,19446165.13,258798294.35
1.0,122097203.0,Morrisville Borough SD,Bucks,9106340.0,5129776.0,635965.0,2936362.0,4009405.0,500730.0,4080447.0,864148.0,44593.0,360740.0,577709.0,24673888.0
1.0,122097502.0,Neshaminy SD,Bucks,84237424.77,48431178.169999994,6228154.65,27717425.03,19149695.070000004,7150959.08,14549850.190000001,7024225.58,10358211.559999999,5945078.56,6449914.0,203296536.98
1.0,122097604.0,New Hope-Solebury SD,Bucks,20989463.939999998,11920839.35,1501515.01,6736752.18,2697903.56,384403.56,3396658.02,1988013.65,202079.2,875221.74,3232705.0,45687288.02
1.0,122098003.0,Palisades SD,Bucks,18853399.07,12249505.32,1357317.57,6604636.73,2956359.73,478815.93,6364357.9799999995,1898675.1,327836.64,244903.82,2131685.0,45505538.59
1.0,122098103.0,Pennridge SD,Bucks,69208496.41,39488161.53,5069949.51,23987995.36,9616961.79,2510284.6999999997,10591526.799999999,7584478.3,209306.2,2102088.77,11150000.0,152461304.5
1.0,122098202.0,Pennsbury SD,Bucks,108141645.10000001,64299016.730000004,8014505.620000001,37796625.3,9913433.689999998,2408540.07,19347165.240000002,8585988.83,3121029.25,5608442.9399999995,15141662.33,236566924.18
1.0,122098403.0,Quakertown Community SD,Bucks,44980508.46,28957602.919999998,3327097.11,15677242.969999999,10626198.48,1713165.0199999998,14303515.320000002,5014758.1899999995,308299.36,4894373.050000001,7946058.61,118744479.41
1.0,104101252.0,Butler Area SD,Butler,44398511.31,31396485.150000002,3348039.88,15462046.71,3745232.02,461362.1,15935287.780000001,3842342.4,478685.45999999996,193408.55,8809243.42,109260558.19
1.0,104103603.0,Karns City Area SD,Butler,10216501.28,6829433.359999999,765240.56,3631455.7399999998,1230390.93,774637.63,3797457.59,1454086.4900000002,366098.33999999997,816378.16,1004136.0,26489119.78
1.0,104107803.0,Knoch SD,Butler,15429861.53,10362071.11,1149252.6800000002,5242233.58,1265174.7199999997,308916.63,5656789.0200000005,1771547.1199999999,565998.8300000001,1525246.8,664350.59,37549956.35
1.0,104105003.0,Mars Area SD,Butler,22490283.55,13696017.44,1689579.8,7747485.489999999,2072749.9200000002,486468.00999999995,6322926.86,2550003.83,1322513.7500000002,159736.99,6283598.89,55384299.24
1.0,104105353.0,Moniteau SD,Butler,9049253.44,6274264.1,694059.85,3083887.12,618318.03,155758.52,4181848.9299999997,1053231.23,434684.97,842978.58,325000.0,22935337.8
1.0,104107903.0,Seneca Valley SD,Butler,67305794.35,42902006.72,5084501.33,23669031.05,4323466.37,3114678.0999999996,14644259.08,7005477.95,284363.01,4545258.32,18936670.38,163061974.28
1.0,104107503.0,Slippery Rock Area SD,Butler,13574155.0,9303485.0,1040569.0,4709157.0,1985433.0,1513142.0,5478529.0,1282519.0,482897.0,12942.0,1711123.0,35344225.0
