Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)",Local Other (6500-6999),Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Total Federal Revenue 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
4.0,126519119.0,Education Plus Academy Cyber CS,Chester,7128571.7,,6948722.279999999,6948722.28,0.9748,4146.6,0.0006,137779.0,0.0193,37923.82,0.0053
4.0,124150004.0,Pennsylvania Leadership Charter School,Chester,0.0,,,,,,,,,,
4.0,124153350.0,Renaissance Academy CS,Chester,20199950.0,,13760838.0,13760838.0,0.6812,504066.0,0.025,108063.0,0.0053,5826983.0,0.2885
4.0,124150005.0,Sankofa Academy CS,Chester,0.0,,,,,,,,,,
4.0,101833400.0,Sugar Valley Rural CS,Clinton,5065277.52,,4655499.760000001,4655499.76,0.9191,271343.08,0.0536,138434.68,0.0273,,0.0
4.0,116493130.0,Susq-Cyber CS,Columbia,1668468.05,,1584184.75,1584184.75,0.9495,84283.3,0.0505,,0.0,,0.0
4.0,115227010.0,Capital Area School for the Arts Charter School,Dauphin,1775453.97,,1606225.39,1606225.39,0.9047,169228.58,0.0953,,0.0,,0.0
4.0,115220002.0,Commonwealth Connections Academy CS,Dauphin,94987699.63,,90211019.5,90211019.5,0.9497,1832103.16,0.0193,2944576.97,0.031,,0.0
4.0,115220001.0,Infinity CS,Dauphin,1662778.9600000002,,1166107.51,1166107.51,0.7013,53164.36,0.032,3507.09,0.0021,440000.0,0.2646
4.0,115222343.0,Premier Arts and Science Charter School,Dauphin,1751717.79,,1517477.05,1517477.05,0.8663,115414.74,0.0659,118826.0,0.0678,,0.0
4.0,115223050.0,Sylvan Heights Science CS,Dauphin,2823831.56,,2456680.36,2456680.36,0.87,200186.2,0.0709,166965.0,0.0591,,0.0
4.0,125232950.0,Chester Community CS,Delaware,50623820.0,,46902275.0,46902275.0,0.9265,1073273.0,0.0212,2516182.0,0.0497,132090.0,0.0026
4.0,125236827.0,Chester CS for the Arts,Delaware,5651684.0,,5227170.0,5227170.0,0.9249,58391.0,0.0103,366123.0,0.0648,,0.0
4.0,125230002.0,Widener Partnership CS,Delaware,5808940.22,,5183287.0600000005,5183287.06,0.8923,47414.63,0.0082,578238.53,0.0995,,0.0
