Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense (AIE),"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,122091303.0,Bristol Borough SD,Bucks,18056594.39,5346582.26,293024.14,23696200.79,398510.0,2241910.19,26336620.98,17625029.22,12088300.19,4588689.69,1068579.81,302848.22,8176.48,,,,732157.42,230.53,1247807.42,272487.63,353038.03,1686035.65,519987.3,529816.44,5021.84
1.0,122091352.0,Bristol Township SD,Bucks,90698964.41,33239568.92,1161352.54,125099885.87,,36921820.8,162021706.67,94898346.58,51345166.65,31479257.76,6676566.89,360974.55,136947.8,,,700050.76,5098695.11,4528562.39,5492009.61,1397605.61,1238981.06,7708778.52,7052390.94,659631.73,62913.95
1.0,122092002.0,Centennial SD,Bucks,76349607.6,34535888.44,1579934.83,112465430.86999999,58800.31,11111367.95,123635599.13,87817535.23,52709705.76,21101876.26,2494822.26,9564.47,33638.85,,,,6229894.63,3013038.96,6932416.42,1087155.93,736620.02,7396747.26,5892551.83,3206362.69,41100.7
1.0,122092102.0,Central Bucks SD,Bucks,204222176.67,97135620.54,8935596.48,310293393.69,,24616241.18,334909634.87,236491488.74,147602721.43,46866029.55,4824859.66,4898119.81,30446.22,,,,14089928.29,12480661.3,15334416.17,4308008.29,1655863.46,26388066.28,18096823.9,4557810.4,224042.45
1.0,122092353.0,Council Rock SD,Bucks,156259635.33,59873575.61,3265849.93,219399060.87,335255.13,21621301.8,241355617.8,170505532.31,101671029.04,50853197.15,2076973.34,1632210.83,26224.97,,,,8292326.09,6651899.26,10808754.6,2874739.77,1597779.73,13393468.96,10120042.51,6038572.72,95991.97
1.0,122097203.0,Morrisville Borough SD,Bucks,15430222.0,6279950.0,424684.0,22134856.0,13629.0,1370067.0,23518552.0,16718241.61,8094413.0,6548371.0,787063.0,375.0,,,,,1061818.0,286454.0,1328425.0,335479.0,480108.0,1540548.0,706628.0,500940.0,39550.0
1.0,122097502.0,Neshaminy SD,Bucks,112864164.19,49829203.69,1808196.08,164501563.96,700151.26,69144764.62,234346479.84,126977649.69,70354774.45,31524876.79,8825210.19,918410.4,11095.37,,,1229796.99,7416748.48,5081486.1,9239545.84,1619267.29,1615461.81,11612299.5,9448065.77,3689683.23,106645.67
1.0,122097604.0,New Hope-Solebury SD,Bucks,22277362.25,12802797.01,717235.12,35797394.379999995,24447.0,6277556.62,42099398.0,29415388.64,14911972.4,6556723.35,808666.5,,,,,,2087713.83,2484176.05,2521829.31,500271.7,741707.83,3074928.75,922065.67,458284.83,11819.04
1.0,122098003.0,Palisades SD,Bucks,24823879.58,14197554.77,1355699.66,40377134.00999999,403082.48,2299697.8,43079914.29,31946846.28,16916875.28,6584768.04,1028571.58,230760.06,1019.0,45985.62,15900.0,,1785496.81,994379.61,3136995.35,448752.45,878124.25,3772446.35,2075817.64,1092067.43,13474.88
1.0,122098103.0,Pennridge SD,Bucks,86249023.54,40025018.15,1658820.41,127932862.1,,11940245.73,139873107.83,99034868.56,57842259.59,24670062.73,3297320.28,403772.47,34108.68,1499.79,,,5356723.65,4007696.55,8716582.01,1294442.76,846201.07,9988829.7,7692228.22,1773687.04,348627.15
