Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,123465702.0,North Penn SD,Montgomery,286345751.31,211412421.70999998,5617507.44,217029929.15,0.7579,54362596.59,0.1898,4940832.57,0.0173,10012393.0,0.035
1.0,123466103.0,Perkiomen Valley SD,Montgomery,113723552.65,86973021.82000001,1957809.5,88930831.32,0.782,23487466.09,0.2065,1303255.24,0.0115,2000.0,0.0
1.0,123466303.0,Pottsgrove SD,Montgomery,67730108.45,43659958.0,1740257.0,45400215.0,0.6703,20632529.0,0.3046,1601025.0,0.0236,96339.45,0.0014
1.0,123466403.0,Pottstown SD,Montgomery,71188388.17,33725053.53,2070353.1300000001,35795406.66,0.5028,30054482.3,0.4222,5287467.48,0.0743,51031.73,0.0007
1.0,123467103.0,Souderton Area SD,Montgomery,134792600.16,96349995.95,3285299.4299999997,99635295.38,0.7392,31288738.48,0.2321,3863369.3,0.0287,5197.0,0.0
1.0,123467203.0,Springfield Township SD,Montgomery,59814134.0,47138674.0,1171367.0,48310041.0,0.8077,10812231.0,0.1808,687459.0,0.0115,4403.0,0.0001
1.0,123467303.0,Spring-Ford Area SD,Montgomery,180287679.99,128464068.32999998,2657322.52,131121390.85,0.7273,33530534.06,0.186,4182947.61,0.0232,11452807.47,0.0635
1.0,123468303.0,Upper Dublin SD,Montgomery,106380717.59,84472448.24000001,1430048.5000000002,85902496.74,0.8075,18508688.68,0.174,728501.17,0.0068,1241031.0,0.0117
1.0,123468402.0,Upper Merion Area SD,Montgomery,120315183.78,98404691.69,3002632.7699999996,101407324.46,0.8428,16223094.78,0.1348,2066075.89,0.0172,618688.65,0.0051
1.0,123468503.0,Upper Moreland Township SD,Montgomery,70799445.18,53279437.54,1918067.8700000003,55197505.41,0.7796,14051055.45,0.1985,1503262.51,0.0212,47621.81,0.0007
1.0,123468603.0,Upper Perkiomen SD,Montgomery,67470888.15,43973766.78,1310127.11,45283893.89,0.6712,20493599.82,0.3037,1689131.89,0.025,4262.55,0.0001
1.0,123469303.0,Wissahickon SD,Montgomery,112137009.01,87961557.93999998,1871897.4900000002,89833455.43,0.8011,20797873.27,0.1855,1505488.86,0.0134,191.45,0.0
1.0,116471803.0,Danville Area SD,Montour,61498336.04,22197863.8,1840445.7,24038309.5,0.3909,15328053.14,0.2492,3812842.2,0.062,18319131.2,0.2979
1.0,120480803.0,Bangor Area SD,Northampton,61049333.18,35858790.04,781607.3899999999,36640397.43,0.6002,21062588.33,0.345,3346347.42,0.0548,,0.0
1.0,120481002.0,Bethlehem Area SD,Northampton,299284573.84,206406087.56,4124615.57,210530703.13,0.7034,77791608.56,0.2599,10924238.02,0.0365,38024.13,0.0001
1.0,120483302.0,Easton Area SD,Northampton,173847564.08,115922364.23,1506924.7299999997,117429288.96,0.6755,52203613.85,0.3003,4017506.27,0.0231,197155.0,0.0011
1.0,120484803.0,Nazareth Area SD,Northampton,97393578.29,69590011.77,1341567.0599999998,70931578.83,0.7283,23523155.47,0.2415,2212916.58,0.0227,725927.41,0.0075
1.0,120484903.0,Northampton Area SD,Northampton,113351867.87,75691525.7,1765777.18,77457302.88,0.6833,33449934.8,0.2951,2444630.19,0.0216,,0.0
1.0,120485603.0,Pen Argyl Area SD,Northampton,32758581.3,20724495.84,545957.92,21270453.76,0.6493,10687728.71,0.3263,800398.83,0.0244,,0.0
