Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,"Actual
Instruction Expense (AIE)",Regular Programs - E/S 1100,Special and Gifted Education 1200,"Vocational Education Programs
1300",Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,"Pre-Kindergarten
1800","Pupil Personnel
2100","Instructional Staff
2200","Administration
2300","Pupil Health
2400","Business
2500",Operation & Maintenance of Plant Services 2600,"Student Transportation Services
2700","Central
2800","Other Support Services
2900"
1.0,108078003.0,Tyrone Area SD,Blair,13693764.0,8192023.72,536854.0,22422641.72,,1100000.0,23522641.72,14215145.03,8535979.23,2725311.21,856482.18,966000.88,,,,609990.5,864122.58,532845.75,1618219.52,353277.2,580565.83,2182293.11,1320983.87,613240.43,126475.43
1.0,108079004.0,Williamsburg Community SD,Blair,4021442.01,2411367.67,244601.35,6677411.03,,749853.74,7427264.77,4637239.44,2813870.45,952005.34,242580.3,12985.92,,,,,139762.08,219862.61,746120.97,120931.99,191596.22,701138.33,290712.4,,1243.07
1.0,117080503.0,Athens Area SD,Bradford,22673454.33,10473494.73,527331.4,33674280.46,148822.95,4139289.07,37962392.48,23553908.75,15187703.93,5613258.44,1801661.59,70830.37,,,,,1030958.47,1463710.31,1996283.68,374927.28,561745.59,2498638.55,1999214.24,548016.61,
1.0,117081003.0,Canton Area SD,Bradford,9136281.13,4400804.34,357183.4,13894268.87,13150.0,927520.19,14834939.06,9582351.7,6962203.16,1717082.54,239343.02,217652.41,,,,,365207.84,311134.08,974559.56,177781.6,306816.58,1134154.95,891486.79,239662.94,
1.0,117083004.0,Northeast Bradford SD,Bradford,8794613.06,4712626.26,278665.18,13785904.5,,930084.62,14715989.12,9822394.63,6448472.75,1896995.41,325694.1,123450.8,,,,,460873.45,343676.08,897539.27,181473.1,487618.33,853950.67,1127025.1,360470.26,
1.0,117086003.0,Sayre Area SD,Bradford,12258955.45,5748866.87,649576.34,18657398.66,3407.5,565330.17,19226136.33,13969315.34,8237500.73,3135318.11,638503.18,68043.22,1470.52,,,178119.69,693969.92,311203.75,1200155.89,155713.77,625586.45,1848373.06,561575.59,352288.44,
1.0,117086503.0,Towanda Area SD,Bradford,14769366.25,7052818.82,656180.09,22478365.16,474152.94,2927701.68,25880219.78,15449516.84,10051186.72,3639256.53,730797.26,34192.27,6189.29,70.0,,307674.18,584107.01,1007640.77,1279338.63,210278.79,518850.8,2062568.38,1343787.79,46246.65,
1.0,117086653.0,Troy Area SD,Bradford,12667870.51,7057400.95,500442.45,20225713.91,,2954574.78,23180288.69,14025792.5,9140394.26,2805093.94,612017.66,110364.65,,,,,677296.33,1345567.47,1376880.13,201785.19,305647.52,1451730.09,1426965.94,271528.28,
1.0,117089003.0,Wyalusing Area SD,Bradford,12149272.7,6196118.11,364628.59,18710019.4,,2615475.0,21325494.4,13497720.71,8362928.54,2893293.07,861223.48,20491.69,11335.92,,,,868981.61,647620.59,1106455.39,197615.9,559615.38,1388125.02,1418943.82,8760.4,
1.0,122091002.0,Bensalem Township SD,Bucks,95826015.33,40076496.6,1460205.6,137362717.53,,10840905.15,148203622.68,107936813.3,60716476.58,30152176.63,4924867.64,32494.48,,,,,4873437.82,6629810.2,6579635.0,1580038.0,1195457.48,10335760.6,7432827.41,789789.62,659740.47
1.0,122091303.0,Bristol Borough SD,Bucks,16258804.22,4908563.97,311954.51,21479322.7,56593.79,2134045.46,23669961.95,15961960.19,10769554.42,4268755.51,908975.37,307402.92,4116.0,,,,578977.31,185868.78,1223152.48,211488.3,357800.08,1578384.88,518904.79,248791.2,5196.15
1.0,122091352.0,Bristol Township SD,Bucks,86978301.09,33342506.01,1176206.06,121497013.16,,9702384.73,131199397.89,92137594.97,48432252.41,30829093.84,6301632.42,580182.01,42475.43,,,792664.98,4198376.07,4912548.9,5771442.5,1340912.92,1223551.29,7469808.71,7550510.81,811175.68,64179.13
1.0,122092002.0,Centennial SD,Bucks,67082594.72,32088692.44,1443202.03,100614489.19,428771.16,13698912.02,114742172.37,76690892.56,47790737.99,17185670.06,2069196.0,36990.67,,,,,5257368.35,3333918.02,5993657.39,1158294.58,1028943.52,7847501.47,5077001.06,2349673.18,42334.87
1.0,122092102.0,Central Bucks SD,Bucks,179969021.62,91685013.81,7774380.71,279428416.14,,44714193.77,324142609.91,211454517.31,131370598.56,40853675.74,4351610.77,3388983.55,4153.0,,,,13557042.24,11037405.37,13744709.58,4437433.62,1577025.64,24813967.23,18913991.14,3378805.41,224633.58
1.0,122092353.0,Council Rock SD,Bucks,144008558.14,58137870.78,3559240.0,205705668.92,,21238995.66,226944664.58,159420979.93,93636414.94,46728380.11,1666633.87,1974704.59,2424.63,,,,7948390.41,6496935.8,9837567.17,2866885.89,1447201.07,13185012.45,12226529.5,4031234.42,98114.07
1.0,122097203.0,Morrisville Borough SD,Bucks,13852695.0,4728404.0,535503.0,19116602.0,,1483862.0,20600464.0,14074395.14,7193665.0,5418659.0,769844.0,4703.0,,,,465824.0,733929.0,108758.0,1012395.0,174323.0,464756.0,1361639.0,438273.0,384821.0,49510.0
1.0,122097502.0,Neshaminy SD,Bucks,113787542.45,47209884.59,1963160.17,162960587.21,500916.69,11437105.73,174898609.63,125140291.49,69271515.56,34762431.59,8512004.38,939057.92,13533.0,,,289000.0,6643266.06,3395337.7,8358148.98,1642947.74,1533814.48,11341045.11,10075919.0,4109599.31,109806.21
1.0,122097604.0,New Hope-Solebury SD,Bucks,21529977.85,13121476.97,728748.9,35380203.72,,3404901.28,38785105.0,28791584.79,14999007.45,5689130.78,839967.7,1871.92,,,,,1979188.76,2455276.94,2458730.97,383807.31,760446.96,3196090.4,1464783.36,411861.59,11290.68
