Unnamed: 0,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,124156503.0,Octorara Area SD,Chester,60284107.4,39497143.98,1685551.18,41182695.16,0.6831,16689836.8,0.2769,2405405.44,0.0399,6170.0,0.0001
1.0,124156603.0,Owen J Roberts SD,Chester,128103233.53,94056826.47,4799326.72,98856153.19,0.7717,26420296.76,0.2062,2819344.94,0.022,7438.64,0.0001
1.0,124156703.0,Oxford Area SD,Chester,79406173.19,43907564.83,1834593.51,45742158.34,0.5761,29500043.92,0.3715,4088217.13,0.0515,75753.8,0.001
1.0,124157203.0,Phoenixville Area SD,Chester,113112912.95,86068376.82,3608170.04,89676546.86,0.7928,20273267.6,0.1792,3124114.28,0.0276,38984.21,0.0003
1.0,124157802.0,Tredyffrin-Easttown SD,Chester,166929045.59,133456601.16,6127784.82,139584385.98,0.8362,25713932.22,0.154,1630727.39,0.0098,,0.0
1.0,124158503.0,Unionville-Chadds Ford SD,Chester,97508254.1,75751676.84,2646710.98,78398387.82,0.804,17999362.98,0.1846,1077870.3,0.0111,32633.0,0.0003
1.0,124159002.0,West Chester Area SD,Chester,289804646.09,225214729.09,9471682.76,234686411.85,0.8098,49369224.83,0.1704,5749009.41,0.0198,,0.0
1.0,106160303.0,Allegheny-Clarion Valley SD,Clarion,15701997.07,4329797.98,251441.79,4581239.77,0.2918,10054834.7,0.6404,1033262.49,0.0658,32660.11,0.0021
1.0,106161203.0,Clarion Area SD,Clarion,17028871.97,7912447.68,705813.53,8618261.21,0.5061,6671146.28,0.3918,1739464.48,0.1021,,0.0
1.0,106161703.0,Clarion-Limestone Area SD,Clarion,16138765.65,5418309.15,396742.73,5815051.88,0.3603,9644927.42,0.5976,678786.35,0.0421,,0.0
