District,Subject,Demographic,Total_Students,p4,p5,p6,p7
NORTH HILLS SD,Literature,All Students,318,14.800000000000002,66.4,15.1,3.8
NORTH HILLS SD,Literature,Historically Underperforming,85,1.2,57.60000000000001,30.599999999999998,10.6
NORTHGATE SD,Algebra I,All Students,71,5.6,50.7,36.6,7.000000000000001
NORTHGATE SD,Algebra I,Historically Underperforming,39,2.6,46.2,41.0,10.3
NORTHGATE SD,Biology,All Students,74,16.2,36.5,32.4,14.899999999999999
NORTHGATE SD,Biology,Historically Underperforming,42,4.8,35.7,35.7,23.8
NORTHGATE SD,Literature,All Students,74,12.200000000000001,60.8,24.3,2.7
NORTHGATE SD,Literature,Historically Underperforming,41,4.8999999999999995,53.7,36.6,4.8999999999999995
PA DISTANCE LEARNING CS,Algebra I,All Students,48,4.2,25.0,43.8,27.1
PA DISTANCE LEARNING CS,Algebra I,Historically Underperforming,16,6.3,18.8,43.8,31.3
PA DISTANCE LEARNING CS,Biology,All Students,47,0.0,36.2,25.5,38.3
PA DISTANCE LEARNING CS,Biology,Historically Underperforming,15,0.0,33.3,20.0,46.7
PA DISTANCE LEARNING CS,Literature,All Students,46,0.0,56.49999999999999,28.300000000000004,15.2
PA DISTANCE LEARNING CS,Literature,Historically Underperforming,15,0.0,53.29999999999999,40.0,6.7
PARKWAY WEST AVTS,Algebra I,All Students,2,NULL,NULL,NULL,NULL
PARKWAY WEST AVTS,Algebra I,Historically Underperforming,1,NULL,NULL,NULL,NULL
PARKWAY WEST AVTS,Biology,All Students,2,NULL,NULL,NULL,NULL
PARKWAY WEST AVTS,Biology,Historically Underperforming,1,NULL,NULL,NULL,NULL
PARKWAY WEST AVTS,Literature,All Students,2,NULL,NULL,NULL,NULL
PARKWAY WEST AVTS,Literature,Historically Underperforming,1,NULL,NULL,NULL,NULL
PENN HILLS SD,Algebra I,All Students,273,4.0,24.500000000000004,43.2,28.199999999999996
PENN HILLS SD,Algebra I,Historically Underperforming,164,1.8000000000000003,19.5,43.3,35.4
PENN HILLS SD,Biology,All Students,279,14.000000000000002,21.9,26.5,37.6
PENN HILLS SD,Biology,Historically Underperforming,163,6.7,19.6,26.400000000000002,47.2
PENN HILLS SD,Literature,All Students,277,2.2,47.70000000000001,33.6,16.6
PENN HILLS SD,Literature,Historically Underperforming,162,0.0,42.6,35.8,21.6
PINE-RICHLAND SD,Algebra I,All Students,400,40.5,47.0,11.0,1.5
PINE-RICHLAND SD,Algebra I,Historically Underperforming,67,16.4,38.8,38.8,5.999999999999999
PINE-RICHLAND SD,Biology,All Students,399,47.6,37.8,11.8,2.8
PINE-RICHLAND SD,Biology,Historically Underperforming,66,21.2,31.8,34.8,12.1
PINE-RICHLAND SD,Literature,All Students,402,10.0,82.8,6.7,0.5000000000000001
PINE-RICHLAND SD,Literature,Historically Underperforming,68,2.9,64.7,29.4,2.9
PITTSBURGH SD,Algebra I,All Students,1309,12.980061115355234,38.81459129106189,35.66951871657754,11.923376623376623
PITTSBURGH SD,Algebra I,Historically Underperforming,798,5.506892230576441,31.32857142857143,44.2294486215539,17.90288220551378
PITTSBURGH SD,Biology,All Students,1300,15.831769230769229,28.077615384615385,27.847615384615388,28.232846153846154
PITTSBURGH SD,Biology,Historically Underperforming,792,5.297727272727273,23.244065656565652,31.935353535353535,39.528787878787874
PITTSBURGH SD,Literature,All Students,1311,5.79023646071701,58.518840579710144,23.48840579710145,11.603203661327232
PITTSBURGH SD,Literature,Historically Underperforming,802,2.245137157107232,49.13142144638403,30.541022443890277,17.08890274314214
PLUM BOROUGH SD,Algebra I,All Students,283,17.0,60.4,20.5,2.1
PLUM BOROUGH SD,Algebra I,Historically Underperforming,88,14.800000000000002,53.400000000000006,26.1,5.7
PLUM BOROUGH SD,Biology,All Students,282,30.5,44.7,20.9,3.9
PLUM BOROUGH SD,Biology,Historically Underperforming,88,26.1,40.9,28.4,4.5
PLUM BOROUGH SD,Literature,All Students,284,7.400000000000001,75.7,13.699999999999998,3.2
PLUM BOROUGH SD,Literature,Historically Underperforming,89,7.9,65.2,20.2,6.7
PROPEL CS - BRADDOCK HILLS,Algebra I,All Students,52,5.800000000000001,42.3,40.4,11.5
PROPEL CS - BRADDOCK HILLS,Algebra I,Historically Underperforming,36,2.8000000000000003,30.599999999999998,52.800000000000004,13.900000000000002
PROPEL CS - BRADDOCK HILLS,Biology,All Students,49,14.3,26.5,32.7,26.5
PROPEL CS - BRADDOCK HILLS,Biology,Historically Underperforming,34,5.9,20.6,38.2,35.3
PROPEL CS - BRADDOCK HILLS,Literature,All Students,53,1.9,71.7,18.9,7.5
PROPEL CS - BRADDOCK HILLS,Literature,Historically Underperforming,37,2.7,59.5,27.0,10.8
PROPEL CS - HOMESTEAD,Algebra I,All Students,35,0.0,28.6,42.9,28.6
PROPEL CS - HOMESTEAD,Algebra I,Historically Underperforming,25,0.0,24.0,40.0,36.0
PROPEL CS - HOMESTEAD,Biology,All Students,35,0.0,25.7,34.3,40.0
PROPEL CS - HOMESTEAD,Biology,Historically Underperforming,25,0.0,28.000000000000004,28.000000000000004,44.0
PROPEL CS - HOMESTEAD,Literature,All Students,35,0.0,51.4,25.7,22.899999999999995
PROPEL CS - HOMESTEAD,Literature,Historically Underperforming,25,0.0,44.0,24.0,32.0
QUAKER VALLEY SD,Algebra I,All Students,168,41.70000000000001,43.5,11.9,3.0
QUAKER VALLEY SD,Algebra I,Historically Underperforming,35,22.899999999999995,42.9,20.0,14.3
QUAKER VALLEY SD,Biology,All Students,170,51.2,30.0,13.5,5.3
QUAKER VALLEY SD,Biology,Historically Underperforming,35,22.899999999999995,34.3,22.899999999999995,20.0
QUAKER VALLEY SD,Literature,All Students,171,21.600000000000005,64.9,8.8,4.700000000000001
QUAKER VALLEY SD,Literature,Historically Underperforming,36,2.8000000000000003,63.9,13.900000000000002,19.4
RIVERVIEW SD,Algebra I,All Students,64,26.6,45.3,25.0,3.1
RIVERVIEW SD,Algebra I,Historically Underperforming,17,11.8,41.2,35.3,11.8
RIVERVIEW SD,Biology,All Students,64,35.9,40.6,15.6,7.8
RIVERVIEW SD,Biology,Historically Underperforming,18,22.2,33.3,22.2,22.2
RIVERVIEW SD,Literature,All Students,64,20.3,56.3,21.9,1.6
RIVERVIEW SD,Literature,Historically Underperforming,18,16.7,27.800000000000004,50.0,5.6000000000000005
SHALER AREA SD,Algebra I,All Students,299,13.4,57.2,21.7,7.7
SHALER AREA SD,Algebra I,Historically Underperforming,113,9.7,42.5,29.2,18.6
SHALER AREA SD,Biology,All Students,303,31.7,43.2,17.5,7.6
SHALER AREA SD,Biology,Historically Underperforming,118,19.5,38.1,24.6,17.8
SHALER AREA SD,Literature,All Students,301,10.3,68.8,13.600000000000001,7.3
SHALER AREA SD,Literature,Historically Underperforming,115,4.3,58.3,18.3,19.1
SOUTH ALLEGHENY SD,Algebra I,All Students,109,2.8,55.00000000000001,35.8,6.4
SOUTH ALLEGHENY SD,Algebra I,Historically Underperforming,44,2.3,29.5,52.300000000000004,15.9
SOUTH ALLEGHENY SD,Biology,All Students,109,17.4,43.1,31.2,8.3
SOUTH ALLEGHENY SD,Biology,Historically Underperforming,44,9.099999999999998,22.7,50.0,18.199999999999996
SOUTH ALLEGHENY SD,Literature,All Students,109,3.7000000000000006,67.9,22.0,6.4
SOUTH ALLEGHENY SD,Literature,Historically Underperforming,44,0.0,43.2,40.9,15.9
SOUTH FAYETTE TOWNSHIP SD,Algebra I,All Students,206,40.300000000000004,49.5,9.2,1.0
SOUTH FAYETTE TOWNSHIP SD,Algebra I,Historically Underperforming,38,13.200000000000001,50.0,31.6,5.299999999999999
SOUTH FAYETTE TOWNSHIP SD,Biology,All Students,207,43.5,37.7,17.400000000000002,1.4
SOUTH FAYETTE TOWNSHIP SD,Biology,Historically Underperforming,38,7.9,47.400000000000006,36.8,7.9
SOUTH FAYETTE TOWNSHIP SD,Literature,All Students,207,17.9,75.8,5.3,0.9999999999999999
SOUTH FAYETTE TOWNSHIP SD,Literature,Historically Underperforming,38,2.6,73.7,18.4,5.299999999999999
SOUTH PARK SD,Algebra I,All Students,138,33.3,48.6,14.499999999999998,3.6000000000000005
SOUTH PARK SD,Algebra I,Historically Underperforming,39,15.4,38.5,33.3,12.8
SOUTH PARK SD,Biology,All Students,135,30.4,49.599999999999994,13.3,6.7
SOUTH PARK SD,Biology,Historically Underperforming,36,19.4,33.3,27.800000000000004,19.4
SOUTH PARK SD,Literature,All Students,138,10.1,71.7,13.0,5.1
