PITTSBURGH SD,Algebra I,All Students,67,1.5,28.4,53.7,16.4,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,59,1.7,30.5,49.2,18.6,2017
PITTSBURGH SD,Biology,All Students,65,0,3.1,23.1,73.8,2017
PITTSBURGH SD,Biology,Historically Underperforming,58,0,1.7,25.9,72.4,2017
PITTSBURGH SD,Literature,All Students,67,0,25.4,52.2,22.4,2017
PITTSBURGH SD,Literature,Historically Underperforming,59,0,23.7,50.8,25.4,2017
PITTSBURGH SD,Algebra I,All Students,117,12,55.6,28.2,4.3,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,54,7.4,53.7,35.2,3.7,2017
PITTSBURGH SD,Biology,All Students,116,17.2,35.3,37.1,10.3,2017
PITTSBURGH SD,Biology,Historically Underperforming,54,7.4,35.2,44.4,13,2017
PITTSBURGH SD,Literature,All Students,117,6.8,68.4,21.4,3.4,2017
PITTSBURGH SD,Literature,Historically Underperforming,54,1.9,64.8,29.6,3.7,2017
PITTSBURGH SD,Algebra I,All Students,24,4.2,25,50,20.8,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,11,0,9.1,54.5,36.4,2017
PITTSBURGH SD,Biology,All Students,24,8.3,12.5,37.5,41.7,2017
PITTSBURGH SD,Biology,Historically Underperforming,11,0,0,27.3,72.7,2017
PITTSBURGH SD,Literature,All Students,22,0,54.5,31.8,13.6,2017
PITTSBURGH SD,Literature,Historically Underperforming,10,NULL,NULL,NULL,NULL,2017
PITTSBURGH SD,Algebra I,All Students,70,20,70,10,0,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,34,14.7,76.5,8.8,0,2017
PITTSBURGH SD,Biology,All Students,70,42.9,51.4,5.7,0,2017
PITTSBURGH SD,Biology,Historically Underperforming,34,35.3,61.8,2.9,0,2017
PITTSBURGH SD,Literature,All Students,70,10,84.3,5.7,0,2017
PITTSBURGH SD,Literature,Historically Underperforming,34,8.8,82.4,8.8,0,2017
PLUM BOROUGH SD,Algebra I,All Students,302,17.5,58.6,19.2,4.6,2017
PLUM BOROUGH SD,Algebra I,Historically Underperforming,87,9.2,44.8,32.2,13.8,2017
PLUM BOROUGH SD,Biology,All Students,303,26.1,40.3,24.4,9.2,2017
PLUM BOROUGH SD,Biology,Historically Underperforming,87,14.9,28.7,34.5,21.8,2017
PLUM BOROUGH SD,Literature,All Students,300,8,67.7,15.7,8.7,2017
PLUM BOROUGH SD,Literature,Historically Underperforming,86,5.8,44.2,31.4,18.6,2017
PROPEL CS - BRADDOCK HILLS,Algebra I,All Students,65,7.7,33.8,46.2,12.3,2017
PROPEL CS - BRADDOCK HILLS,Algebra I,Historically Underperforming,51,5.9,33.3,47.1,13.7,2017
PROPEL CS - BRADDOCK HILLS,Biology,All Students,64,3.1,23.4,45.3,28.1,2017
PROPEL CS - BRADDOCK HILLS,Biology,Historically Underperforming,50,0,22,46,32,2017
PROPEL CS - BRADDOCK HILLS,Literature,All Students,66,6.1,53,33.3,7.6,2017
PROPEL CS - BRADDOCK HILLS,Literature,Historically Underperforming,51,3.9,47.1,43.1,5.9,2017
PROPEL CS - HOMESTEAD,Algebra I,All Students,43,9.3,25.6,37.2,27.9,2017
PROPEL CS - HOMESTEAD,Algebra I,Historically Underperforming,39,10.3,23.1,38.5,28.2,2017
PROPEL CS - HOMESTEAD,Biology,All Students,43,7,25.6,20.9,46.5,2017
PROPEL CS - HOMESTEAD,Biology,Historically Underperforming,39,5.1,25.6,20.5,48.7,2017
PROPEL CS - HOMESTEAD,Literature,All Students,43,2.3,48.8,25.6,23.3,2017
PROPEL CS - HOMESTEAD,Literature,Historically Underperforming,39,2.6,46.2,28.2,23.1,2017
QUAKER VALLEY SD,Algebra I,All Students,141,44.7,34,14.9,6.4,2017
QUAKER VALLEY SD,Algebra I,Historically Underperforming,32,18.8,25,31.3,25,2017
QUAKER VALLEY SD,Biology,All Students,143,57.3,25.9,9.8,7,2017
QUAKER VALLEY SD,Biology,Historically Underperforming,32,21.9,21.9,25,31.3,2017
QUAKER VALLEY SD,Literature,All Students,146,16.4,71.2,8.9,3.4,2017
QUAKER VALLEY SD,Literature,Historically Underperforming,33,3,54.5,27.3,15.2,2017
RIVERVIEW SD,Algebra I,All Students,63,17.5,58.7,19,4.8,2017
RIVERVIEW SD,Algebra I,Historically Underperforming,26,11.5,46.2,30.8,11.5,2017
RIVERVIEW SD,Biology,All Students,64,37.5,34.4,21.9,6.3,2017
RIVERVIEW SD,Biology,Historically Underperforming,26,23.1,30.8,30.8,15.4,2017
