Year,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2021,PINE-RICHLAND HS,Biology,Historically Underperforming,11,43,23.3,55.8,14,7
2021,PINE-RICHLAND HS,Literature,All Students,11,343,27.7,66.5,5.2,0.6
2021,PINE-RICHLAND HS,Literature,Historically Underperforming,11,56,7.1,64.3,25,3.6
2021,ACADEMY AT WESTINGHOUSE,Algebra I,All Students,11,67,1.5,3,40.3,55.2
2021,ACADEMY AT WESTINGHOUSE,Algebra I,Historically Underperforming,11,59,1.7,3.4,39,55.9
2021,ACADEMY AT WESTINGHOUSE,Biology,All Students,11,28,7.1,3.6,35.7,53.6
2021,ACADEMY AT WESTINGHOUSE,Biology,Historically Underperforming,11,26,7.7,3.8,34.6,53.8
2021,PITTSBURGH ALLDERDICE HS,Algebra I,All Students,11,284,20.8,35.9,33.5,9.9
2021,PITTSBURGH ALLDERDICE HS,Algebra I,Historically Underperforming,11,117,10.3,33.3,43.6,12.8
2021,PITTSBURGH ALLDERDICE HS,Biology,All Students,11,291,19.6,29.6,32.6,18.2
2021,PITTSBURGH ALLDERDICE HS,Biology,Historically Underperforming,11,125,8,23.2,41.6,27.2
2021,PITTSBURGH ALLDERDICE HS,Literature,All Students,11,17,11.8,23.5,35.3,29.4
2021,PITTSBURGH BRASHEAR HS,Algebra I,All Students,11,153,6.5,27.5,37.3,28.8
2021,PITTSBURGH BRASHEAR HS,Algebra I,Historically Underperforming,11,107,4.7,20.6,39.3,35.5
2021,PITTSBURGH BRASHEAR HS,Biology,All Students,11,144,3.5,24.3,35.4,36.8
2021,PITTSBURGH BRASHEAR HS,Biology,Historically Underperforming,11,94,3.2,20.2,36.2,40.4
2021,PITTSBURGH CAPA 6-12,Algebra I,All Students,11,124,25,50.8,21.8,2.4
2021,PITTSBURGH CAPA 6-12,Algebra I,Historically Underperforming,11,31,12.9,45.2,32.3,9.7
2021,PITTSBURGH CAPA 6-12,Biology,All Students,11,122,21.3,49.2,24.6,4.9
2021,PITTSBURGH CAPA 6-12,Biology,Historically Underperforming,11,30,10,26.7,53.3,10
2021,PITTSBURGH CARRICK HS,Algebra I,All Students,11,93,9.7,33.3,38.7,18.3
2021,PITTSBURGH CARRICK HS,Algebra I,Historically Underperforming,11,64,6.3,32.8,35.9,25
2021,PITTSBURGH CARRICK HS,Biology,All Students,11,44,0,40.9,40.9,18.2
2021,PITTSBURGH CARRICK HS,Biology,Historically Underperforming,11,27,0,44.4,33.3,22.2
2021,PITTSBURGH CARRICK HS,Literature,All Students,11,18,0,33.3,38.9,27.8
2021,PITTSBURGH CARRICK HS,Literature,Historically Underperforming,11,14,0,35.7,28.6,35.7
2021,PITTSBURGH MILLIONES 6-12,Algebra I,All Students,11,23,0,4.3,56.5,39.1
2021,PITTSBURGH MILLIONES 6-12,Algebra I,Historically Underperforming,11,21,0,4.8,57.1,38.1
2021,PITTSBURGH OBAMA 6-12,Algebra I,All Students,11,95,3.2,28.4,49.5,18.9
2021,PITTSBURGH OBAMA 6-12,Algebra I,Historically Underperforming,11,59,0,27.1,52.5,20.3
2021,PITTSBURGH OBAMA 6-12,Biology,All Students,11,110,13.6,31.8,32.7,21.8
2021,PITTSBURGH OBAMA 6-12,Biology,Historically Underperforming,11,60,3.3,26.7,40,30
2021,PITTSBURGH ONLINE ACADEMY,Algebra I,All Students,11,16,12.5,12.5,56.3,18.8
2021,PITTSBURGH PERRY HS,Algebra I,All Students,11,26,0,0,53.8,46.2
2021,PITTSBURGH PERRY HS,Algebra I,Historically Underperforming,11,22,0,0,54.5,45.5
2021,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,Algebra I,All Students,11,103,41.7,43.7,12.6,1.9
2021,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,Algebra I,Historically Underperforming,11,37,35.1,48.6,13.5,2.7
2021,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,Biology,All Students,11,96,57.3,33.3,7.3,2.1
2021,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,Biology,Historically Underperforming,11,32,53.1,31.3,12.5,3.1
2021,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,Literature,All Students,11,102,8.8,81.4,6.9,2.9
2021,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY 6-12,Literature,Historically Underperforming,11,36,5.6,86.1,5.6,2.8
2021,PLUM SHS,Algebra I,All Students,11,245,31.4,40.8,23.3,4.5
2021,PLUM SHS,Algebra I,Historically Underperforming,11,59,16.9,37.3,30.5,15.3
2021,PLUM SHS,Biology,All Students,11,255,35.7,39.6,18.8,5.9
2021,PLUM SHS,Biology,Historically Underperforming,11,65,26.2,35.4,30.8,7.7
2021,PROPEL CS-BRADDOCK HILLS,Algebra I,All Students,11,23,0,47.8,26.1,26.1
2021,PROPEL CS-BRADDOCK HILLS,Algebra I,Historically Underperforming,11,19,0,36.8,31.6,31.6
2021,PROPEL CS-HOMESTEAD,Algebra I,All Students,11,11,9.1,36.4,27.3,27.3
2021,PROPEL CS-MONTOUR,Algebra I,All Students,11,11,9.1,18.2,54.5,18.2
2021,QUAKER VALLEY HS,Algebra I,All Students,11,160,31.3,41.9,22.5,4.4
2021,QUAKER VALLEY HS,Algebra I,Historically Underperforming,11,44,6.8,40.9,36.4,15.9
2021,QUAKER VALLEY HS,Biology,All Students,11,145,48.3,40.7,7.6,3.4
2021,QUAKER VALLEY HS,Biology,Historically Underperforming,11,31,19.4,48.4,16.1,16.1
2021,RIVERVIEW JSHS,Algebra I,All Students,11,45,35.6,37.8,17.8,8.9
2021,RIVERVIEW JSHS,Algebra I,Historically Underperforming,11,13,7.7,46.2,30.8,15.4
2021,RIVERVIEW JSHS,Biology,All Students,11,55,38.2,30.9,14.5,16.4
2021,RIVERVIEW JSHS,Biology,Historically Underperforming,11,22,9.1,31.8,27.3,31.8
2021,SHALER AREA HS,Algebra I,All Students,11,318,19.8,42.1,28.3,9.7
2021,SHALER AREA HS,Algebra I,Historically Underperforming,11,115,11.3,27,37.4,24.3
2021,SHALER AREA HS,Biology,All Students,11,147,53.7,41.5,2.7,2
2021,SHALER AREA HS,Biology,Historically Underperforming,11,28,39.3,42.9,7.1,10.7
2021,SHALER AREA HS,Literature,All Students,11,20,0,0,45,55
2021,SHALER AREA HS,Literature,Historically Underperforming,11,20,0,0,45,55
2021,SOUTH ALLEGHENY HS,Algebra I,All Students,11,97,4.1,33,48.5,14.4
2021,SOUTH ALLEGHENY HS,Algebra I,Historically Underperforming,11,48,6.3,16.7,50,27.1
2021,SOUTH ALLEGHENY HS,Biology,All Students,11,49,24.5,46.9,14.3,14.3
2021,SOUTH ALLEGHENY HS,Biology,Historically Underperforming,11,16,31.3,31.3,12.5,25
2021,SOUTH FAYETTE TWP HS,Algebra I,All Students,11,268,50.4,35.1,13.1,1.5
2021,SOUTH FAYETTE TWP HS,Algebra I,Historically Underperforming,11,54,27.8,29.6,35.2,7.4
2021,SOUTH FAYETTE TWP HS,Biology,All Students,11,266,43.6,44.7,9,2.6
2021,SOUTH FAYETTE TWP HS,Biology,Historically Underperforming,11,55,18.2,43.6,27.3,10.9
2021,SOUTH PARK SHS,Algebra I,All Students,11,129,51.2,26.4,20.2,2.3
2021,SOUTH PARK SHS,Algebra I,Historically Underperforming,11,30,40,16.7,33.3,10
2021,SOUTH PARK SHS,Biology,All Students,11,39,87.2,10.3,0,2.6
2021,STEEL VALLEY SHS,Algebra I,All Students,11,64,14.1,42.2,25,18.8
2021,STEEL VALLEY SHS,Algebra I,Historically Underperforming,11,45,13.3,40,22.2,24.4
2021,STEEL VALLEY SHS,Biology,All Students,11,40,17.5,50,17.5,15
2021,STEEL VALLEY SHS,Biology,Historically Underperforming,11,28,21.4,42.9,17.9,17.9
2021,STO-ROX JSHS,Algebra I,All Students,11,22,0,18.2,68.2,13.6
2021,STO-ROX JSHS,Algebra I,Historically Underperforming,11,18,0,22.2,66.7,11.1
2021,THE NEW ACADEMY CS,Algebra I,All Students,11,22,0,0,18.2,81.8
2021,THE NEW ACADEMY CS,Algebra I,Historically Underperforming,11,15,0,0,6.7,93.3
2021,THE NEW ACADEMY CS,Biology,All Students,11,19,0,0,5.3,94.7
2021,THE NEW ACADEMY CS,Biology,Historically Underperforming,11,15,0,0,0,100
2021,THE NEW ACADEMY CS,Literature,All Students,11,24,0,0,16.7,83.3
2021,THE NEW ACADEMY CS,Literature,Historically Underperforming,11,18,0,0,11.1,88.9
2021,UPPER SAINT CLAIR HS,Algebra I,All Students,11,297,56.6,34.3,8.4,0.7
2021,UPPER SAINT CLAIR HS,Algebra I,Historically Underperforming,11,47,21.3,38.3,38.3,2.1
2021,UPPER SAINT CLAIR HS,Biology,All Students,11,303,64,27.1,5.6,3.3
2021,UPPER SAINT CLAIR HS,Biology,Historically Underperforming,11,54,22.2,40.7,20.4,16.7
2021,URBAN PATHWAYS 6-12 CS,Algebra I,All Students,11,33,0,12.1,51.5,36.4
2021,URBAN PATHWAYS 6-12 CS,Algebra I,Historically Underperforming,11,27,0,7.4,51.9,40.7
2021,WEST ALLEGHENY SHS,Algebra I,All Students,11,250,44.4,31.6,19.2,4.8
2021,WEST ALLEGHENY SHS,Algebra I,Historically Underperforming,11,70,15.7,28.6,41.4,14.3
2021,WEST ALLEGHENY SHS,Biology,All Students,11,243,34.2,47.7,12.8,5.3
2021,WEST ALLEGHENY SHS,Biology,Historically Underperforming,11,65,13.8,33.8,33.8,18.5
2021,THOMAS JEFFERSON HS,Algebra I,All Students,11,210,38.6,41.4,17.1,2.9
2021,THOMAS JEFFERSON HS,Algebra I,Historically Underperforming,11,32,15.6,40.6,37.5,6.3
2021,THOMAS JEFFERSON HS,Biology,All Students,11,215,34.9,45.1,16.3,3.7
2021,THOMAS JEFFERSON HS,Biology,Historically Underperforming,11,41,9.8,31.7,43.9,14.6
2021,WEST MIFFLIN AREA HS,Algebra I,All Students,11,136,11,43.4,30.1,15.4
2021,WEST MIFFLIN AREA HS,Algebra I,Historically Underperforming,11,67,9,32.8,34.3,23.9
2021,WEST MIFFLIN AREA HS,Biology,All Students,11,171,18.1,34.5,24.6,22.8
2021,WEST MIFFLIN AREA HS,Biology,Historically Underperforming,11,96,12.5,25,32.3,30.2
2021,WESTINGHOUSE ARTS ACADEMY CS,Algebra I,All Students,11,31,6.5,32.3,58.1,3.2
2021,WESTINGHOUSE ARTS ACADEMY CS,Algebra I,Historically Underperforming,11,18,11.1,27.8,55.6,5.6
2021,WESTINGHOUSE ARTS ACADEMY CS,Biology,All Students,11,28,28.6,25,25,21.4
2021,WESTINGHOUSE ARTS ACADEMY CS,Biology,Historically Underperforming,11,19,21.1,26.3,26.3,26.3
