Cambria Heights SD	Geographic Size of District (Square Miles)	111.07
Cameron County SD	District Address (City)	Emporium
Cameron County SD	District Address (Street)	601 Woodland Ave
Cameron County SD	District Name	Cameron County SD
Cameron County SD	District Zip Code	15834
Cameron County SD	Geographic Size of District (Square Miles)	398.42
Camp Hill SD	District Address (City)	Camp Hill
Camp Hill SD	District Address (Street)	2627 Chestnut St
Camp Hill SD	District Name	Camp Hill SD
Camp Hill SD	District Zip Code	17011
Camp Hill SD	Geographic Size of District (Square Miles)	2.12
Canon-McMillan SD	District Address (City)	Canonsburg
Canon-McMillan SD	District Address (Street)	1 N Jefferson Ave
Canon-McMillan SD	District Name	Canon-McMillan SD
Canon-McMillan SD	District Zip Code	15317
Canon-McMillan SD	Geographic Size of District (Square Miles)	56.09
Canton Area SD	District Address (City)	Canton
Canton Area SD	District Address (Street)	509 E Main St
Canton Area SD	District Name	Canton Area SD
Canton Area SD	District Zip Code	17724
Canton Area SD	Geographic Size of District (Square Miles)	211.41
Carbondale Area SD	District Address (City)	Carbondale
Carbondale Area SD	District Address (Street)	101 Brooklyn St
Carbondale Area SD	District Name	Carbondale Area SD
Carbondale Area SD	District Zip Code	18407
Carbondale Area SD	Geographic Size of District (Square Miles)	18.59
Carlisle Area SD	District Address (City)	Carlisle
Carlisle Area SD	District Address (Street)	623 W. Penn St.
Carlisle Area SD	District Name	Carlisle Area SD
Carlisle Area SD	District Zip Code	17013
Carlisle Area SD	Geographic Size of District (Square Miles)	76.49
Carlynton SD	District Address (City)	Carnegie
Carlynton SD	District Address (Street)	435 Kings Hwy
Carlynton SD	District Name	Carlynton SD
Carlynton SD	District Zip Code	15106
Carlynton SD	Geographic Size of District (Square Miles)	3.32
Carmichaels Area SD	District Address (City)	Carmichaels
Carmichaels Area SD	District Address (Street)	225 N Vine St
Carmichaels Area SD	District Name	Carmichaels Area SD
Carmichaels Area SD	District Zip Code	15320
Carmichaels Area SD	Geographic Size of District (Square Miles)	39.07
Catasauqua Area SD	District Address (City)	Catasauqua
Catasauqua Area SD	District Address (Street)	201 N 14th St
Catasauqua Area SD	District Name	Catasauqua Area SD
Catasauqua Area SD	District Zip Code	18032
Catasauqua Area SD	Geographic Size of District (Square Miles)	6.31
Centennial SD	District Address (City)	Warminster
Centennial SD	District Address (Street)	48 Swan Way
Centennial SD	District Name	Centennial SD
Centennial SD	District Zip Code	18974
Centennial SD	Geographic Size of District (Square Miles)	17.17
Central Bucks SD	District Address (City)	Doylestown
Central Bucks SD	District Address (Street)	20 Welden Dr
Central Bucks SD	District Name	Central Bucks SD
