KENNETT CONSOLIDATED SD,Kennett Square,300 East South Street,19348,34.17
KEYSTONE CENTRAL SD,Mill Hall,86 Administration Drive,17751,970.76
KEYSTONE OAKS SD,Pittsburgh,1000 Kelton Ave,15216,4.36
KEYSTONE SD,Knox,451 Huston Avenue,16232,123.17
KISKI AREA SD,Vandergrift,200 Poplar Street,15690,104.96
KUTZTOWN AREA SD,Kutztown,251 Long Lane,19530,99.01
LACKAWANNA TRAIL SD,Factoryville,College Avenue,18419,73.43
LAKE-LEHMAN SD,Dallas,1237 Market Street,18612,142.08
LAKELAND SD,Scott Township,1355 Lakeland Drive,18433,66.36
LAKEVIEW SD,Stoneboro,2482 Mercer St,16153,144.17
LAMPETER-STRASBURG SD,Lancaster,1600 Book Rd,17602,37.89
LANCASTER SD,Lancaster,251 S Prince St,17603,13.31
LAUREL HIGHLANDS SD,Uniontown,304 Bailey Ave,15401,55.83
LAUREL SD,New Castle,2497 Harlansburg Rd,16101,66.28
LEBANON SD,Lebanon,1000 S 8th St,17042,4.56
LEECHBURG AREA SD,Leechburg,210 Penn Avenue,15656,18.62
LEHIGHTON AREA SD,Lehighton,1000 Union St,18235,65.72
LEWISBURG AREA SD,Lewisburg,1951 Washington Ave,17837,41.7
LIGONIER VALLEY SD,Ligonier,339 West Main St,15658,230.84
LINE MOUNTAIN SD,Herndon,185 Line Mountain Road,17830,155.73
LITTLESTOWN AREA SD,Littlestown,162 Newark St,17340,49.2
LOWER DAUPHIN SD,Hummelstown,291 E Main St,17036,96.59
LOWER MERION SD,Ardmore,301 E Montgomery Ave,19003,24.34
LOWER MORELAND TOWNSHIP SD,Huntingdon Valley,2551 Murray Ave,19006,7.28
LOYALSOCK TOWNSHIP SD,Williamsport,1605 Four Mile Drive,17701,21.5
MAHANOY AREA SD,Mahanoy City,1 Golden Bear Dr,17948,50.85
MANHEIM CENTRAL SD,Manheim,281 White Oak Rd,17545,78.89
MANHEIM TOWNSHIP SD,Lancaster,450A Candlewyck Road,17601,24.07
MARION CENTER AREA SD,Marion Center,22820 Route 403 Hwy N,15759,192.61
MARPLE NEWTOWN SD,Newtown Square,40 Media Line Rd Ste 204,19073,20.61
MARS AREA SD,Mars,545 Route 228,16046,46.35
MCGUFFEY SD,Claysville,90 McGuffey Drive,15323,198.49
