Name,Latitude,Longitude
Pleasantville El Sch,41.596166,-79.580497
Titusville MS,41.625177,-79.665581
Titusville SHS,41.629627,-79.669513
Rocky Grove JSHS,41.410936,-79.825624
Valley Grove El Sch,41.424156,-79.881599
Belle Vernon Area HS,40.1768141970001,-79.8184329009999
Marion El Sch,40.115018,-79.831494
Rostraver El Sch,40.178069,-79.815612
Bon Air El Sch,40.584376,-79.705651
Burrell HS,40.582006,-79.699082
Charles A Huston MS,40.58140689,-79.700170735
Stewart El Sch,40.589411183,-79.7256732669999
Derry Area MS,40.3400687810001,-79.3140300869999
Derry Area SHS,40.339970732,-79.312326179
Grandview El Sch,40.3442288420001,-79.30876595
Franklin Regional MS,40.426582,-79.671112
Franklin Regional SHS,40.430483,-79.664003
Franklin Regional Intermediate Sch,40.431137,-79.663779
Franklin Regional Primary Sch,40.45006,-79.671337
Baggaley El Sch,40.264477,-79.379865
Greater Latrobe JHS,40.278410035,-79.393720478
Greater Latrobe SHS,40.2768991190001,-79.3939884439999
Latrobe El Sch,40.30859,-79.376567
Mountain View El Sch,40.296377885,-79.463263796
Amos K Hutchinson El Sch,40.289623841,-79.5473219149999
Greensburg-Salem HS,40.326475857,-79.541021632
Greensburg-Salem MS,40.30676635,-79.545354797
Metzgar El Sch,40.390969693,-79.438087857
Nicely El Sch,40.3237512910001,-79.540546864
Fort Allen El Sch,40.2763164030001,-79.593243663
Hempfield Area SHS,40.281332477,-79.599897525
Maxwell El Sch,40.3266614630001,-79.5432984989999
Stanwood El Sch,40.2265654060001,-79.6035129959999
Wendover MS,40.271799528,-79.51808937
West Hempfield El Sch,40.3004405820001,-79.677959162
West Hempfield MS,40.2930783190001,-79.6742065349999
West Point El Sch,40.2702157100001,-79.511665793
Jeannette McKee El Sch,40.31678,-79.617999
Kiski Area North Primary Sch,40.6106923950001,-79.609127867
Kiski Area HS,40.6006654270001,-79.6047935559999
Kiski Area IHS,40.6028741810001,-79.6040794469999
Kiski Area South Primary Sch,40.477713,-79.589517
Kiski Area East Primary Sch,40.598856,-79.565392
Laurel Valley El Sch,40.3583298290001,-79.108167645
Ligonier Valley HS,40.2532604140001,-79.243785357
Ligonier Valley MS,40.2435237020001,-79.225499048
Mellon El Sch,40.243790151,-79.2273236359999
Monessen El Ctr,40.150232,-79.887506
Monessen MS,40.139763,-79.872241
Monessen SHS,40.139763,-79.872241
Donegal El Sch,40.10011,-79.358519
Mount Pleasant Area HS,40.173905,-79.528629
Mount Pleasant Area JHS,40.173905,-79.528629
Norvelt El Sch,40.206283,-79.494525
Ramsay El Sch,40.149029,-79.548728
Martin Sch,40.56298,-79.745208
Hahntown El Sch,40.321795,-79.718671
Hillcrest Intermediate Sch,40.3220645530001,-79.728841608
Norwin MS,40.321769665,-79.725335447
Norwin SHS,40.3247502950001,-79.723090601
Sheridan Terrace El Sch,40.337041,-79.704021
Stewartsville El Sch,40.344345058,-79.766350274
Sunset Valley El Sch,40.305912,-79.740783
Harrison Park El Sch,40.3521097340001,-79.64548765
Level Green El Sch,40.396048,-79.715689
McCullough El Sch,40.3616612500001,-79.6412899969999
Penn MS,40.3605780770001,-79.64321424
Penn Trafford HS,40.353656159,-79.656313595
Sunrise El Sch,40.368228,-79.690495
Trafford El Sch,40.376816,-79.761972
Trafford MS,40.379568942,-79.763690173
Southmoreland El Sch,40.1078919500001,-79.5909046789999
Southmoreland MS,40.1076273470001,-79.5907976299999
Southmoreland Primary Center,40.135784534,-79.593364787
Southmoreland SHS,40.138413434,-79.592559466
H W Good El Sch,40.2600763300001,-79.719838693
Mendon El Sch,40.1771848820001,-79.671346426
West Newton El Sch,40.201623,-79.763317
Yough Intrmd/MS Sch,40.17878611,-79.6714237469999
Yough SHS,40.2592537720001,-79.7339623839999
Bedford El Sch,40.0322289210001,-78.5065899959999
Bedford MS,40.013865508,-78.4967478949999
Bedford SHS,40.015755428,-78.498711746
Chestnut Ridge Central El Sch,40.140171,-78.583034
Chestnut Ridge MS,40.132418,-78.585109
Chestnut Ridge SHS,40.14124,-78.583014
Breezewood El Sch,39.997263893,-78.2442275289999
Everett Area El Sch,40.0049351280001,-78.358705882
Everett Area HS,40.015295608,-78.365156051
Everett Area MS,40.0142114170001,-78.366205615
Northern Bedford Co El Sch,40.1801408360001,-78.382144371
Tussey Mountain EL,40.213921,-78.250065
