name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Crestview El Sch,10.65,0,2.39,4.13,7.83,6.09,0,0.43,41.96,0.43,52.17,460,11.3,No,75
Crestwood Secondary Campus,0.22,0,4.77,1.54,3.16,0,0,1.54,22.61,0.59,49.19,1362,11.89,No,90.31
Crispus Attucks CS,5.63,0,0,39.44,49.3,0,0,0,100,16.9,53.52,71,15.49,Yes,5.63
Crooked Billet El Sch,6.25,0,1.72,4.53,8.84,0.65,0,3.66,38.79,3.45,47.63,464,16.81,Yes,78.66
Crossan Kennedy C Sch,4.89,0,11.07,33.88,24.1,0,0.33,0,69.71,12.7,43,307,12.38,Yes,25.73
Crossroads MS,2.79,0.15,0.59,1.91,6.03,1.62,0,2.65,27.35,0.15,47.94,680,19.41,No,88.53
Croton Pre-Kdg Ctr,,,,,,,,,,,,,,No,
Culbertson El Sch,3.2,0,7,2.8,2,0.4,0,5.2,15.6,5,47.8,500,17.8,No,85
Cumberland Perry Area Vocational Technical School,2.69,0.78,1.48,2,5.99,0,0.17,0.35,0,0,37.62,1151,31.8,No,86.88
Cumberland Valley HS,3.57,0.42,16.09,3.57,5.34,3.5,0,0.85,21.44,2.83,49.17,2827,12.52,No,70.99
Cumru El Sch,7.41,0,0,5.19,37.04,1.23,0,1.23,51.85,0.25,49.88,405,19.01,Yes,50.37
Curtin Intrmd Sch,19.77,0,1.14,25.86,8.17,0,0,0.19,79.28,0.57,47.15,526,16.73,Yes,45.06
Curtisville Pri Ctr,4.79,0,0,0.85,2.54,0,0.28,0,43.94,0.56,51.55,355,13.8,Yes,91.55
Curwensville Area El Sch,1.12,0.19,0,0,0.37,2.43,0,1.5,47.29,0,48.79,535,20.56,Yes,98.32
Curwensville Area JSHS,0.21,0.41,0.21,0.21,0.41,2.88,0,3.7,51.65,0.21,48.35,486,17.49,No,98.56
Cynwyd Sch,8.75,0,13.75,5,7.5,0,0,7.86,9.11,3.93,50.54,560,15.71,No,65
Dallas Intermediate Sch,2.96,0,1.74,1.74,4.01,0.35,0,8.19,29.62,0.7,48.08,574,18.12,Yes,89.55
Dallas MS,2.09,0,1.92,0.35,3.83,0.35,0,12.2,25.44,0.17,51.74,574,14.81,No,91.81
Dallas SHS,1.63,0.13,2.26,0.88,1.76,0,0.13,10.05,23.87,0.13,50.25,796,16.21,No,93.22
Dallastown Area Intermediate Sch,3.34,0.2,2.47,8.09,8.22,0.13,0.13,3.74,37.17,2.67,46.12,1496,18.32,No,77.54
Dallastown Area MS,3.43,0,2.35,9.48,8.48,0.36,0.09,4.69,38,1.26,49.28,1108,20.67,No,76.17
Dallastown Area SHS,3.75,0.1,2.81,9.21,6.87,0,0,3.17,33.98,1.3,49.12,1922,17.53,No,77.26
Dallastown El Sch,2.04,0,0,4.76,5.44,0,0,0,46.94,0.68,49.66,147,12.93,Yes,87.76
Damascus Area Sch,2.9,0,0.36,0.36,4.71,0,0,0.72,36.23,0.72,45.29,276,17.03,Yes,91.67
Dana El Ctr,7.19,0.2,1.6,2.99,10.78,3.59,0,0.4,51.9,2.4,49.7,501,13.97,Yes,77.25
Daniel Boone Area HS,2.41,0,3.99,4.92,5.48,0,0.19,11.14,22.84,0.37,47.45,1077,19.96,No,83.01
Daniel Boone Area Intermediate Cntr,6.41,0.46,2.29,5.19,8.4,0,0.76,3.51,31.76,1.98,49.62,655,18.32,No,76.49
Daniel Boone Area MS,3.94,0.14,1.63,4.35,4.89,0,0.41,6.93,26.09,0.27,49.46,736,20.92,No,84.65
Daniel Boone Area Primary Ctr,6.62,0,1.87,4.24,9.34,0,0,0.34,34.97,1.87,49.92,589,15.45,Yes,77.93
Daniel J Flood El Sch,8.72,0,1.25,16.98,55.14,0,0,0.31,84.89,8.88,47.82,642,14.64,Yes,17.91
Danville Area MS,2.83,0,4.24,3.43,2.83,0.4,0,5.86,31.52,1.21,54.14,495,20.2,No,86.67
Danville Area SHS,2.52,0,3.77,4.09,3.14,0,0.16,5.35,25.16,1.42,47.17,636,14.94,No,86.32
Danville Primary Sch,4.83,0,3.28,1.93,4.44,0.77,0.19,0.77,39.58,2.32,49.61,518,15.83,Yes,85.33
Darby Twp Sch,3.9,0,1.09,69.27,4.84,0,0,1.25,78.16,2.34,46.02,641,22.15,Yes,20.9
Dassa McKinney El Sch,2.24,0.16,0,0.16,0.32,1.6,0.16,1.44,49.2,0,47.28,626,19.97,Yes,96.96
Dauphin County Technical School,3.66,0.1,8.11,21.36,16.42,0.49,0,0.99,56.58,4.45,52.52,1011,19.29,No,50.35
David B. Oliver Citywide Academy,10.48,0,0,80.95,0,0,0,0.95,81.9,0.95,29.52,105,100,No,8.57
David E Williams MS,6.61,0.11,2.82,6.18,3.25,1.3,0,3.14,24.27,1.41,52.11,923,16.25,No,81.04
David Leech El Sch,0.68,0,0.34,4.11,1.37,0,0.34,0,47.26,0.68,45.21,292,15.41,Yes,93.15
Davis El Sch,3.3,0,3.87,1.86,6.02,0.72,0.14,1.86,34.1,6.16,48.85,698,17.05,No,84.81
Davis Sch,7.63,0.21,0.85,31.36,51.48,0.64,0.21,0,94.92,24.15,46.82,472,15.47,Yes,8.26
Day Anna B Sch,4.39,0,0,92.93,1.46,0,0,0,77.8,0,50.49,410,17.07,Yes,1.22
Dayton El Sch,0.99,0,0,0.5,0.99,0,0,0.99,42.57,0,50.99,202,19.8,Yes,97.52
DeBurgos Bilingual Magnet MS,3.42,0.13,0.13,14.98,80.16,0,0,0.26,88.3,23.78,49.41,761,21.94,Yes,1.18
DeFranco El Sch,4.33,0,0.96,1.68,7.69,0,0,2.16,52.88,1.68,50.48,416,21.63,Yes,85.34
Decatur Stephen Sch,7.66,0,10.96,14.68,15.53,0,0.85,1.6,56.06,10.21,50.32,940,18.3,Yes,50.32
Deep Roots CS,2.74,0,0,42.74,41.1,0,0,0,35.89,6.85,45.48,365,19.73,Yes,13.42
Deer Lakes HS,1.16,0.33,0.5,0.5,0.99,0,0.17,4.3,31.62,0,49.5,604,19.54,No,96.36
Deer Lakes MS,0.89,0.22,0,0.67,1.79,0,0,3.36,34.45,0.22,47.43,447,24.16,No,96.42
Deibler El Sch,4.26,0,2.13,0.8,9.57,0,0,5.32,18.88,0.53,46.01,376,18.62,No,83.24
Delahunty MS,4.95,0.31,1.24,8.67,0,0,0.62,9.91,41.49,0.31,46.44,323,16.72,No,84.21
Delaware County Technical High School - Aston,2.76,0,4.24,27.44,4.97,0,0,0,24.31,0,41.8,543,38.49,No,60.59
Delaware County Technical High School - Folcroft,1.82,0.15,6.22,38.85,4.7,0,0,0,43.85,0,65.25,659,32.17,No,48.25
Delaware County Technical High School-Ma,,,,,,,,,,,,,,No,
Delaware Valley El Sch,5.48,0.46,3.42,1.6,11.87,0,0,0.91,41.1,0.68,48.17,438,16.89,Yes,77.17
Delaware Valley HS,2.98,0.14,2.5,2.1,11.16,0,0.07,1.69,36.74,0.2,45.53,1478,18.67,No,81.06
Delaware Valley Middle School,3.8,0.2,2.6,1.8,10.4,0,0,3.4,36.4,1.4,45,500,23.2,No,81.2
Delcroft Sch,5.14,0,3.21,74.96,3.69,0,0,0.16,81.54,1.93,42.7,623,18.46,Yes,13
Delta-Peach Bottom El Sch,3,1.12,0,1.12,3,0.37,0.37,1.5,38.58,0.75,48.69,267,12.36,Yes,91.39
Denver El Sch,2.2,0.22,2.86,2.2,9.89,4.4,0,1.76,43.52,5.05,46.59,455,22.86,Yes,82.64
Derry Area MS,2.57,0.21,0.64,1.28,0.64,0.43,0,4.28,43.25,0.86,46.68,467,17.34,No,94.65
Derry Area SHS,2.27,0,0.7,1.22,0.35,0.87,0,4.19,36.65,0.17,49.04,573,16.75,No,95.46
Devers Sch,6.66,0.14,0.14,31.11,50.51,0.43,0,0,95.08,21.27,46.45,691,14.62,Yes,11.43
Devon El Sch,4.68,0,42.61,2.96,2.71,0.74,0,9.36,3.45,6.65,48.03,406,15.52,No,47.04
Dick William Sch,2.35,0,0,94.37,2.11,0,0,0.23,87.56,0,44.6,426,21.6,Yes,1.17
Diehl Sch,12.33,0.22,14.1,37.89,14.54,0,0,0,81.28,13.22,53.08,454,14.54,Yes,20.93
Dillsburg El Sch,2.71,0,3.17,0.9,4.52,3.17,0.23,2.26,15.61,0.23,46.83,442,10.86,No,88.46
Dingman-Delaware El Sch,3.66,0.22,1.29,2.16,13.79,0,0,0.65,48.71,1.29,49.57,464,15.3,Yes,78.88
Dingman-Delaware MS,4.61,0,2.3,2.88,14.2,0,0.19,2.3,43.76,0.96,51.06,521,16.51,No,75.82
Dingman-Delaware Primary Sch,4.13,0.21,1.65,2.69,16.74,0,0,0.62,47.11,1.03,47.11,484,14.67,Yes,74.59
Discovery CS,3,0,0.32,95.58,0.47,0,0.16,0,55.52,0,46.53,634,13.88,Yes,0.47
Disston Hamilton Sch,5.19,0,1.95,39.04,36.06,0,0.13,0,75.75,12.71,48.51,771,13.49,Yes,17.64
Dobbins Area Vocational-Technical High School,3.14,0.1,0.2,86,9.43,0,0.1,0,83.87,2.64,54.87,986,20.79,Yes,1.01
Dobson James Sch,10.21,0,3.4,28.09,11.06,0,0,1.28,50.64,1.28,50.64,235,25.53,Yes,47.23
Dodson El Sch,7.28,0,2.3,19.16,57.09,0,0,0,84.48,8.43,47.13,522,10.92,Yes,14.18
Doe Run El Sch,3.24,0,3.09,2.06,10.46,0.29,0.44,3.09,36.97,1.62,48.01,679,13.25,Yes,80.71
Don Gill El Sch,3.52,0,0.59,0,1.17,1.76,0,1.76,48.68,0.29,46.92,341,18.77,Yes,94.72
Donald E. Schick Sch,8.94,0.43,3.55,6.67,2.84,0,0.14,1.84,42.84,0.43,49.5,705,12.06,Yes,77.45
Donald H Eichhorn MS,6.07,0,3.27,5.84,10.05,0.7,0,7.48,29.44,2.57,51.64,428,15.19,No,74.77
Donaldson Elem Sch,5.59,0.36,5.23,2.52,4.5,0,0.18,0.72,16.94,5.95,46.85,555,10.99,No,81.62
Donegal El Sch,1.64,0,0,0,0,0,0,1.64,34.43,0,45.9,61,26.23,Yes,98.36
Donegal HS,4.87,0.11,1,3.32,10.51,0.44,0,4.54,34.85,1.22,50,904,17.81,No,80.2
Donegal Intermediate School,4.73,0,1.15,3.81,14.53,2.42,0,4.04,39.68,2.42,49.83,867,16.72,Yes,75.78
Donegal JHS,4.27,0,1.5,3.42,16.45,1.71,0,4.49,39.53,2.14,48.5,468,14.1,No,74.36
Donegal Primary School,8.13,0,1.41,2.12,14.84,1.24,0,0,39.4,2.3,55.48,566,9.89,Yes,73.5
Donegan El Sch,1.07,0,1.07,11.75,79.27,0,0,0.43,91.88,20.09,51.71,468,13.25,Yes,6.84
Dormont El Sch,6.59,0.57,0.86,5.16,6.59,0.29,0,3.15,31.52,2.01,46.7,349,16.62,Yes,80.23
Dorseyville MS,4.14,0.11,8.6,3.5,4.67,0.21,0,9.55,25.58,0.85,45.86,942,10.08,Yes,78.98
Dover Area El Sch,5.57,0.27,0.27,4.24,7.43,0,0,2.65,32.36,1.06,47.21,377,14.32,Yes,82.23
Dover Area HS,4.34,0,0.87,3.76,9.73,0,0.1,4.14,29.19,1.64,46.82,1038,15.22,No,81.21
Dover Area MS,4.99,0.48,0.48,5.11,11.64,0,0.24,2.73,39.79,2.14,47.15,842,18.53,No,77.08
Downey Sch,4.27,0.28,0.57,52.71,39.32,0.28,0,0,93.45,16.81,50.71,351,10.54,Yes,2.85
Downingtown HS East Campus,3.12,0.06,14.34,3.12,6.48,0,0.12,6.3,14.52,1.04,47.83,1729,18.74,No,72.76
Downingtown HS West Campus,2.54,0.06,5.07,3.81,5.85,0,0.17,5.74,16.05,0.72,46.72,1813,21.29,No,82.52
Downingtown MS,3.48,0,8.05,2.93,5.12,0,0.09,4.94,13.08,0.46,47.12,1093,19.76,No,80.33
Downingtown STEM Academy,2.81,0,37.78,1.99,2.57,0,0.12,23.27,4.44,0,53.45,855,2.22,No,54.74
Doyle El Sch,5.16,0,2.91,0.22,6.73,0,0,6.28,14.13,0.67,52.91,446,8.3,Yes,84.98
Dr Cleveland Steward Jr El Sch,11.62,0,6.69,34.15,6.34,0,0,1.76,63.73,2.82,43.31,284,16.2,Yes,41.2
Dr David W Kistler El Sch,9.32,0.34,1.57,21.44,47.36,0.11,0,0.56,82.27,8.64,51.4,891,15.6,Yes,19.98
Dr Robert Ketterer CS Inc,5.23,0,0,23.84,6.4,0,0,0,93.02,0.58,32.56,172,56.4,Yes,64.53
Drexel Hill MS,5.01,0.07,5.45,39.9,7.12,0,0,6.03,56.98,2.76,47.6,1376,19.55,No,42.44
Drums El/MS,2.99,0,0.57,2.56,20.34,0,0.14,2.42,28.31,2.28,47.94,703,14.37,No,73.4
Dubois Area MS,3.07,0.09,0.81,0.81,2.44,0.63,0,3.16,54.34,0.36,46.65,1106,22.88,Yes,92.77
Dubois Area SHS,2.22,0.1,0.81,0.3,2.72,1.21,0,4.23,46.93,0.2,53.78,993,17.62,No,93.86
Duckrey Tanner Sch,1.87,0.19,0.19,92.35,4.29,0,0,0,88.06,0.19,47.76,536,16.04,Yes,1.12
Dunbar Paul L Sch,3.83,0.38,0.38,88.12,3.45,0,0,0,86.21,3.83,44.06,261,24.14,Yes,3.83
Dunbar Twp El Sch,3.46,0.31,0.16,2.05,0.47,0.63,0,0.16,61.26,0,47.24,635,28.5,Yes,93.54
Dunmore El Ctr,3.53,0,6.78,3.66,8.96,0,0.14,0.54,40.57,4.07,45.05,737,16.15,Yes,76.93
Dunmore JSHS,1.67,0,5.29,4.18,6.96,0,0,1.53,34.26,2.65,46.24,718,19.36,Yes,81.89
Duquesne El Sch,12.32,0.56,7.84,66.67,4.2,0,0,0,88.52,9.8,50.42,357,19.05,Yes,8.4
Durham-Nockamixon El Sch,1.42,0,0,0.47,4.27,0,0,3.32,25.59,1.9,48.34,211,14.22,Yes,93.84
Dutch Ridge El Sch,1.64,0.18,2.18,0.73,1.64,1.45,0,0,22,1.09,48.91,550,11.64,Yes,93.64
E M Crouthamel El Sch,0,0,4.55,8.48,22.73,0,0,5.15,51.52,17.27,48.48,330,13.64,Yes,64.24
E N Peirce MS,2.44,0,8.04,3.79,10.75,0.09,0.18,8.31,18.16,4.43,49.23,1107,14.63,No,74.8
ELCO Intermd Sch,2.02,0,0.73,2.39,6.24,2.02,0,1.1,41.83,1.83,46.06,545,19.27,Yes,88.62
Eagle View El Sch,4.98,0.5,0.25,1,3.23,1.49,0,2.99,55.72,0.25,48.76,402,22.14,Yes,90.05
Eagle View MS,5.19,0.22,14.7,2.65,4.42,2.54,0,1.22,23.2,2.87,46.52,905,14.7,No,72.82
Eagleville El Sch,5.42,0.27,10.57,7.59,11.11,0.81,0,1.9,24.93,5.15,52.03,369,17.07,Yes,65.04
Earl El Sch,1.66,0,0,1.99,5.3,0,0,4.64,33.77,0,48.01,302,22.19,Yes,91.06
Earle C. Davis Primary,4.26,0,0,1.31,3.61,0,0,0,50.16,0,47.54,305,13.77,Yes,90.82
Early Childhood Edu Ctr,0,0.97,0.97,4.85,13.59,0,0,0,24.27,0.97,52.43,103,5.83,Yes,79.61
Early Childhood Learning Center,4.8,0.44,0,0,2.62,5.24,0,0,61.57,0.44,43.67,229,2.18,Yes,92.14
East Allegheny JSHS,9.21,0.14,1.27,29.04,2.69,0.28,0,0.85,60.06,0.85,46.18,706,22.38,Yes,57.65
East Bradford El Sch,4.24,0,1.86,2.39,8.49,0.53,0.27,2.39,16.45,5.04,46.68,377,12.2,No,82.76
East Coventry El Sch,5.42,0.58,3.29,1.93,5.03,1.74,0.19,4.45,20.31,0.77,48.36,517,19.34,Yes,83.56
East Derry El Sch,0.39,0,0,1.55,0,0,0,0.39,52.33,0,50.78,258,18.6,Yes,98.06
East Fallowfield El Sch,6.58,0,0.27,35.89,23.56,0,0,0.27,60.27,7.12,46.85,365,16.44,Yes,33.7
East Forest El Sch,4.29,0,0,0,0,0,0,1.43,55.71,0,38.57,70,25.71,Yes,95.71
East Forest JSHS,2.86,1.43,0,0,1.43,0,0,1.43,51.43,0,54.29,70,24.29,No,94.29
East Goshen El Sch,5.34,0,6.5,4.87,8.35,0.93,0,1.39,15.78,7.19,46.87,431,13.92,No,74.94
East Hanover El Sch,5.62,0,2.69,1.71,13.69,0.73,0,1.96,28.61,1.71,48.9,409,16.14,Yes,76.28
East High Street El Sch,5.04,0.39,2.33,2.71,9.3,0.39,0,1.16,37.4,7.17,48.64,516,16.09,Yes,80.23
East Hills MS,1.83,0.39,4.05,8.86,29.96,0,0.48,4.14,45.18,4.05,47.59,1038,17.44,No,54.43
East Juniata El Sch,0.78,0,0,0.52,2.33,0,0,0.78,46.37,0.52,48.96,386,17.1,Yes,96.37
East Juniata JSHS,0.67,0,0.9,1.79,1.79,0,0,2.47,42.15,0,47.53,446,20.18,No,94.84
East Lansdowne El Sch,3.62,0.66,2.3,85.53,3.95,0,0,0.66,54.93,0,48.68,304,8.88,Yes,3.95
East MS,3.42,0.15,6.85,46.88,18.45,0,0.15,0.15,87.8,16.07,44.79,672,29.91,Yes,24.11
East Norriton MS,8.99,0,1.52,31.31,37.27,0,0,5.74,70.96,11.48,47.24,923,23.84,Yes,20.91
East Pennsboro Area MS,7.46,0.18,7.1,7.46,11.9,1.07,0,3.02,35.88,3.55,45.83,563,24.87,No,65.9
East Pennsboro Area SHS,5.76,0.4,6.84,6.97,8.85,1.34,0,4.69,32.31,2.28,49.46,746,17.69,No,71.18
East Pennsboro El Sch,12.73,1.7,4.07,6.45,12.39,1.53,0.34,1.53,34.8,3.57,48.39,589,19.35,Yes,62.31
East Petersburg El Sch,4.02,0,1.69,8.25,21.99,0.42,0,3.81,46.72,6.77,51.8,473,16.7,Yes,64.06
East Pike El Sch,7.54,0.58,1.74,2.61,1.16,0,0.29,1.16,42.9,0.29,46.96,345,12.46,Yes,86.09
East Stroudsburg El Sch,10.33,4.43,2.62,18.85,10.82,0,0,2.3,50.16,1.8,53.61,610,15.74,Yes,52.95
East Stroudsburg SHS North,6.02,1.24,3.11,29.77,25.31,0,0.21,2.9,47.51,0.41,46.37,964,21.58,No,34.34
East Stroudsburg SHS South,5.08,1.21,2.88,23.5,18.8,0,0.3,2.65,43.37,0.91,47.61,1319,19.94,No,48.22
East Union Intrmd Sch,3.61,0.24,0,0.48,0.96,0.24,0,1.92,38.94,0,46.88,416,25.96,Yes,94.71
East Vincent El Sch,5.2,0.39,1.73,11.18,7.13,1.93,0.19,4.82,25.24,1.73,49.52,519,13.68,Yes,74.18
East Ward El Sch,7.24,0.2,20.16,5.48,6.46,0,0,1.76,18.98,3.13,48.92,511,13.7,Yes,60.47
East York El Sch,10.05,0,3.65,6.62,13.01,0,0,1.6,45.21,5.71,48.4,438,13.93,Yes,66.67
Easterly Parkway El Sch,9.57,0.33,15.84,7.26,7.26,0,0.33,2.97,24.75,10.56,52.81,303,9.9,Yes,59.41
Eastern Center for Arts and Technology,3.09,0.17,1.37,20.58,9.43,0.51,0.17,1.03,30.19,1.2,36.71,583,37.74,No,65.18
Eastern Lebanon Co MS,1.88,0.17,1.2,2.22,6.84,0.34,0,2.22,44.62,0.51,45.64,585,22.05,No,87.69
Eastern Lebanon Co SHS,0.94,0,1.34,1.48,4.03,1.34,0,4.57,37.77,1.08,50.81,744,16.26,No,92.2
Eastern Westmoreland Career and Technology Center,0.61,0,0,2.44,0.81,0.81,0,1.02,43.79,0,34.83,491,24.64,No,96.13
Eastern York HS,1.34,0.3,0.59,2.97,5.49,3.26,0,6.08,45.4,0.89,47.77,674,13.2,No,89.32
Eastern York MS,4.76,0,0.53,0.88,8.47,5.64,0,4.41,45.5,2.82,48.85,567,10.23,No,85.36
Easton Area HS,3.97,0.1,5.5,17.5,26.85,0,0.1,0.07,58.85,4.03,46.92,2875,19.93,Yes,45.98
Easton Area MS,5.34,0,5.14,18.23,28.31,0,0.15,0.3,47.78,4.59,48.57,2024,23.42,Yes,42.84
Easton Arts Academy Elementary CS,2.88,1.15,1.44,40.92,17.58,0.29,0.29,0.29,54.47,2.02,56.77,347,10.95,Yes,35.73
Ebenezer El Sch,5.2,0.72,2.33,3.76,18.46,3.05,0,0.72,43.37,3.23,51.97,558,13.26,Yes,69.53
Economy El Sch,4.01,0,0.71,3.54,3.54,1.18,0,0.24,24.29,2.36,49.76,424,13.44,No,88.21
Eddystone El Sch,14.29,0,2.23,25.45,12.95,0.45,0,0,83.48,5.8,50.45,224,20.98,Yes,45.09
Eden Hall Upper El Sch,3.31,0.1,7.3,1.17,1.85,0.19,0.19,9.73,5.93,0.29,50.1,1028,16.63,No,86.09
Edgar Fahs Smith STEAM Academy,9.64,0.6,1.2,30.72,42.47,0.3,0,0.9,96.08,10.84,52.71,332,9.04,Yes,15.36
Edgewood El STEAM Academy,9.01,0.54,0.36,70.27,3.78,0.18,0,1.08,73.33,1.44,47.39,555,20.9,Yes,16.04
Edgewood El Sch,7.19,0,7.19,2,4.99,0,0,5.79,7.39,1,48.1,501,18.56,No,78.64
Edgeworth El Sch,8.1,0,0.95,2.14,5.24,1.19,0,0,14.29,1.43,52.86,420,12.14,Yes,83.57
Edinboro El Sch,2.99,0.5,0.5,2,1,1,0,1.25,29.18,0,51.62,401,11.47,Yes,93.02
Edison El Sch,19.85,0.25,7.44,32.75,13.9,0.25,0,0.25,83.62,9.43,49.88,403,19.6,Yes,25.81
Edison HS/Fareira Skills,0.71,0,0.53,32.77,64.22,0,0,0.09,76.41,26.33,41.25,1132,39.4,Yes,1.77
Eisenhower El Sch,5.22,0,4.48,2.61,5.6,2.24,0,5.6,18.66,2.99,52.61,268,17.54,Yes,82.09
Eisenhower MS,7.64,0,0.86,34.85,49.75,0,0,2.22,79.43,16.26,46.06,812,22.91,Yes,6.9
Eisenhower MS/HS,0.85,0.21,0.85,0.85,0.42,0,0,4.88,39.49,0.85,48.2,471,18.26,No,96.82
Elderton El Sch,0,0,0.45,0,3.15,0,0,0.9,21.62,0.9,49.1,222,14.86,Yes,96.4
Eleanor Roosevelt El Sch,9.89,0,6.89,7.77,7.42,0.35,0.18,2.3,24.03,5.48,45.41,566,16.61,Yes,67.84
Elizabeth Forward MS,2.12,0,0.18,3.88,1.41,0.53,0,2.47,36.51,0,52.2,567,23.63,No,92.42
Elizabeth Forward SHS,3.17,0,0.43,3.02,1.15,0.43,0,6.47,36.12,0.14,50.79,695,18.56,No,92.23
Elizabeth R Martin El Sch,5.18,0,6.86,17.09,56.3,0.28,0.14,0.98,77.73,12.89,51.4,714,13.03,Yes,14.43
Elizabethtown Area MS,3.28,0.31,1.72,2.34,6.72,0.63,0.16,8.13,31.56,1.41,49.38,640,14.69,No,85.47
Elizabethtown Area SHS,3.48,0.24,1.62,2.35,5.91,0.32,0.08,8.09,27.27,1.38,48.95,1236,13.51,No,86.33
Elk Lake El Sch,3.03,0,0.18,0,7.66,1.07,0,0.53,54.9,4.63,47.24,561,19.07,Yes,89.13
Elk Lake JSHS,2.62,0.19,0,0.56,5.06,0.37,0,2.25,55.81,0.94,49.06,534,23.78,No,91.57
Elk Ridge School,2.9,0,0.24,3.14,40.1,4.59,0.24,0.48,34.3,16.67,48.55,414,12.32,Yes,53.38
Elk Valley El Sch,4.8,0.18,0.36,1.6,1.25,1.6,0.18,0.18,58.19,0,45.55,562,15.48,Yes,91.64
Elkin Lewis Sch,0.93,0.31,0.16,17.91,79.6,0,0,0,89.72,24.77,48.91,642,9.19,Yes,1.09
Elkins Park Sch,6.13,0.15,5.98,54.45,8.59,0.15,0.31,8.28,41.1,3.68,49.23,652,20.25,Yes,24.39
Ellwood Sch,4.05,0,2.03,88.18,5.41,0,0,0.34,75.68,2.03,48.31,296,13.18,Yes,0.34
Elmer L Meyers JSHS,7.93,0,1.81,22.99,42.02,0,0,2.04,86.52,10.99,44.05,883,26.84,Yes,25.25
Elmwood Academy,4.96,0,2.84,10.64,6.38,0.57,0.14,2.27,35.32,4.68,47.23,705,18.16,Yes,75.04
Elroy Avenue El Sch,9.09,0.67,7.74,5.05,7.41,1.01,0,1.01,61.62,7.74,48.82,297,16.84,Yes,70.03
Emily Brittain El Sch,4.76,0.43,0.43,5.19,8.23,0,0,0.87,74.89,2.6,41.56,231,28.57,Yes,80.95
Emlen Eleanor C Sch,6.05,0.96,0,89.49,3.5,0,0,0,83.44,0.32,47.13,314,27.07,Yes,0
Emmaus HS,3.34,0.1,5.47,5.12,12.92,0.03,0.14,8.12,26.72,0.94,48.14,2871,16.34,No,72.9
Emory H Markle MS,2.81,0.19,1.94,3.39,5.14,0.39,0.19,3.68,35.08,1.65,51.07,1032,13.86,No,86.34
Environmental CS at Frick Park,8.7,0.83,2.18,21.55,2.8,0,0,6.01,33.68,0,47.25,965,13.16,Yes,63.94
Ephrata Intermediate Sch,5.99,0.32,2.21,1.74,9.46,0.47,0,2.68,50.47,2.84,47.63,634,16.72,No,80.28
Ephrata MS,4.8,0.44,2.03,1.89,12.06,0.29,0.15,4.22,46.51,2.62,47.97,688,20.64,No,78.63
Ephrata SHS,1.98,0.3,2.89,3.27,11.33,0.15,0.08,4.11,42.74,2.51,50.19,1315,18.33,No,80.15
Erie County Technical School,1.01,0,0.57,1.15,1.29,0,0,0.86,57.33,0,37.64,696,24.28,No,95.98
Erie HS,5.25,0.18,4.9,40.23,13.98,0,0.04,0.31,73.75,13.94,46.71,2267,26.42,No,35.42
Erie Rise Leadership Academy CS,16.35,0.27,0,54.16,20.38,0,0,0,100,12.06,50.94,373,22.52,Yes,8.85
Eshleman El Sch,3.65,0,6.38,6.69,14.89,0,0,2.43,43.47,5.78,47.42,329,13.07,No,68.39
Esperanza Academy CS,0.42,0,0.06,4.58,94.76,0,0,0,81.63,24.22,51.75,1660,17.53,Yes,0.18
Esperanza Cyber CS,0.51,0,0.13,9.16,88.55,1.15,0.13,0,93.38,16.41,51.78,786,17.05,Yes,1.53
Eugenio Maria DE Hostos CS,1.39,0,1.79,5.16,91.67,0.4,0,0,66.07,10.52,55.56,504,25.99,Yes,0
Evans City El Sch,3.79,0,1.44,0.9,2.17,0.18,0,4.15,21.84,0.72,45.49,554,17.87,Yes,91.7
Evans City MS,4.09,0,1.64,0.41,1.84,0.61,0,11.45,22.7,0.41,46.63,489,21.68,Yes,92.02
Evans El Sch,6.47,0,8.32,2.03,3.33,0,0,2.03,13.68,0.55,46.58,541,18.3,No,79.85
EverGreen El Sch,5.02,0,0.19,1.3,10.97,0,0,0.93,57.43,0.56,50.37,538,19.7,Yes,82.53
Everett Area El Sch,1.14,0,0.45,1.59,2.05,0,0,0,54.77,0.23,49.77,440,15,Yes,94.77
Everett Area HS,1.01,0,0,1.76,0.5,0.25,0,3.27,53.65,0.25,49.62,397,20.91,No,96.73
Everett Area MS,0,0,0.33,2.01,3.01,0.33,0,4.35,58.53,0,47.16,299,18.73,No,94.65
Evergreen Community CS,1,0,0,12,6,0,0,6,0,1,59,100,7,No,81
Evergreen El Sch,9.6,0.4,14.4,26.8,6.4,0,0,0.8,40.4,4.8,48.8,250,13.2,Yes,42.4
Executive Education Academy CS,2.24,0.22,0.37,17.71,72.8,0,0.07,1.27,69.66,4.04,49.85,1338,10.76,Yes,6.58
Exeter Twp JHS,4.74,0.17,0.85,4.91,17.6,0,0,5.75,34.18,2.2,45.52,591,20.14,No,71.74
Exeter Twp SHS,3.79,0.23,2.79,4.64,15.79,0.62,0,3.87,29.26,1.16,48.22,1292,20.12,No,72.76
Exton El Sch,7.35,0,19,3.94,6.99,2.51,0,3.23,14.16,6.27,49.28,558,16.85,No,62.72
