name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Reynolds MS,3.13,0,4.31,19.96,55.19,5.68,0,0,4.89,89.63,18.79,48.53,511,20.74,Yes,17.42
Rhawnhurst Sch,9.33,0.3,26.81,22.37,17.93,0.44,0,0.3,0,70.96,27.41,49.19,675,7.56,Yes,22.96
Rheems El Sch,5.17,0.86,0.86,1.29,2.59,1.72,0.43,0,1.72,24.14,0.43,44.4,232,20.69,No,89.22
Rhoads James Sch,1.77,0.2,0,96.26,1.57,5.51,0,0,0,89.37,0,49.21,508,14.96,Yes,0.2
Rhodes E Washington Sch,4.85,0,0,91.31,3.23,3.43,0,0.2,0.61,84.65,0,45.45,495,24.85,Yes,0.4
Rice Avenue MS,3.37,0.2,0,0.4,4.55,3.56,0.4,0.2,0.99,57.43,0.59,46.73,505,22.97,No,91.29
Rice El Sch,0.75,0,3.74,1.12,3.37,0.12,0,0.25,0.87,20.95,0.37,47.88,802,9.73,Yes,90.77
Richard Allen Preparatory CS,1.45,0.21,4.55,91.74,1.45,0,0,0,0.21,51.86,6.2,49.17,484,13.64,Yes,0.62
Richard J. Hyde El Sch,9.2,0,6.9,15.52,16.67,2.3,1.15,0,0,48.85,12.07,46.55,174,12.07,Yes,51.72
Richardson MS,2.6,0.1,8.2,6.1,4.1,0.2,0.1,0.1,7.1,20.5,1.5,48.9,1000,17.1,No,78.8
Richboro El Sch,0,0,7.02,0.5,4.76,0,0,0.5,5.51,10.53,4.26,50.88,399,12.28,Yes,87.22
Richland El Sch,2.25,0.22,4.49,0.67,1.35,0.67,0.9,0,3.6,5.84,0.22,48.99,445,14.83,No,91.01
Richland HS,0.54,0,3.52,2.98,1.36,1.22,1.49,0.14,2.44,29.27,0.41,52.03,738,11.65,No,91.46
Richmond El Sch,0.77,0,0,2.31,16.15,2.31,0.77,0,0.77,28.46,1.54,55.38,130,6.15,Yes,80.77
Richmond Sch,8.63,0,1.5,19.14,31.89,0.94,0,0,0,79.55,8.44,45.59,533,13.7,Yes,38.84
Ridge Park El Sch,5.86,0.2,6.87,7.47,4.65,0,0.2,0.61,1.01,19.39,4.04,50.51,495,11.11,No,74.34
Ridgway Area HS,2.28,0,0.38,1.14,1.9,0.38,0,0,2.28,31.94,0,49.43,263,14.83,No,94.3
Ridgway Area MS,1.92,0,0.64,1.28,0.64,1.28,0,0.64,7.69,48.08,0,42.95,156,20.51,No,94.87
Ridley HS,1.85,0.34,3.03,13.22,3.19,0.56,0,0,1.68,39.33,1.01,49.19,1785,25.32,No,78.38
Ridley MS,3.48,0.38,2.95,14.83,5.22,1.36,0.08,0,1.36,45.84,1.51,48.18,1322,29.5,No,73.15
Rimersburg El Sch,0.59,0,0,0.59,1.18,4.73,0,0,2.96,59.17,0,48.52,169,23.08,Yes,97.63
Ringgold El Sch North,3.95,0,0,1.4,2.56,1.86,0,0,0,40.93,0.93,46.28,430,13.95,Yes,92.09
Ringgold El Sch South,7.3,0,0.33,9.78,3.15,0.33,0.17,0,0.17,54.89,0,46.43,603,12.11,Yes,79.44
Ringgold MS,5.82,0,0.23,6.16,1.71,1.48,0,0,3.88,47.78,0.34,46.75,877,12.77,Yes,86.09
Ringgold SHS,4.22,0.11,0.8,5.25,1.82,1.48,0,0,3.99,48.23,0.23,51.31,877,14.14,Yes,87.8
Ringing Rocks El Sch,13.41,0,1.22,22.44,6.59,0,0.49,0.24,0.49,44.15,1.22,50.49,410,13.17,Yes,56.1
Ritter El Sch,2.33,0,2.16,10.82,66.06,2.16,0,0.17,0.67,71.88,12.31,45.09,601,11.65,Yes,18.47
Riverside El Sch,0.94,0.12,0.47,8.9,83.02,3.86,0.59,0,0.47,95.9,26.11,47.31,854,18.15,Yes,6.56
