SchoolName,AcademicYearId,Federal-Non-Personnel,Federal-Personnel,Local-Non-Personnel,Local-Personnel,State-Non-Personnel,State-Personnel
Jamison El Sch,2018,21.27,31.63,1259.03,11384.22,334.1,3020.98
Jarrettown El Sch,2018,9.28,83.35,1811.39,16273.2,384.13,3450.99
Jeannette HS,2018,12.9,80.2,2752.74,12929.57,0.0,0.0
Jeannette McKee El Sch,2018,89.57,721.56,1327.89,9352.26,0.0,487.25
Jefferson El Sch,2018,21.19,25.12,828.1,10327.36,225.4,2782.23
Jefferson MS,2018,21.51,465.23,708.14,10623.7,192.45,2908.9
Jefferson-Morgan El Sch,2018,117.54,336.65,1848.86,5295.2,3016.49,8639.32
Jefferson-Morgan MS/HS,2018,110.02,315.09,1730.47,4956.13,2823.33,8086.11
Jenkintown El Sch,2018,174.37,72.47,3353.2,14782.06,0.0,0.0
Jenkintown Middle/High School,2018,208.67,86.72,4421.19,21270.8,0.0,0.0
Jenks Abram Sch,2018,237.52,1983.25,1850.43,10079.53,91.04,695.8
Jersey Shore Area El Sch,2018,20.91,450.21,749.76,5203.92,959.88,6662.35
Jersey Shore Area SHS,2018,21.21,456.57,986.88,5277.4,1263.46,6756.43
Jersey Shore MS,2018,21.24,457.37,832.72,5286.67,1066.09,6768.3
Jim Thorpe Area HS,2018,0.0,0.0,8482.79,10553.46,159.99,5.84
JoAnna Connell Sch,2018,141.61,1894.72,2.54,0.0,118.92,6402.83
Joe Walker El Sch,2018,72.71,219.01,951.92,5640.34,1251.92,7417.86
John Adams #4,2018,122.73,944.9,676.1,4360.64,836.94,5398.02
John B. Stetson Charter School,2018,1824.73,538.6,9721.53,4098.19,0.0,0.0
John Beck El Sch,2018,22.68,143.01,1245.35,7852.45,517.7,3264.29
John F. Kennedy #7,2018,134.53,714.79,684.85,4677.13,847.78,5789.81
John G Whittier #2,2018,29.2,648.85,701.22,4699.23,868.03,5817.16
John Hancock Demonstration Sch,2018,33.8,1164.43,1712.72,9258.86,90.87,347.32
John R Bonfield El Sch,2018,22.88,134.37,1256.06,7378.04,522.15,3067.08
John Story Jenks Academy for the Arts and Sciences,2018,204.8,1210.02,1734.04,9620.12,90.87,369.6
Johnsonburg Area El Sch,2018,0.0,295.02,545.16,2545.35,2447.41,11426.94
Johnsonburg Area HS,2018,0.0,361.98,560.73,2064.7,2517.32,9269.15
Jonestown El Sch,2018,15.5,446.36,1390.26,6150.08,921.6,4076.88
Jordan Bank Sch,2018,510.78,646.68,4621.61,7135.96,2967.24,4581.54
Joseph C Ashkar El Sch,2018,5.16,464.05,826.28,4219.63,1051.63,5370.43
Joseph E Ferderbar El Sch,2018,607.7,56.02,2862.63,9193.13,918.42,2949.43
Juniata El Sch,2018,336.31,715.81,816.78,4675.82,933.79,5284.59
Juniata Gap El Sch,2018,294.96,595.71,461.57,2156.36,1155.9,5273.62
Juniata Park Academy,2018,212.18,1782.19,1818.43,7547.71,90.85,385.69
Juniata SHS,2018,0.0,0.0,0.0,0.0,0.0,0.0
Juniata Valley El Sch,2018,140.36,824.04,764.48,3852.58,1597.64,8454.48
Juniata Valley JSHS,2018,135.61,154.99,715.68,3227.41,1570.56,7082.53
KIPP DuBois Charter School,2018,77.85,1176.04,8836.95,5069.37,0.0,0.0
KIPP North Philadelphia CS,2018,0.5,1034.39,8906.92,6181.18,0.0,0.0
KIPP Philadelphia Charter School,2018,192.98,1132.95,14679.57,5077.42,0.0,0.0
KIPP West Philadelphia CS,2018,73.8,1021.47,9498.34,5848.75,0.0,0.0
KIPP West Philadelphia Preparatory Charter School,2018,194.37,979.85,8618.09,5581.23,0.0,0.0
Kane Area El Sch,2018,279.25,1004.14,387.82,2769.02,1000.09,7140.65
Kane Area HS,2018,149.38,116.66,635.21,3465.54,1638.06,8936.82
Kane Area MS,2018,105.58,70.27,424.22,3273.87,1093.97,8442.54
Karen A. Ionta El Sch,2018,32.48,469.65,942.64,6128.79,600.62,3905.06
Karns City HS,2018,89.82,467.14,1365.84,4590.58,3301.18,11095.29
Kathryn D. Markley El Sch,2018,21.2,274.27,3966.52,14778.71,619.06,2306.52
Kearny Gen Philip Sch,2018,197.62,2850.86,1822.67,10096.18,90.84,365.9
Keith Valley MS,2018,88.9,397.04,2159.11,12107.3,544.85,3055.25
Kelley William D Sch,2018,319.8,2423.91,2038.27,8622.34,99.16,458.57
Kelly El Sch,2018,38.3,211.16,1626.67,8967.45,568.13,3131.98
Kelly John B Sch,2018,193.08,2445.93,1751.42,8399.89,91.01,603.04
Kelly Primary Sch,2018,483.94,2107.26,802.94,14188.49,184.2,1677.92
Kenderton El Sch,2018,261.3,2127.54,1954.6,9190.04,90.91,427.35
Kennard-Dale HS,2018,0.69,0.0,1995.86,9496.71,1062.93,5057.3
Kennedy Early Childhood Center,2018,33.97,1526.92,758.52,2716.85,1525.46,5422.48
Kenneth N Butz Jr El Sch,2018,10.24,91.85,1875.02,15349.14,16.73,0.0
Kennett HS,2018,38.8,116.65,2611.57,10191.0,685.95,2675.22
Kennett MS,2018,26.04,108.88,2251.07,10020.87,588.61,2630.56
Kensington Creative & Performing Arts HS,2018,226.63,1640.65,1775.4,8508.52,90.68,171.86
Kensington HS,2018,229.09,2558.38,1897.86,11628.42,90.68,171.86
Kensington Health Sciences,2018,236.99,1724.46,1957.46,8163.56,90.68,171.86
Kernsville Sch,2018,21.52,909.43,1336.54,11711.83,309.59,2712.92
Kerr El Sch,2018,34.7,1047.15,2798.06,15800.99,692.97,3913.28
Key Francis Scott Sch,2018,243.53,1999.13,1837.53,8203.5,91.0,580.93
Keystone Academy Charter School,2018,88.2,1240.12,4445.05,6043.36,164.33,52.6
Keystone Education Center CS,2018,476.42,2661.62,4701.06,15775.87,340.7,16.33
Keystone El Sch,2018,36.89,694.69,791.65,3897.86,1847.21,9095.16
Keystone JSHS,2018,1.12,0.0,695.0,3888.97,1621.69,9074.42
Keystone Oaks HS,2018,0.0,589.59,2973.36,11200.13,924.08,3480.87
Keystone Oaks MS,2018,0.0,0.0,1706.13,10618.72,530.24,3300.17
Kimmel Alternative School,2018,0.0,0.0,637.86,6750.41,1489.59,15750.95
Kindergarten Academy,2018,14.6,155.84,959.9,10249.09,499.78,5336.27
Kindergarten Center at Filbert St,2018,33.82,412.97,1914.55,9740.41,20.29,88.05
King El Sch,2018,547.75,1275.67,1656.2,6054.95,2101.12,7681.54
King Martin Luther HS,2018,316.63,2162.49,1778.36,10272.35,91.05,583.06
Kings Highway El Sch,2018,14.28,593.61,84.96,9043.76,0.0,570.06
Kirkbride Eliza B Sch,2018,238.96,1284.78,1851.43,8619.46,96.61,401.03
Kiski Area East Primary Sch,2018,45.65,1184.47,875.74,4279.65,987.54,4825.99
Kiski Area HS,2018,89.1,553.59,1485.41,5856.25,1675.04,6603.86
Kiski Area IHS,2018,34.88,4.59,1035.5,5467.83,1167.69,6165.85
Kiski Area North Primary Sch,2018,45.64,255.2,865.26,4196.95,975.72,4732.73
Kiski Area South Primary Sch,2018,46.07,471.14,1166.51,5135.16,1315.42,5790.71
Kiski Area Upper El Sch,2018,45.78,7.21,1139.66,4802.65,1285.14,5415.75
Kissel Hill El Sch,2018,21.91,135.63,1203.26,7447.18,500.2,3095.82
Klein El Sch,2018,93.5,570.17,786.57,5743.1,676.95,4942.74
Klinger MS,2018,123.67,87.96,1259.22,12647.67,442.43,4443.78
Knoch HS,2018,0.0,0.0,4037.97,12423.77,0.0,0.0
Knoch MS,2018,0.0,0.0,3816.04,11740.96,0.0,0.0
Kratzer Sch,2018,21.56,383.01,1208.03,12471.21,279.83,2888.82
Kreutz Creek El Sch,2018,19.22,529.98,1254.84,7254.95,709.26,4100.66
Kunkel El Sch,2018,52.44,1151.26,2113.44,9487.97,38.86,419.39
Kutz El Sch,2018,21.26,31.62,1279.04,11184.35,339.41,2967.94
Kutztown Area MS,2018,0.0,0.0,2495.11,12973.62,975.92,5074.41
Kutztown Area SHS,2018,0.0,0.0,3631.32,12948.0,1420.33,5064.39
Kutztown El Sch,2018,112.25,192.45,1899.58,10562.06,742.99,4131.17
L B Morris El Sch,2018,4.56,713.69,615.3,4201.97,0.0,36.57
La Academia Partnership Charter School,2018,0.0,0.0,0.0,0.0,0.0,0.0
Laboratory CS,2018,152.19,947.34,4630.6,6099.43,119.94,81.24
Lack-Tuscarora El Sch,2018,0.0,0.0,0.0,0.0,0.0,0.0
Lackawanna Trail El Ctr,2018,0.0,795.33,1340.92,6360.32,1363.41,6466.99
Lackawanna Trail JSHS,2018,0.0,208.66,1635.36,8278.54,1662.79,8417.39
Lafayette El Sch,2018,46.52,1474.75,961.81,4018.89,1365.36,7289.99
Lafayette MS,2018,76.33,1423.06,1013.58,4459.9,1443.34,6968.88
Lake-Lehman JSHS,2018,0.0,92.8,1446.21,6800.93,1058.46,4977.53
Lake-Noxen El Sch,2018,0.0,820.99,1329.25,8156.72,972.86,5969.82
Lakeland El Sch - Mayfield Campus,2018,6.29,1353.72,1484.17,6503.46,1294.75,5673.47
Lakeland El Sch - Scott Campus,2018,0.0,124.84,1502.85,4965.93,1311.05,4332.16
Lakeland JSHS,2018,0.0,216.18,1670.19,5718.13,1457.04,4988.36
Lakeside Elementary School,2018,17.81,1071.75,1549.16,11413.2,805.18,5932.09
Lakeview El Sch,2018,298.4,0.0,2128.0,21259.15,9.8,0.96
Lakeview HS,2018,18.98,0.0,1098.27,4573.89,2229.83,9286.39
Lakeview MS,2018,18.82,0.0,1048.68,4367.36,2129.14,8867.06
Lamberton MS,2018,14.78,7.1,2435.81,6413.23,692.67,5552.64
Lamberton Robert E Sch,2018,191.17,1568.25,1698.71,9386.69,90.53,441.07
Lampeter El Sch,2018,18.27,253.18,1057.34,7181.96,233.46,3608.27
Lampeter-Strasburg SHS,2018,0.84,178.56,1804.66,10063.27,176.33,3354.83
Landis Run Intermediate School,2018,43.91,6.01,1527.05,8033.55,404.18,2126.32
Landisville Intrmd Ctr,2018,4.65,2.35,1316.62,8934.03,488.78,3316.68
Landisville MS,2018,4.6,17.1,1519.34,9892.47,564.04,3672.5
Landisville Pri Ctr,2018,4.59,2.32,1319.48,8072.61,489.84,2996.89
Lankenau HS,2018,269.07,776.35,1834.13,8852.1,90.68,171.86
Larry J. Macaluso El Sch,2018,13.91,80.05,337.82,8284.14,0.0,0.0
Lathrop Street El Sch,2018,5.8,699.15,1240.94,5283.05,1426.24,6526.17
Latrobe El Sch,2018,99.3,483.56,1929.11,9377.59,5.84,490.83
Lauers Park El Sch,2018,302.96,977.25,300.05,1572.65,1212.6,7328.41
Laurel El Sch,2018,225.26,369.27,2200.78,2151.14,4596.69,4493.02
Laurel HS,2018,56.58,64.73,2292.02,2762.25,4787.26,5769.43
Laurel Highlands MS,2018,0.0,0.0,1453.12,5877.29,1679.49,6792.86
