SchoolName,AcademicYearId,Federal-Non-Personnel,Federal-Personnel,Local-Non-Personnel,Local-Personnel,State-Non-Personnel,State-Personnel
Universal Creighton Charter School,2018,0.0,1425.63,3518.31,7787.13,0.0,164.02
Universal Daroff Charter School,2018,0.0,0.0,0.0,0.0,0.0,0.0
Universal Institute CS,2018,0.0,646.82,0.0,0.0,0.0,0.0
Universal Vare Charter School,2018,0.0,1662.95,8075.55,4209.43,0.0,334.33
University Park El Sch,2018,40.51,586.59,1304.09,10305.88,484.54,3829.19
Upper Adams MS,2018,0.0,0.0,1328.28,6201.04,994.21,4694.42
Upper Allen El Sch,2018,33.84,413.27,1882.34,10744.94,0.0,88.12
Upper Darby Kdg Ctr,2018,107.17,571.08,970.24,5284.11,716.21,3900.62
Upper Darby SHS,2018,0.0,5.04,1270.91,7309.1,938.16,5395.43
Upper Dauphin Area El Sch,2018,44.17,635.75,2470.01,11332.96,0.0,0.0
Upper Dauphin Area HS,2018,61.22,273.15,3622.63,13985.54,0.0,0.0
Upper Dauphin Area MS,2018,132.53,619.14,2595.01,11245.7,0.0,0.0
Upper Dublin HS,2018,10.48,76.32,2046.72,14901.01,434.04,3159.99
Upper Merion HS,2018,53.99,47.9,2986.48,16862.22,503.4,2842.27
Upper Merion MS,2018,53.26,47.26,2666.88,13446.42,449.53,2266.51
Upper Moreland HS,2018,123.87,33.75,1053.64,13423.5,6.76,0.0
Upper Moreland Intermediate Sch,2018,181.62,271.17,497.98,10490.01,7.9,0.0
Upper Moreland MS,2018,154.29,42.04,922.74,13814.57,13.04,0.0
Upper Moreland Primary Sch,2018,157.97,167.56,345.57,10235.47,7.83,0.0
Upper Perkiomen HS,2018,27.79,118.69,2240.84,9569.72,1055.92,4509.41
Upper Perkiomen MS,2018,21.5,109.83,1733.6,8856.0,816.9,4173.1
Upper Providence El Sch,2018,40.21,166.7,1409.66,12045.84,372.48,3188.33
Upper Saint Clair HS,2018,10.01,377.15,3375.37,15548.78,18.12,269.6
Urban Academy of Greater Pittsburgh CS,2018,0.0,592.93,5204.42,11609.98,64.85,0.0
Urban Pathways 6-12 CS,2018,43.16,821.89,6496.53,12532.92,261.11,0.0
Urban Pathways K-5 College Charter School,2018,87.19,1003.2,7059.18,10218.85,105.56,28.44
Uwchlan Hills El Sch,2018,62.41,55.15,1569.13,9110.38,463.58,2691.55
Valley El Sch,2018,22.12,58.02,2996.56,12124.13,0.0,0.0
Valley El/MS,2018,24.26,13.25,204.07,4010.25,259.72,5356.99
Valley Forge El Sch,2018,15.49,65.04,2331.0,9784.24,440.11,1847.35
Valley Forge MS,2018,16.87,74.15,2538.65,11154.82,479.32,2106.13
Valley Grove El Sch,2018,0.24,595.49,664.2,3091.74,1823.45,8964.08
Valley JSHS,2018,23.96,180.08,2797.65,12898.71,0.0,0.0
Valley View El Ctr,2018,4.59,789.67,2028.19,2361.77,435.57,7284.82
Valley View El Sch,2018,1.45,249.4,1592.88,12478.39,570.71,2440.99
Valley View HS,2018,0.0,387.83,2097.91,5815.93,499.35,5683.78
Valley View Intrmd Sch,2018,4.3,740.63,1901.52,2214.28,408.36,6829.89
Valley View MS,2018,0.0,0.0,1723.26,5912.63,327.93,4248.56
Vare-Washington El Sch,2018,205.18,1335.91,1923.03,10018.95,97.2,376.93
Vaux HS: A Big Picture School,2018,191.82,1750.14,1676.18,8159.92,90.68,171.86
Verner El Sch,2018,0.0,1021.81,2711.77,13164.5,788.26,4661.82
Vernfield El Sch,2018,98.79,227.79,1877.44,10399.07,639.52,3513.71
Victory El Sch,2018,39.62,552.31,245.93,4698.86,382.88,7315.61
Vida Charter School,2018,39.85,381.01,3800.64,9680.91,110.92,0.0
Village Park Academy,2018,234.24,160.91,12524.44,60845.33,0.0,0.0
Vision Academy Charter School,2018,31.6,568.11,6458.77,6270.29,0.0,144.32
W B Evans Magnet Sch,2018,185.36,564.96,1919.87,5851.69,1758.68,5360.37
W R Croman Primary Sch,2018,9.71,483.32,913.32,3911.97,1552.21,6648.48
W W Evans Memorial El Sch,2018,86.8,485.36,1407.01,5040.86,907.15,5040.86
W.A. McCreery El Sch,2018,80.94,1255.39,1048.95,3862.8,2394.74,8818.76
W.G. Rice El Sch,2018,0.0,455.2,4361.12,8847.22,0.0,0.0
Wagner Gen Louis MS,2018,191.93,1667.93,2154.09,9868.55,90.68,171.86
Wallace El Sch,2018,26.77,154.27,1536.8,8856.52,576.35,3321.51
Wallenpaupack Area HS,2018,53.22,377.93,2485.79,14737.58,790.51,4686.74
Wallenpaupack Area MS,2018,0.0,343.75,2432.18,13592.49,773.46,4322.59
Wallenpaupack North Intrmd Sch,2018,5.09,940.34,2268.57,12600.97,721.44,4007.27
Wallenpaupack Pri Sch,2018,5.04,934.77,2268.77,12602.05,721.5,4007.61
Wallenpaupack South El Sch,2018,5.3,965.25,2269.28,12604.88,721.66,4008.52
Wallingford El Sch,2018,26.99,5.23,2113.24,12560.92,534.29,3175.74
Walnut Creek MS,2018,31.24,20.26,1607.02,7943.77,437.24,4387.87
Walnut Street El Sch,2018,185.56,565.57,1921.95,5858.02,1760.58,5366.16
Walt Disney El Sch,2018,111.65,315.82,1758.43,15415.1,0.0,0.0
Walter M Senkow El Sch,2018,106.83,794.3,1761.83,6775.61,1300.54,5001.61
Ward L Myers El Sch,2018,76.25,239.08,1058.41,5280.3,963.73,5270.85
Waring Laura W Sch,2018,245.55,2224.67,1990.72,10369.07,91.03,627.08
Warren Area El Ctr,2018,315.99,1101.84,1092.59,3710.81,1843.97,6262.77
Warren Area HS,2018,261.5,658.06,1353.69,5021.83,2284.64,8475.39
Warren L Miller El Sch,2018,173.33,358.68,1338.58,5216.18,1393.22,5429.09
Warren Snyder-John Girotti El Sch,2018,0.0,770.34,423.58,5028.39,0.0,0.0
Warrior Run HS,2018,0.0,0.0,1597.01,5287.29,1597.01,5287.29
Warrior Run MS,2018,0.0,169.77,1674.13,5091.79,1674.13,5091.79
Warwick El Sch,2018,24.85,157.9,1231.69,10569.32,326.85,2804.73
Warwick MS,2018,23.75,167.09,1304.18,9174.5,542.15,3813.87
Warwick SHS,2018,26.07,158.03,1431.58,8677.07,595.11,3607.09
Washington El Sch,2018,49.94,538.05,742.67,9493.21,200.11,2540.66
Washington George HS,2018,218.78,1378.95,1802.74,8731.44,90.64,233.19
Washington Grover Jr Sch,2018,257.62,1296.99,1822.11,9197.06,90.68,171.86
Washington HS,2018,0.0,0.0,0.0,0.0,0.0,0.0
Washington Heights El Sch,2018,21.25,598.56,1069.78,6567.15,0.0,0.0
Washington Intrmd Sch,2018,339.84,1053.15,774.09,2398.9,2417.55,7491.94
Washington Junior High School,2018,0.0,0.0,0.0,0.0,0.0,0.0
Washington Martha Sch,2018,221.76,2166.08,1896.18,8966.35,90.82,377.39
Washington Park El Sch,2018,0.0,0.0,0.0,0.0,0.0,0.0
Wasson Avenue El Sch,2018,422.32,913.35,803.41,4643.82,918.05,5232.48
Waterford El Sch,2018,80.52,658.44,657.75,6290.72,498.43,4766.97
Wattsburg Area El Ctr,2018,7.33,557.24,1926.71,6871.9,1955.74,6975.42
Wattsburg Area MS,2018,7.28,554.07,1688.7,5270.4,1714.14,5349.79
Waverly Sch,2018,77.95,201.49,2697.38,6972.79,1222.1,3159.16
Wayne El Sch,2018,100.38,100.91,2826.88,15801.37,526.86,2945.01
Wayne Highlands MS,2018,6.3,443.11,1508.25,10757.66,783.92,5591.37
Waynesboro Area MS,2018,0.0,0.0,867.34,4735.17,716.79,3913.22
Waynesboro Area SHS,2018,0.0,0.0,1103.78,4943.35,912.18,4085.27
Waynesburg Central El School,2018,25.55,653.43,1858.48,5909.52,1735.83,5519.53
Waynesburg Central HS,2018,0.0,0.0,1890.0,8011.99,1765.27,7483.25
Weatherly Area El Sch,2018,199.76,491.17,914.4,4837.81,1301.26,7318.5
Weatherly Area MS,2018,277.37,10.24,1437.36,6085.81,1963.36,8089.83
Weatherly Area SHS,2018,4.38,0.0,2406.86,8704.62,1717.35,11561.65
Webster Sch,2018,202.18,2762.11,1849.1,8312.5,95.17,590.37
Weigelstown El Sch,2018,21.04,347.62,1121.87,6904.35,722.7,4447.75
Weisenberg El Sch,2018,29.24,185.0,1629.07,11112.89,661.09,4509.68
Wellsboro Area HS,2018,0.0,0.0,1699.05,6734.36,1306.7,5179.24
Wellsville Campus,2018,67.85,646.66,1454.14,8556.2,766.42,4509.63
Welsh John Sch,2018,278.3,1918.07,1786.42,10555.62,90.95,411.83
Welsh Valley MS,2018,18.94,164.23,2230.26,19339.72,374.14,3244.4
Wendover MS,2018,26.81,172.98,2594.33,13044.71,0.0,126.83
Wescosville El Sch,2018,34.81,586.07,1466.98,9497.1,459.89,2977.3
West Allegheny MS,2018,32.12,176.21,1261.1,9143.82,1027.65,3698.42
West Allegheny SHS,2018,32.12,176.21,1261.09,9508.01,1027.64,3736.34
West Berwick El Sch,2018,30.1,1696.98,1506.4,10950.54,0.41,0.0
West Bradford El Sch,2018,62.41,55.15,1547.56,8385.38,457.21,2477.36
West Branch Area El Sch,2018,175.59,358.67,1890.02,3860.69,3977.43,8124.61
West Branch Area JSHS,2018,187.18,382.34,2014.79,4115.56,4240.0,8660.96
West Broad Street El Sch,2018,98.61,598.68,1829.65,10797.54,623.56,3646.44
West Chester Bayard Rustin HS,2018,117.65,18.84,1966.81,10786.43,547.53,3002.78
West Chester East HS,2018,117.64,18.84,2004.84,10750.09,558.12,2992.66
West Chester Henderson HS,2018,117.74,18.86,1998.59,10906.24,556.38,3036.13
West Crawford El Sch,2018,192.83,401.24,1315.73,2737.78,3286.25,6838.04
West Creek Hills El Sch,2018,57.56,740.95,1739.14,6068.95,745.35,2600.98
West End El Sch,2018,332.93,610.65,421.87,4598.63,584.64,5368.29
West Forest El Sch,2018,504.61,1963.89,5774.99,11777.45,4091.23,8343.61
West Forest JSHS,2018,535.66,212.28,5667.98,11559.22,4015.42,8189.01
West Greene El Ctr,2018,53.21,881.57,4745.77,1398.54,0.0,12458.8
West Greene JSHS,2018,52.85,90.4,7763.56,11015.29,0.0,6054.59
West Hanover El Sch,2018,126.21,42.22,2042.91,10832.05,665.13,3526.73
West Hazleton El/MS,2018,41.79,656.43,137.83,3330.29,175.98,4500.4
West Hempfield El Sch,2018,26.93,628.57,2388.83,10622.98,0.0,127.42
West Hempfield MS,2018,26.74,172.57,2575.93,14430.54,0.0,126.52
West Hills Intermediate Sch,2018,251.51,1053.16,1855.15,4229.51,2667.67,5950.28
West Hills Primary Sch,2018,262.94,892.3,1846.16,4021.2,2654.77,5872.13
West Manheim El Sch,2018,0.0,0.0,332.14,3451.59,802.91,8343.83
West Middlesex Area JSHS,2018,0.0,0.0,975.37,5378.18,704.37,8963.41
West Mifflin Area HS,2018,30.59,269.68,1381.06,9681.02,8.83,0.0
West Mifflin Area MS,2018,21.61,184.93,797.05,9345.44,0.0,0.0
West Newton El Sch,2018,72.29,898.97,1050.04,5195.29,1345.68,6657.99
West Oak Lane CS,2018,505.27,1235.65,5439.32,6229.34,104.41,119.58
West Penn Twp El Sch,2018,80.64,280.31,1371.77,4768.07,1116.18,3879.7
West Perry MS,2018,12.35,73.0,2927.27,5343.77,2630.39,4528.94
West Perry SHS,2018,12.16,40.48,2895.72,5286.16,2541.86,4562.66
West Phila. Achievement CES,2018,879.18,846.75,5320.33,6249.07,0.0,81.99
West Philadelphia HS,2018,273.45,1616.6,1742.9,9500.6,90.96,650.4
West Point El Sch,2018,26.87,173.41,2422.75,10343.83,0.0,127.14
West Pottsgrove El Sch,2018,38.71,1015.33,1719.42,11435.1,808.59,5377.6
West Reading El Ctr,2018,26.22,608.58,2020.89,9984.08,493.31,2437.19
West Rockhill El Sch,2018,21.73,320.99,1354.22,8982.87,4477.17,2970.38
West Scranton HS,2018,17.77,656.2,763.02,5829.02,944.54,7215.73
West Scranton Intrmd Sch,2018,150.41,627.26,766.79,4720.9,949.21,5843.99
West Shamokin JSHS,2018,378.6,928.04,3762.02,6563.84,5391.49,9204.66
West Snyder El Sch,2018,93.0,724.23,545.95,6591.53,0.0,1976.34
West View El Sch,2018,0.0,387.38,2001.72,12498.75,0.0,0.0
West Vincent El Sch,2018,0.1,0.19,3.25,18.38,0.83,4.7
West York Area HS,2018,38.06,166.85,2185.17,9578.99,819.52,3592.46
West York Area MS,2018,32.94,146.67,1891.21,8420.24,709.27,3157.89
Westbrook Park El Sch,2018,108.85,701.14,1092.92,6893.76,806.77,5088.83
Western Beaver Co JSHS,2018,0.0,0.0,4419.45,14823.2,0.0,0.0
Western Salisbury El Sch,2018,77.57,376.62,6812.31,11461.5,1896.02,3190.0
Western Wayne HS,2018,17.76,277.92,1200.93,12795.8,1742.05,4360.44
Western Wayne MS,2018,27.83,266.87,897.47,12833.12,1736.7,4347.06
Westfield Area El Sch,2018,13.34,1232.18,794.85,3863.13,1385.05,6466.1
Westlake MS,2018,32.6,184.52,1527.57,6064.57,456.1,4577.12
Westmont Hilltop El Sch,2018,116.27,318.95,1079.61,5355.5,692.67,3436.03
Westmont Hilltop JSHS,2018,146.48,107.7,1360.05,7029.26,872.6,4509.89
Westtown-Thornbury El Sch,2018,117.74,18.86,1826.6,8890.44,508.5,2474.96
Wexford El Sch,2018,15.61,205.46,1771.88,7686.74,414.2,1796.87
Wharton Sch,2018,87.25,883.8,1003.17,4814.57,1468.9,7524.54
Wheatland MS,2018,519.98,1034.06,1394.6,6317.05,1769.24,8014.05
White Deer El Sch,2018,109.52,474.71,970.46,4693.89,971.19,5132.85
Whitehall El Sch,2018,21.49,281.58,1612.66,9559.52,0.0,0.0
Whitehall HS,2018,6.46,76.99,1175.76,8606.8,591.88,3933.63
Whitehall-Coplay MS,2018,40.31,321.77,924.27,7851.73,477.97,3590.86
Whitemarsh El Sch,2018,4.02,22.82,2895.6,14462.02,635.58,3174.59
Whitfield El Sch,2018,12.74,503.04,790.71,8735.88,511.96,3142.24
Wickersham El Sch,2018,548.42,1089.09,1427.46,4420.79,1810.93,5608.38
Widener Memorial Sch,2018,196.09,2102.83,1671.49,5005.33,91.31,1111.93
Widener Partnership CS,2018,6.39,490.57,4861.92,9901.85,91.13,18.08
Wilkes-Barre Area SD STEM Academy,2018,0.0,0.0,0.0,0.0,0.0,1797.91
Wilkins El Sch,2018,113.95,1448.1,2324.25,9501.32,1468.06,6294.13
Willard Frances E Sch,2018,192.84,2491.88,1744.07,7447.83,91.03,596.56
William Allen HS,2018,136.24,988.21,624.0,4526.23,1125.79,8166.05
William Penn El Sch,2018,0.0,4.72,2.4,59.67,0.01,21.55
William Penn MS,2018,66.16,50.62,1770.11,15011.9,0.0,0.0
William Penn SHS,2018,185.59,833.49,804.21,3611.81,2103.32,9446.26
William Prescott #38,2018,214.62,944.89,687.85,4571.7,851.49,5659.3
William Tennent HS,2018,132.82,29.19,1373.22,12534.32,482.48,4403.95
Williams Township El Sch,2018,0.0,2.22,1722.86,6886.77,896.59,3583.94
Williams Valley El Sch,2018,9.07,543.12,776.78,9990.7,0.0,0.0
Williams Valley JSHS,2018,0.0,0.0,1056.2,10974.32,29.47,0.0
Williamsburg Community El Sch,2018,259.26,715.57,945.31,1547.22,959.48,6622.12
Williamsburg Community JSHS,2018,106.97,0.0,1772.69,2385.87,1229.25,9629.9
Williamson SHS,2018,0.59,57.68,778.69,4780.0,1341.52,8000.75
Williamsport Area MS,2018,162.98,450.37,827.53,5646.42,1063.97,7259.68
Williamsport Area SHS,2018,190.7,78.13,1163.26,6185.43,1495.62,7952.7
Willow Creek El Sch,2018,40.23,164.69,2000.87,8191.46,960.96,3934.11
Willow Dale El Sch,2018,123.67,344.37,1196.36,12403.36,420.34,4357.94
Willow Hill Sch,2018,110.46,467.72,1819.42,14819.44,0.0,0.0
Willow Lane El Sch,2018,5.59,43.01,1392.99,9014.02,436.7,2825.86
Wilmington Area El Sch,2018,0.0,2084.05,1703.17,5801.05,1790.41,6098.17
Wilmington Area HS,2018,0.0,0.0,1156.75,4052.45,1216.0,4260.01
Wilmington Area MS,2018,0.0,0.0,1097.38,3844.45,1153.59,4041.36
Wilson Area HS,2018,66.11,4.02,-5.7,8617.32,-2.96,4484.53
Wilson Area Intermediate Sch,2018,24.89,684.22,1546.02,7755.77,804.56,4036.18
Wilson Borough El Sch,2018,37.34,1333.43,1521.55,6923.94,791.83,3603.28
Wilson El Sch,2018,31.98,175.43,1255.54,7367.97,1023.12,3398.94
Wilson HS,2018,3.89,262.74,1053.86,8872.3,681.85,3223.79
Wilson MS,2018,15.19,7.3,2407.73,6605.68,684.63,5719.26
Wilson Southern MS,2018,5.41,229.32,917.56,9603.48,593.98,3441.97
Wilson West MS,2018,5.44,229.32,981.76,9774.03,635.51,3500.89
Wilson Woodrow MS,2018,196.79,1057.71,1755.65,8681.36,90.68,171.86
Wind Gap MS,2018,31.13,212.83,1088.77,7505.63,579.0,3991.46
Windber Area HS,2018,173.45,1081.11,1310.15,4038.06,3639.71,11218.11
Windber Area MS,2018,53.11,570.34,770.28,2841.89,2139.9,7895.04
Windber El Sch,2018,24.45,262.55,354.59,1308.24,985.08,3634.4
Winding Creek El Sch,2018,6.54,0.0,2290.46,6350.55,375.0,2097.51
Windsor Manor El Sch,2018,74.13,1065.85,1377.37,9780.35,1720.21,3732.59
Wingate El Sch,2018,55.08,1232.5,1309.86,6131.45,1377.03,6445.88
Wissahickon CS,2018,924.05,926.65,8476.38,5440.92,0.0,39.52
Wissahickon MS,2018,0.0,151.24,1716.99,15293.8,1173.21,2344.25
Wissahickon SHS,2018,0.75,213.25,1442.15,16740.89,1173.64,2626.4
Woodland El Sch,2018,289.18,464.96,882.11,3956.67,1961.75,8799.36
Woodland Hills Academy,2018,114.09,854.39,2280.28,7858.7,1339.21,5173.87
Woodland Hills Intermediate Sch,2018,113.47,1299.63,2419.42,8903.81,1420.93,5229.24
Woodland Hills JSHS,2018,109.6,499.22,2380.91,9979.94,1398.31,5861.29
Woodlyn El Sch,2018,298.87,1404.87,2079.36,21318.73,9.95,0.0
Woodrow Wilson MS,2018,143.59,1260.4,2.26,0.0,138.01,6076.26
Woodward El Sch,2018,66.0,1044.41,1095.22,4485.38,1215.62,5979.91
Worcester El Sch,2018,8.98,20.28,3161.45,10974.81,862.8,2995.15
Worrall El Sch,2018,28.49,136.91,1967.6,13245.83,402.23,2707.77
Wright Richard R Sch,2018,215.95,2134.91,2099.82,9203.26,99.94,540.97
Wrightstown El Sch,2018,0.0,0.0,1862.56,19350.45,0.0,0.0
Wrightsville El Sch,2018,20.42,594.43,1324.06,7207.47,753.68,4102.64
Wyalusing Valley El Sch,2018,14.03,556.61,1061.48,4210.62,1512.72,6000.6
Wyalusing Valley JSHS,2018,14.89,590.89,1215.33,5124.09,1731.98,7302.39
Wycallis El Sch,2018,0.0,0.0,0.0,155.05,0.0,0.0
Wyland El Sch,2018,266.38,243.17,1046.28,9272.34,397.23,3521.52
Wylandville El Sch,2018,13.88,211.36,1404.58,6575.58,575.93,2696.25
Wyncote El Sch,2018,5.14,18.7,5630.36,18835.98,2.37,4.35
Wyoming Area Intermediate Ctr,2018,135.3,601.62,1387.79,5684.78,1088.31,4457.99
Wyoming Area Kindergarten Ctr,2018,135.3,365.66,1417.09,6695.62,1111.28,5250.7
Wyoming Area Primary Ctr,2018,135.3,1322.01,1402.46,6069.57,1099.81,4759.75
Wyoming Area Sec Ctr,2018,0.0,0.0,1560.1,6427.43,1223.43,5040.38
Wyoming Valley West MS,2018,0.0,0.0,1053.1,6030.08,940.65,5385.28
Wyoming Valley West SHS,2018,0.0,0.0,1071.25,6133.99,956.86,5478.07
Wyomissing Area JSHS,2018,26.26,180.09,3063.43,11973.74,747.81,2922.88
Wyomissing Hills El Ctr,2018,29.18,1013.07,1786.07,9191.33,435.99,2243.67
Yellow Breeches MS,2018,0.0,106.73,4213.68,9889.7,0.0,0.0
York Academy Regional Charter School,2018,533.75,336.05,4768.77,8552.73,0.2,23.96
York Haven El Sch,2018,70.13,801.33,1233.15,8356.39,652.4,4420.96
York Suburban MS,2018,16.9,0.0,1769.52,12361.85,381.76,2437.72
York Suburban SHS,2018,0.56,0.0,2264.25,12033.18,381.76,2437.72
York Twp El Sch,2018,32.63,773.14,1434.13,8804.29,507.08,4133.14
Yorkshire El Sch,2018,9.12,672.14,1657.34,10910.01,382.27,2441.02
Yough Intrmd/MS Sch,2018,32.67,389.54,1218.46,5602.98,1561.51,7180.46
Yough SHS,2018,32.11,105.1,1370.52,5316.45,1756.39,6813.25
Young Scholars CS,2018,350.1,815.94,8832.66,6991.93,0.0,75.69
Young Scholars of Central PA CS,2018,0.0,0.0,0.0,0.0,0.0,0.0
Young Scholars of McKeesport Charter School,2018,114.92,2116.42,1573.49,10618.43,0.0,0.0
Young Scholars of Western Pennsylvania CS,2018,33.92,585.08,6506.67,11727.58,0.0,0.0
Youngsville El/MS,2018,376.54,1279.58,1132.61,4707.99,1911.51,7945.71
Youngsville HS,2018,243.13,565.13,1392.72,5960.01,2350.5,10058.78
Youth Build Phila CS,2018,0.0,0.0,0.0,0.0,0.0,0.0
Zephyr El Sch,2018,13.73,575.66,883.92,6791.17,445.19,3220.31
Ziegler William H Sch,2018,292.31,1815.61,1778.06,7668.94,90.76,427.1
6th Grade Center,2021,116464.0,7606.0,781826.0,4173863.0,236545.0,1265813.0
A J McMullen Sch,2021,90784.0,641323.0,194652.0,661174.0,287862.0,951603.0
A L Wilson El Sch,2021,388706.17,435821.23,184190.47,1022243.03,497996.46,2763842.27
AMY NW,2021,0.0,1933365.18,0.0,1558167.53,0.0,54615.51
Abington Heights HS,2021,187281.77,548939.78,2802543.37,8214507.57,1276930.63,3742798.92
Abington Heights MS,2021,193166.78,566189.28,2890608.5,8472634.42,1317055.99,3860409.97
Abington JHS,2021,465817.55,1081162.91,5352297.04,30785741.15,71614.61,125634.89
Abington SHS,2021,437990.47,1016576.24,5032560.7,28946657.81,67336.49,118129.7
Abraham Lincoln El Sch,2021,0.0,487.53,467.51,14024.62,0.0,0.0
Academy Park HS,2021,31183.37,1943100.39,91202.02,5682986.61,78940.95,4918974.35
Academy at Palumbo,2021,1645599.85,6610071.61,2942168.52,4800178.34,64017.7,256555.21
Academy at Westinghouse,2021,606619.69,1508124.87,1585037.44,0.0,3545130.31,4284217.42
Acmetonia El Sch,2021,339483.05,443775.2,318619.22,6337074.0,1263540.69,1210720.01
Adaire Alexander Sch,2021,647966.57,2702147.96,1043460.72,2371244.02,24237.8,284610.41
Adamstown El Sch,2021,4148.68,271837.2,403729.8,620101.26,171243.66,263018.51
Afton El Sch,2021,2166.4,230293.9,667995.92,6618432.11,215223.51,2132411.5
Akron El Sch,2021,36848.44,125133.77,476128.96,2616940.11,213913.01,1175726.72
Albert Gallatin Area SHS,2021,1055059.23,1023478.27,578919.8,2789581.07,1565227.61,7542200.67
Albert Gallatin North MS,2021,386667.24,361796.15,230341.15,1166765.01,622774.22,3154586.88
Albert Gallatin South MS,2021,378352.22,401152.14,220399.1,1014381.61,595893.87,2742587.63
Alburtis El Sch,2021,24842.65,574700.04,961247.54,3932738.96,303466.34,1241567.73
Aldan El Sch,2021,201829.23,166309.2,491964.18,1582627.36,465344.04,1496991.56
Aliquippa El Sch,2021,46524.21,633833.81,4878077.51,6025291.74,247406.41,359717.97
Aliquippa JSHS,2021,80172.45,481138.91,4686050.71,5508828.65,264802.54,125000.0
Allegheny-Clarion Valley Elem,2021,139503.93,646698.37,1021588.28,4675509.98,77214.86,156096.17
Allegheny-Clarion Valley HS,2021,132760.8,40989.98,1017631.65,5195745.31,72982.21,6585.43
Allen Dr Ethel Sch,2021,686590.22,3243236.72,1118386.81,3094656.5,22986.28,448962.53
Allen Ethan Sch,2021,1404643.18,5905289.46,2101875.42,4828798.8,48001.08,417774.05
Allen MS,2021,28797.0,459205.0,1830303.0,4028227.0,609836.0,1380959.0
Allison Park El Sch,2021,20847.18,1105902.76,2242595.85,3920271.3,1268420.19,2217318.92
Alloway Creek El Sch,2021,78281.51,520693.39,876698.74,5770226.57,547797.95,3605478.29
Altoona Area HS,2021,707540.06,4216119.33,967281.92,5552125.5,2124461.0,12352167.97
Altoona Area Jr HS,2021,595220.2,2356882.13,635856.62,5156476.28,1397019.53,11483762.17
Amanda E Stout El Sch,2021,0.0,0.0,1.0,1.0,1.0,1.0
Ambridge Area HS,2021,13606.67,1267178.01,2379314.21,6093524.55,0.01,0.01
Ambridge Area MS,2021,361.0,535639.61,311569.11,4940827.46,0.01,23524.4
Amos K Hutchinson El Sch,2021,298745.74,827118.48,1234330.76,3417413.65,931093.9,2577860.88
Amosland El Sch,2021,202290.58,16724.74,1428795.56,7016516.04,0.01,66228.78
Amy At Martin,2021,507519.54,3335800.56,913913.33,1993499.19,22259.19,77333.73
Amy NW,2021,352504.44,0.0,626958.42,0.0,13628.1,0.0
Anderson Add B Sch,2021,814658.93,3197097.22,1040457.72,3271167.42,24117.8,216116.58
Andrew Maier El Sch,2021,0.0,291818.66,73416.49,2051924.53,35844.25,1001814.5
Annville Cleona HS,2021,0.0,246177.48,0.0,3577806.07,1143769.02,0.0
Annville El Sch,2021,123512.69,225162.32,1795064.47,3272383.6,1046130.2,1907084.33
Annville-Cleona HS,2021,135040.54,0.0,1962603.82,0.0,0.0,2085078.86
Annville-Cleona MS,2021,57090.31,104075.03,829718.69,1512568.42,483544.63,881496.76
Antietam MS/HS,2021,153641.06,48161.79,701509.25,3542401.72,448505.91,2264814.21
Apollo-Ridge El Sch,2021,13698.93,0.0,0.0,0.0,0.0,0.0
Apollo-Ridge Elem Sch,2021,0.0,133814.34,760596.55,2578813.34,1475913.04,5004103.98
Apollo-Ridge HS,2021,11927.12,116506.88,1329924.91,1833017.55,2580676.33,3556911.34
Apollo-Ridge MS,2021,7679.88,75018.86,291838.81,1234899.58,566303.79,2396282.75
Appleman El Sch,2021,0.0,154852.55,0.0,0.0,0.0,0.0
Arcola Intrmd Sch,2021,230161.4,115777.11,2722515.11,9861445.31,680978.96,2466629.75
Ardmore Avenue El Sch,2021,503404.65,380884.69,1072262.45,3607344.44,1014242.44,0.0
Ardmore Avenue Sch,2021,0.0,0.0,0.0,0.0,0.0,3412151.4
Arlington Heights El Sch,2021,60983.71,663116.79,230012.44,3290141.41,121522.85,1738285.72
Armstrong JSHS,2021,2293919.1,2912555.56,4507692.24,7546735.95,6555550.8,10686983.58
Arrowhead El Sch,2021,41137.44,160494.44,1351620.54,5121145.08,338078.99,1280944.98
Arthur Chester A Sch,2021,405915.86,2359651.4,689216.01,2238675.68,16044.01,239816.33
Arthur Street El Sch,2021,84426.01,432449.76,150508.38,1384747.22,176683.74,1834896.9
Artman El Sch,2021,68800.23,497123.47,601847.28,3931598.22,400121.88,2613816.66
Arts Academy at Benjamin Rush,2021,926915.85,4152275.11,1508045.07,3677441.01,36360.68,145717.85
Asa Packer El Sch,2021,150618.0,152918.0,481781.0,4906366.0,46.0,1115.0
Asbury El Sch,2021,218775.49,252020.02,761257.45,3909150.46,350245.03,1798551.23
Aston El Sch,2021,131511.27,138583.7,751315.87,4407470.88,283831.81,1665052.56
Athens Area HS,2021,197831.0,86772.0,860481.0,3226613.0,1444242.0,5329639.0
Audrielle Lynch-Ellen Bustin El Sch,2021,243025.0,842406.0,751141.0,2781093.0,1269781.0,4865769.0
Austin Area El Sch,2021,170125.35,41125.26,127736.97,612114.81,175585.6,841405.17
Austin Area JSHS,2021,0.0,0.0,124464.01,559180.27,171086.64,768642.04
Avalon El Sch,2021,288632.0,356678.0,218021.0,2692878.0,285136.0,1837155.0
Avella Area JSHS,2021,157867.26,0.0,264347.35,1600035.47,458308.07,2774036.34
Avella El Center,2021,167856.09,380823.38,174900.33,1391136.26,303230.69,2411860.62
