DistrictName,SchoolName,EnrollmentNumber,Year
Sto-Rox SD,Sto-Rox Upper El Sch,313,2019-2020
Stroudsburg Area SD,B F Morey El Sch,242,2019-2020
Stroudsburg Area SD,Stroudsburg HS,1259,2019-2020
Stroudsburg Area SD,Chipperfield El Sch,872,2019-2020
Stroudsburg Area SD,Arlington Heights El Sch,259,2019-2020
Stroudsburg Area SD,Stroudsburg JHS,832,2019-2020
Stroudsburg Area SD,Stroudsburg MS,1187,2019-2020
Stroudsburg Area SD,Hamilton Twp El Sch,360,2019-2020
Sugar Valley Rural CS,Sugar Valley Rural CS,492,2019-2020
Sullivan County SD,Sullivan Co JSHS,282,2019-2020
Sullivan County SD,Sullivan Co El Sch,318,2019-2020
SUN Area Technical Institute,SUN Area Technical Institute,312,2019-2020
Susq-Cyber CS,Susq-Cyber CS,76,2019-2020
Susquehanna Community SD,Susquehanna Community JSHS,331,2019-2020
Susquehanna Community SD,Susquehanna Community El Sch,482,2019-2020
Susquehanna County CTC,Susquehanna County CTC,417,2019-2020
Susquehanna Township SD,Thomas W Holtzman Jr El Sch,725,2019-2020
Susquehanna Township SD,Susquehanna Twp MS,701,2019-2020
Susquehanna Township SD,Susquehanna Twp HS,719,2019-2020
Susquehanna Township SD,Sara Lindemuth El Sch,727,2019-2020
Susquenita SD,Susquenita HS,459,2019-2020
Susquenita SD,Susquenita El Sch,790,2019-2020
Susquenita SD,Susquenita MS,568,2019-2020
Sylvan Heights Science CS,Sylvan Heights Science CS,210,2019-2020
Tacony Academy CS,Tacony Academy CS,1074,2019-2020
Tamaqua Area SD,West Penn Twp El Sch,293,2019-2020
Tamaqua Area SD,Tamaqua Area SHS,690,2019-2020
Tamaqua Area SD,Tamaqua El Sch,626,2019-2020
Tamaqua Area SD,Tamaqua Area MS,543,2019-2020
TECH Freire CS,TECH Freire CS,513,2019-2020
The New Academy CS,The New Academy CS,142,2019-2020
The Philadelphia CS for Arts and Sciences at HR Edmunds,The Philadelphia CS for Arts and Sciences at HR Edmunds,1000,2019-2020
Tidioute Community CS,Tidioute Community CS,298,2019-2020
Titusville Area SD,Main Street El Sch,268,2019-2020
Titusville Area SD,Hydetown El Sch,225,2019-2020
Titusville Area SD,Titusville SHS,539,2019-2020
Titusville Area SD,Pleasantville El Sch,216,2019-2020
Titusville Area SD,Early Childhood Lc,239,2019-2020
Titusville Area SD,Titusville MS,452,2019-2020
Towanda Area SD,Morrow El Sch,373,2019-2020
Towanda Area SD,Towanda Area JSHS,651,2019-2020
Towanda Area SD,Towanda Area El Sch,477,2019-2020
Tredyffrin-Easttown SD,Tredyffrin-Easttown MS,1166,2019-2020
Tredyffrin-Easttown SD,Conestoga SHS,2243,2019-2020
Tredyffrin-Easttown SD,Devon El Sch,475,2019-2020
Tredyffrin-Easttown SD,Valley Forge El Sch,564,2019-2020
Tredyffrin-Easttown SD,Hillside El Sch,455,2019-2020
Tredyffrin-Easttown SD,New Eagle El Sch,530,2019-2020
Tredyffrin-Easttown SD,Valley Forge MS,1228,2019-2020
Tredyffrin-Easttown SD,Beaumont El Sch,513,2019-2020
Trinity Area SD,Trinity East El Sch,417,2019-2020
Trinity Area SD,Trinity SHS,1003,2019-2020
Trinity Area SD,Trinity MS,765,2019-2020
Trinity Area SD,Trinity West El Sch,443,2019-2020
Trinity Area SD,Trinity North El Sch,391,2019-2020
Trinity Area SD,Trinity South El Sch,269,2019-2020
Tri-Valley SD,Mahantongo El Sch,168,2019-2020
Tri-Valley SD,Hegins-Hubley El Sch,336,2019-2020
Tri-Valley SD,Tri-Valley JSHS,404,2019-2020
Troy Area SD,Troy Area JSHS,650,2019-2020
Troy Area SD,Troy Intrmd Sch,432,2019-2020
Troy Area SD,W R Croman Primary Sch,369,2019-2020
Tulpehocken Area SD,Tulpehocken JSHS,683,2019-2020
Tulpehocken Area SD,Bethel El Sch,359,2019-2020
Tulpehocken Area SD,Penn Bernville El Sch,378,2019-2020
Tunkhannock Area SD,Tunkhannock HS,920,2019-2020
Tunkhannock Area SD,Tunkhannock Area Primary Cntr,454,2019-2020
Tunkhannock Area SD,Tunkhannock STEM Academy,192,2019-2020
Tunkhannock Area SD,Tunkhannock Area Intermediate Sch,617,2019-2020
Turkeyfoot Valley Area SD,Turkeyfoot Valley Area El Sch,164,2019-2020
Turkeyfoot Valley Area SD,Turkeyfoot Valley Area JSHS,131,2019-2020
Tuscarora SD,Montgomery El Sch,242,2019-2020
Tuscarora SD,Mountain View El Sch,253,2019-2020
Tuscarora SD,St Thomas El Sch,327,2019-2020
Tuscarora SD,James Buchanan HS,695,2019-2020
Tuscarora SD,James Buchanan MS,583,2019-2020
Tuscarora SD,Mercersburg El Sch,252,2019-2020
Tussey Mountain SD,Tussey Mountain EL,367,2019-2020
Tussey Mountain SD,Tussey Mountain HS,258,2019-2020
Tussey Mountain SD,Tussey Mountain MS,301,2019-2020
Twin Valley SD,Twin Valley El Ctr,334,2019-2020
Twin Valley SD,Twin Valley MS,1020,2019-2020
Twin Valley SD,Robeson El Ctr,377,2019-2020
Twin Valley SD,Honey Brook El Ctr,356,2019-2020
Twin Valley SD,Twin Valley HS,1036,2019-2020
Tyrone Area SD,Tyrone Area MS,545,2019-2020
Tyrone Area SD,Tyrone Area El Sch,799,2019-2020
Tyrone Area SD,Tyrone Area HS,561,2019-2020
Union Area SD,Union Memorial El Sch,362,2019-2020
Union Area SD,Union Area HS,190,2019-2020
Union Area SD,Union Area MS,173,2019-2020
Union City Area SD,Union City HS,313,2019-2020
Union City Area SD,Union City El Sch,470,2019-2020
Union City Area SD,Union City MS,262,2019-2020
Union SD,Union HS,264,2019-2020
Union SD,Rimersburg El Sch,173,2019-2020
Union SD,Sligo El Sch,132,2019-2020
Uniontown Area SD,Marclay Sch,116,2019-2020
Uniontown Area SD,Menallen Sch,330,2019-2020
Uniontown Area SD,Ben Franklin Sch,512,2019-2020
Uniontown Area SD,Uniontown Area SHS,780,2019-2020
Uniontown Area SD,Wharton Sch,191,2019-2020
Uniontown Area SD,Franklin Sch,152,2019-2020
Uniontown Area SD,A J McMullen Sch,147,2019-2020
Uniontown Area SD,Lafayette El Sch,272,2019-2020
Uniontown Area SD,Lafayette MS,172,2019-2020
Unionville-Chadds Ford SD,Chadds Ford El Sch,363,2019-2020
Unionville-Chadds Ford SD,Unionville El Sch,334,2019-2020
Unionville-Chadds Ford SD,Unionville HS,1324,2019-2020
Unionville-Chadds Ford SD,Charles F Patton MS,992,2019-2020
Unionville-Chadds Ford SD,Hillendale El Sch,364,2019-2020
Unionville-Chadds Ford SD,Pocopson El Sch,555,2019-2020
United SD,United JSHS,478,2019-2020
United SD,United El Sch,511,2019-2020
Universal Alcorn CS,Universal Alcorn CS,532,2019-2020
Universal Audenried CS,Universal Audenried CS,527,2019-2020
Universal Bluford CS,Universal Bluford CS,517,2019-2020
Universal Creighton CS,Universal Creighton CS,734,2019-2020
Universal Daroff CS,Universal Daroff CS,709,2019-2020
Universal Institute CS,Universal Institute CS,647,2019-2020
Universal Vare CS,Universal Vare CS,277,2019-2020
Upper Adams SD,Arendtsville El Sch,196,2019-2020
Upper Adams SD,Bendersville El Sch,172,2019-2020
Upper Adams SD,Biglerville HS,521,2019-2020
Upper Adams SD,Upper Adams MS,293,2019-2020
Upper Adams SD,Biglerville El Sch,464,2019-2020
Upper Bucks County Technical School,Upper Bucks County Technical School,743,2019-2020
Upper Darby SD,Aronimink El Sch,255,2019-2020
Upper Darby SD,Bywood El Sch,725,2019-2020
Upper Darby SD,Garrettford El Sch,558,2019-2020
Upper Darby SD,Highland Park El Sch,805,2019-2020
Upper Darby SD,Hillcrest El Sch,669,2019-2020
Upper Darby SD,Stonehurst Hills El Sch,537,2019-2020
Upper Darby SD,Westbrook Park El Sch,519,2019-2020
Upper Darby SD,Beverly Hills MS,1542,2019-2020
Upper Darby SD,Drexel Hill MS,1442,2019-2020
Upper Darby SD,Upper Darby SHS,3845,2019-2020
Upper Darby SD,Primos El Sch,505,2019-2020
Upper Darby SD,Upper Darby Kdg Ctr,598,2019-2020
Upper Darby SD,Walter M Senkow El Sch,280,2019-2020
Upper Darby SD,Charles Kelly El Sch,337,2019-2020
Upper Dauphin Area SD,Upper Dauphin Area MS,351,2019-2020
Upper Dauphin Area SD,Upper Dauphin Area HS,364,2019-2020
Upper Dauphin Area SD,Upper Dauphin Area El Sch,383,2019-2020
Upper Dublin SD,Jarrettown El Sch,433,2019-2020
Upper Dublin SD,Fitzwater El Sch,406,2019-2020
Upper Dublin SD,Sandy Run MS,981,2019-2020
Upper Dublin SD,Upper Dublin HS,1291,2019-2020
Upper Dublin SD,Fort Washington El Sch,501,2019-2020
Upper Dublin SD,Maple Glen El Sch,467,2019-2020
Upper Merion Area SD,Candlebrook El Sch,332,2019-2020
Upper Merion Area SD,Roberts El Sch,271,2019-2020
Upper Merion Area SD,Upper Merion MS,1368,2019-2020
Upper Merion Area SD,Upper Merion HS,1198,2019-2020
Upper Merion Area SD,Caley El Sch,384,2019-2020
Upper Merion Area SD,Bridgeport El Sch,259,2019-2020
Upper Merion Area SD,Gulph EL Sch,412,2019-2020
Upper Moreland Township SD,Upper Moreland HS,922,2019-2020
Upper Moreland Township SD,Upper Moreland MS,724,2019-2020
Upper Moreland Township SD,Upper Moreland Primary Sch,744,2019-2020
Upper Moreland Township SD,Upper Moreland Intermediate Sch,805,2019-2020
Upper Perkiomen SD,Upper Perkiomen MS,825,2019-2020
Upper Perkiomen SD,Upper Perkiomen HS,1045,2019-2020
Upper Perkiomen SD,Hereford El Sch,508,2019-2020
Upper Perkiomen SD,Marlborough El Sch,468,2019-2020
Upper Perkiomen SD,Upper Perkiomen 4th and 5th Grade Center,543,2019-2020
Upper Saint Clair SD,Streams El Sch,499,2019-2020
Upper Saint Clair SD,Eisenhower El Sch,519,2019-2020
Upper Saint Clair SD,Fort Couch MS,658,2019-2020
Upper Saint Clair SD,Upper Saint Clair HS,1392,2019-2020
Upper Saint Clair SD,Baker El Sch,410,2019-2020
Upper Saint Clair SD,Boyce MS,604,2019-2020
Urban Academy of Greater Pittsburgh CS,Urban Academy of Greater Pittsburgh CS,318,2019-2020
Urban Pathways 6-12 CS,Urban Pathways 6-12 CS,325,2019-2020
Urban Pathways K-5 College CS,Urban Pathways K-5 College CS,277,2019-2020
Valley Grove SD,Rocky Grove JSHS,387,2019-2020
Valley Grove SD,Valley Grove El Sch,411,2019-2020
Valley View SD,Valley View HS,756,2019-2020
Valley View SD,Valley View El Ctr,543,2019-2020
Valley View SD,Valley View MS,597,2019-2020
Valley View SD,Valley View Intrmd Sch,580,2019-2020
Venango Technology Center,Venango Technology Center,517,2019-2020
Vida CS,Vida CS,245,2019-2020
Vision Academy CS,Vision Academy CS,374,2019-2020
Wallenpaupack Area SD,Wallenpaupack South El Sch,284,2019-2020
Wallenpaupack Area SD,Wallenpaupack Area HS,1001,2019-2020
Wallenpaupack Area SD,Wallenpaupack Area MS,704,2019-2020
Wallenpaupack Area SD,Wallenpaupack North Intrmd Sch,478,2019-2020
Wallenpaupack Area SD,Wallenpaupack Pri Sch,473,2019-2020
Wallingford-Swarthmore SD,Nether Providence El Sch,549,2019-2020
Wallingford-Swarthmore SD,Wallingford El Sch,525,2019-2020
Wallingford-Swarthmore SD,Strath Haven MS,866,2019-2020
Wallingford-Swarthmore SD,Swarthmore-Rutledge Sch,613,2019-2020
Wallingford-Swarthmore SD,Strath Haven HS,1194,2019-2020
Warren County AVTS,Warren County AVTS,344,2019-2020
Warren County SD,Youngsville El Sch,333,2019-2020
Warren County SD,Youngsville MS/HS,399,2019-2020
Warren County SD,Eisenhower M/HS,470,2019-2020
Warren County SD,Sheffield M/HS,273,2019-2020
Warren County SD,Beaty-Warren MS,662,2019-2020
Warren County SD,Warren Area HS,696,2019-2020
Warren County SD,Warren Area El Ctr,730,2019-2020
Warren County SD,Sheffield Area El Sch,216,2019-2020
Warren County SD,Eisenhower El Sch,338,2019-2020
Warrior Run SD,Warrior Run MS,568,2019-2020
Warrior Run SD,Warrior Run HS,509,2019-2020
Warrior Run SD,Turbotville El Sch,433,2019-2020
Warwick SD,Lititz El Sch,490,2019-2020
Warwick SD,John Beck El Sch,490,2019-2020
Warwick SD,Warwick SHS,1309,2019-2020
Warwick SD,Kissel Hill El Sch,536,2019-2020
Warwick SD,Warwick MS,665,2019-2020
Warwick SD,John R Bonfield El Sch,543,2019-2020
Washington SD,Washington HS,433,2019-2020
Washington SD,Washington Junior High School,194,2019-2020
Washington SD,Washington Park El Sch,847,2019-2020
Wattsburg Area SD,Seneca HS,439,2019-2020
Wattsburg Area SD,Wattsburg Area MS,411,2019-2020
Wattsburg Area SD,Wattsburg Area El Ctr,472,2019-2020
Wayne Highlands SD,Stourbridge Primary Ctr,415,2019-2020
Wayne Highlands SD,Honesdale HS,780,2019-2020
Wayne Highlands SD,Damascus Area Sch,288,2019-2020
Wayne Highlands SD,Preston Sch,167,2019-2020
Wayne Highlands SD,Wayne Highlands MS,429,2019-2020
Wayne Highlands SD,Lakeside Elementary School,389,2019-2020
Waynesboro Area SD,Fairview Avenue El Sch,709,2019-2020
Waynesboro Area SD,Hooverville El Sch,322,2019-2020
Waynesboro Area SD,Mowrey El Sch,412,2019-2020
Waynesboro Area SD,Waynesboro Area SHS,1279,2019-2020
Waynesboro Area SD,Summitview El Sch,537,2019-2020
Waynesboro Area SD,Waynesboro Area MS,1148,2019-2020
Weatherly Area SD,Weatherly Area SHS,179,2019-2020
Weatherly Area SD,Weatherly Area El Sch,315,2019-2020
Weatherly Area SD,Weatherly Area MS,161,2019-2020
Wellsboro Area SD,Charlotte Lappla El Sch,232,2019-2020
Wellsboro Area SD,Rock L Butler MS,456,2019-2020
Wellsboro Area SD,Wellsboro Area HS,480,2019-2020
Wellsboro Area SD,Don Gill El Sch,375,2019-2020
West Allegheny SD,West Allegheny SHS,1014,2019-2020
West Allegheny SD,McKee El Sch,501,2019-2020
West Allegheny SD,Wilson El Sch,508,2019-2020
West Allegheny SD,West Allegheny MS,757,2019-2020
West Allegheny SD,Donaldson Elem Sch,560,2019-2020
West Branch Area SD,West Branch Area HS,295,2019-2020
West Branch Area SD,West Branch Area El Sch,334,2019-2020
West Branch Area SD,West Branch MS,334,2019-2020
West Chester Area SD,East Bradford El Sch,410,2019-2020
West Chester Area SD,East Goshen El Sch,442,2019-2020
West Chester Area SD,Stetson MS,863,2019-2020
West Chester Area SD,E N Peirce MS,1090,2019-2020
West Chester Area SD,West Chester Henderson HS,1333,2019-2020
West Chester Area SD,Fern Hill El Sch,548,2019-2020
West Chester Area SD,Exton El Sch,593,2019-2020
West Chester Area SD,Mary C Howse El Sch,622,2019-2020
West Chester Area SD,Westtown-Thornbury El Sch,539,2019-2020
West Chester Area SD,Glen Acres El Sch,576,2019-2020
West Chester Area SD,Penn Wood El Sch,503,2019-2020
West Chester Area SD,J R Fugett MS,870,2019-2020
West Chester Area SD,West Chester East HS,1234,2019-2020
West Chester Area SD,Hillsdale El Sch,572,2019-2020
West Chester Area SD,Sarah W Starkweather El Sch,578,2019-2020
West Chester Area SD,West Chester Bayard Rustin HS,1296,2019-2020
West Greene SD,West Greene El Ctr,340,2019-2020
West Greene SD,West Greene JSHS,295,2019-2020
West Jefferson Hills SD,Pleasant Hills MS,713,2019-2020
West Jefferson Hills SD,Gill Hall El Sch,318,2019-2020
West Jefferson Hills SD,McClellan El Sch,397,2019-2020
West Jefferson Hills SD,Thomas Jefferson HS,917,2019-2020
West Jefferson Hills SD,Jefferson Hills Intermediate Sch,741,2019-2020
West Middlesex Area SD,West Middlesex Area JSHS,408,2019-2020
West Middlesex Area SD,Luther W Low El Sch,235,2019-2020
West Middlesex Area SD,Oakview El Sch,181,2019-2020
West Mifflin Area SD,Clara Barton El Sch,239,2019-2020
West Mifflin Area SD,West Mifflin Area MS,1047,2019-2020
West Mifflin Area SD,West Mifflin Area HS,956,2019-2020
West Mifflin Area SD,Homeville El Sch,480,2019-2020
West Oak Lane CS,West Oak Lane CS,1037,2019-2020
West Perry SD,Carroll El Sch,377,2019-2020
West Perry SD,West Perry SHS,712,2019-2020
West Perry SD,West Perry MS,563,2019-2020
West Perry SD,New Bloomfield El Sch,384,2019-2020
West Perry SD,Blain El Sch,288,2019-2020
West Phila. Achievement CES,West Phila. Achievement CES,659,2019-2020
West Shore SD,Hillside El Sch,609,2019-2020
West Shore SD,Cedar Cliff HS,1290,2019-2020
West Shore SD,Washington Heights El Sch,419,2019-2020
West Shore SD,Lower Allen El Sch,208,2019-2020
West Shore SD,Highland El Sch,467,2019-2020
West Shore SD,Rossmoyne El Sch,181,2019-2020
West Shore SD,Allen MS,533,2019-2020
West Shore SD,Fishing Creek El Sch,479,2019-2020
West Shore SD,Newberry El Sch,285,2019-2020
West Shore SD,Fairview El Sch,235,2019-2020
West Shore SD,Red Land SHS,1107,2019-2020
West Shore SD,Red Mill El Sch,569,2019-2020
West Shore SD,Crossroads MS,697,2019-2020
West Shore SD,New Cumberland MS,619,2019-2020
West Side CTC,West Side CTC,577,2019-2020
West York Area SD,Lincolnway El Sch,441,2019-2020
West York Area SD,Trimmer El Sch,440,2019-2020
West York Area SD,West York Area HS,888,2019-2020
West York Area SD,West York Area MS,732,2019-2020
West York Area SD,Wallace El Sch,431,2019-2020
Western Area CTC,Western Area CTC,482,2019-2020
Western Beaver County SD,Fairview El Sch,349,2019-2020
Western Beaver County SD,Western Beaver Co JSHS,365,2019-2020
Western Montgomery CTC,Western Montgomery CTC,589,2019-2020
Western Wayne SD,Wilson El Sch,290,2019-2020
Western Wayne SD,Western Wayne HS,567,2019-2020
Western Wayne SD,Western Wayne MS,397,2019-2020
Western Wayne SD,EverGreen El Sch,563,2019-2020
Westinghouse Arts Academy CS,Westinghouse Arts Academy CS,216,2019-2020
Westmont Hilltop SD,Westmont Hilltop El Sch,736,2019-2020
Westmont Hilltop SD,Westmont Hilltop JSHS,748,2019-2020
Whitehall-Coplay SD,Whitehall HS,1509,2019-2020
Whitehall-Coplay SD,Whitehall-Coplay MS,1068,2019-2020
Whitehall-Coplay SD,George D Steckel El Sch,607,2019-2020
Whitehall-Coplay SD,Clarence M Gockley El Sch,570,2019-2020
Whitehall-Coplay SD,Zephyr El Sch,625,2019-2020
Widener Partnership CS,Widener Partnership CS,442,2019-2020
Wilkes-Barre Area CTC,Wilkes-Barre Area CTC,870,2019-2020
Wilkes-Barre Area SD,Dodson El Sch,568,2019-2020
Wilkes-Barre Area SD,James M Coughlin JSHS,898,2019-2020
Wilkes-Barre Area SD,G A R Memorial JSHS,934,2019-2020
Wilkes-Barre Area SD,Elmer L Meyers JSHS,890,2019-2020
Wilkes-Barre Area SD,Daniel J Flood El Sch,699,2019-2020
Wilkes-Barre Area SD,Heights/Murray El Sch,879,2019-2020
Wilkes-Barre Area SD,Dr David W Kistler El Sch,987,2019-2020
Wilkes-Barre Area SD,Solomon/Plains El Sch,848,2019-2020
Wilkes-Barre Area SD,Solomon/Plains JHS,486,2019-2020
Wilkes-Barre Area SD,Wilkes-Barre Area SD STEM Academy,60,2019-2020
Wilkinsburg Borough SD,Kelly Primary Sch,206,2019-2020
Wilkinsburg Borough SD,Turner Intermediate Sch,309,2019-2020
William Penn SD,Colwyn El Sch,145,2019-2020
William Penn SD,Ardmore Avenue Sch,549,2019-2020
William Penn SD,East Lansdowne El Sch,317,2019-2020
William Penn SD,W B Evans Magnet Sch,376,2019-2020
William Penn SD,Aldan El Sch,234,2019-2020
William Penn SD,Park Lane El Sch,402,2019-2020
William Penn SD,Bell Avenue School,320,2019-2020
William Penn SD,Penn Wood MS,730,2019-2020
William Penn SD,Walnut Street El Sch,386,2019-2020
William Penn SD,Penn Wood HS,1457,2019-2020
Williams Valley SD,Williams Valley JSHS,485,2019-2020
Williams Valley SD,Williams Valley El Sch,511,2019-2020
Williamsburg Community SD,Williamsburg Community El Sch,240,2019-2020
Williamsburg Community SD,Williamsburg Community JSHS,232,2019-2020
Williamsport Area SD,Cochran Primary Sch,442,2019-2020
Williamsport Area SD,Jackson Primary Sch,498,2019-2020
Williamsport Area SD,Curtin Intrmd Sch,517,2019-2020
Williamsport Area SD,Hepburn-Lycoming Primary Sch,320,2019-2020
Williamsport Area SD,Williamsport Area SHS,1526,2019-2020
Williamsport Area SD,Lycoming Valley Intrmd Sch,588,2019-2020
Williamsport Area SD,Stevens Primary Sch,258,2019-2020
Williamsport Area SD,Williamsport Area MS,772,2019-2020
Wilmington Area SD,Wilmington Area HS,371,2019-2020
Wilmington Area SD,Wilmington Area El Sch,378,2019-2020
Wilmington Area SD,Wilmington Area MS,323,2019-2020
Wilson Area SD,Avona El Sch,205,2019-2020
Wilson Area SD,Williams Township El Sch,255,2019-2020
Wilson Area SD,Wilson Area HS,708,2019-2020
Wilson Area SD,Wilson Area Intermediate Sch,716,2019-2020
Wilson Area SD,Wilson Borough El Sch,346,2019-2020
Wilson SD,Cornwall Terrace El Sch,521,2019-2020
Wilson SD,Wilson HS,1983,2019-2020
Wilson SD,Wilson West MS,728,2019-2020
Wilson SD,Wilson Southern MS,761,2019-2020
Wilson SD,Spring Ridge El Sch,512,2019-2020
Wilson SD,Shiloh Hills El Sch,563,2019-2020
Wilson SD,Green Valley El Sch,558,2019-2020
Wilson SD,Whitfield El Sch,592,2019-2020
Windber Area SD,Windber Area HS,353,2019-2020
Windber Area SD,Windber Area MS,267,2019-2020
Windber Area SD,Windber El Sch,581,2019-2020
Wissahickon CS,Wissahickon CS,952,2019-2020
Wissahickon SD,Wissahickon MS,1114,2019-2020
Wissahickon SD,Wissahickon SHS,1465,2019-2020
Wissahickon SD,Stony Creek El Sch,554,2019-2020
Wissahickon SD,Blue Bell El Sch,457,2019-2020
Wissahickon SD,Shady Grove El Sch,665,2019-2020
Wissahickon SD,Lower Gwynedd El Sch,593,2019-2020
Woodland Hills SD,Woodland Hills HS,1003,2019-2020
Woodland Hills SD,Edgewood El STEAM Academy,547,2019-2020
Woodland Hills SD,Wilkins El STEAM Academy,462,2019-2020
Woodland Hills SD,Turtle Creek EL STEAM Academy,559,2019-2020
Woodland Hills SD,Woodland Hills Intermediate Sch,720,2019-2020
Wyalusing Area SD,Wyalusing Valley JSHS,618,2019-2020
Wyalusing Area SD,Wyalusing Valley El Sch,714,2019-2020
Wyoming Area SD,Wyoming Area Primary Ctr,479,2019-2020
Wyoming Area SD,Wyoming Area Kindergarten Ctr,146,2019-2020
Wyoming Area SD,Wyoming Area Sec Ctr,1024,2019-2020
Wyoming Area SD,Wyoming Area Intermediate Ctr,481,2019-2020
Wyoming Valley West SD,Dana El Ctr,526,2019-2020
Wyoming Valley West SD,Schuyler Avenue El Sch,214,2019-2020
Wyoming Valley West SD,Third Avenue El Sch,124,2019-2020
Wyoming Valley West SD,Wyoming Valley West SHS,1249,2019-2020
Wyoming Valley West SD,Chester Street El Sch,209,2019-2020
Wyoming Valley West SD,Wyoming Valley West MS,1153,2019-2020
Wyoming Valley West SD,State El Ctr,1182,2019-2020
Wyomissing Area SD,West Reading El Ctr,296,2019-2020
Wyomissing Area SD,Wyomissing Hills El Ctr,706,2019-2020
Wyomissing Area SD,Wyomissing Area JSHS,904,2019-2020
York Academy Regional CS,York Academy Regional CS,850,2019-2020
York City SD,William Penn SHS,1441,2019-2020
York City SD,Davis Sch,538,2019-2020
York City SD,Devers Sch,745,2019-2020
York City SD,Ferguson Sch,731,2019-2020
York City SD,Goode Sch,645,2019-2020
York City SD,Jackson Sch,615,2019-2020
York City SD,McKinley Sch,644,2019-2020
York City SD,Hannah Penn,675,2019-2020
York City SD,Edgar Fahs Smith STEAM Academy,329,2019-2020
York Co School of Technology,York Co School of Technology,1698,2019-2020
York Suburban SD,East York El Sch,359,2019-2020
York Suburban SD,Valley View El Sch,337,2019-2020
York Suburban SD,York Suburban MS,721,2019-2020
York Suburban SD,York Suburban SHS,1005,2019-2020
York Suburban SD,Indian Rock El Sch,318,2019-2020
York Suburban SD,Yorkshire El Sch,335,2019-2020
Yough SD,Mendon El Sch,231,2019-2020
Yough SD,Yough Intrmd/MS Sch,556,2019-2020
Yough SD,H W Good El Sch,272,2019-2020
Yough SD,Yough SHS,639,2019-2020
Yough SD,West Newton El Sch,179,2019-2020
Young Scholars CS,Young Scholars CS,285,2019-2020
Young Scholars of Central PA CS,Young Scholars of Central PA CS,419,2019-2020
Young Scholars of Greater Allegheny CS,Young Scholars of Greater Allegheny CS,251,2019-2020
Young Scholars of Western Pennsylvania CS,Young Scholars of Western Pennsylvania CS,328,2019-2020
Youth Build Phila CS,Youth Build Phila CS,243,2019-2020
21st Century Cyber CS,21st Century Cyber CS,1235,2018-2019
A W Beattie Career Center,A W Beattie Career Center,779,2018-2019
Abington Heights School District,Abington Heights HS,1031,2018-2019
Abington Heights School District,Abington Heights MS,1119,2018-2019
Abington Heights School District,Clarks Summit El Sch,339,2018-2019
Abington Heights School District,Newton-Ransom Sch,253,2018-2019
Abington Heights School District,South Abington Sch,259,2018-2019
Abington Heights School District,Waverly Sch,356,2018-2019
Abington School District,Abington JHS,1960,2018-2019
Abington School District,Abington SHS,1808,2018-2019
Abington School District,Copper Beech Sch,1156,2018-2019
Abington School District,Highland Sch,500,2018-2019
Abington School District,McKinley Sch,754,2018-2019
Abington School District,Overlook Sch,587,2018-2019
Abington School District,Roslyn Sch,511,2018-2019
Abington School District,Rydal East Sch,636,2018-2019
Abington School District,Willow Hill Sch,425,2018-2019
Achievement House CS,Achievement House CS,494,2018-2019
ACT Academy Cyber CS,ACT Academy Cyber CS,76,2018-2019
Ad Prima CS,Ad Prima CS,634,2018-2019
Admiral Peary AVTS,Admiral Peary AVTS,531,2018-2019
Agora Cyber CS,Agora Cyber CS,5499,2018-2019
Albert Gallatin Area School District,A L Wilson El Sch,390,2018-2019
Albert Gallatin Area School District,Albert Gallatin Area SHS,1052,2018-2019
Albert Gallatin Area School District,Albert Gallatin North MS,388,2018-2019
Albert Gallatin Area School District,Albert Gallatin South MS,385,2018-2019
Albert Gallatin Area School District,Friendship Hill El Sch,220,2018-2019
Albert Gallatin Area School District,George J Plava El Sch,330,2018-2019
Albert Gallatin Area School District,Masontown El Sch,236,2018-2019
Albert Gallatin Area School District,Smithfield El Sch,312,2018-2019
Aliquippa School District,Aliquippa El Sch,591,2018-2019
Aliquippa School District,Aliquippa JSHS,419,2018-2019
Allegheny Valley School District,Acmetonia El Sch,503,2018-2019
Allegheny Valley School District,Springdale JSHS,414,2018-2019
Allegheny-Clarion Valley School District,Allegheny-Clarion Valley Elem,359,2018-2019
Allegheny-Clarion Valley School District,Allegheny-Clarion Valley HS,302,2018-2019
Allentown City School District,Building 21 Allentown,480,2018-2019
Allentown City School District,Central El Sch,754,2018-2019
Allentown City School District,Cleveland El Sch,292,2018-2019
Allentown City School District,Francis D Raub MS,918,2018-2019
Allentown City School District,Harrison-Morton MS,838,2018-2019
Allentown City School District,Hiram W Dodd El Sch,684,2018-2019
Allentown City School District,Jackson Early Childhood Center,270,2018-2019
Allentown City School District,Jefferson El Sch,562,2018-2019
Allentown City School District,Lehigh Parkway El Sch,348,2018-2019
Allentown City School District,Louis E Dieruff HS,1907,2018-2019
Allentown City School District,Luis A. Ramos El Sch,770,2018-2019
Allentown City School District,McKinley El Sch,255,2018-2019
Allentown City School District,Mosser El Sch,578,2018-2019
Allentown City School District,Muhlenberg El Sch,474,2018-2019
Allentown City School District,Ritter El Sch,601,2018-2019
Allentown City School District,Roosevelt El Sch,711,2018-2019
Allentown City School District,Sheridan El Sch,624,2018-2019
Allentown City School District,South Mountain MS,1136,2018-2019
Allentown City School District,Trexler MS,841,2018-2019
Allentown City School District,Union Terrace El Sch,734,2018-2019
Allentown City School District,Washington El Sch,439,2018-2019
