Name,DataElement,DisplayValue
HOPE for Hyndman CS,AverageDailyMembership(ADM),162.3
Hopewell Area SD,AverageDailyMembership(ADM),2168.05
Howard Gardner Multiple Intelligence CS,AverageDailyMembership(ADM),302.04
Huntingdon Area SD,AverageDailyMembership(ADM),1863.95
Huntingdon County CTC,AverageDailyMembership(ADM),NULL
Imhotep Institute CHS,AverageDailyMembership(ADM),570.79
Independence CS,AverageDailyMembership(ADM),786.02
Independence CS West,AverageDailyMembership(ADM),773.69
Indiana Area SD,AverageDailyMembership(ADM),2826.22
Indiana County Technology Center,AverageDailyMembership(ADM),NULL
Infinity CS,AverageDailyMembership(ADM),254.78
Innovative Arts Academy CS,AverageDailyMembership(ADM),510.5
Inquiry CS,AverageDailyMembership(ADM),260.22
Insight PA Cyber CS,AverageDailyMembership(ADM),4171.51
Interboro SD,AverageDailyMembership(ADM),3393.29
Iroquois SD,AverageDailyMembership(ADM),1135.45
Jamestown Area SD,AverageDailyMembership(ADM),418.98
Jeannette City SD,AverageDailyMembership(ADM),1013.35
Jefferson County-DuBois Area Vocational-Technical School,AverageDailyMembership(ADM),NULL
Jefferson-Morgan SD,AverageDailyMembership(ADM),780.83
Jenkintown SD,AverageDailyMembership(ADM),727.21
Jersey Shore Area SD,AverageDailyMembership(ADM),2364.18
Jim Thorpe Area SD,AverageDailyMembership(ADM),2116.77
Johnsonburg Area SD,AverageDailyMembership(ADM),540.14
Juniata County SD,AverageDailyMembership(ADM),2531.38
Juniata Valley SD,AverageDailyMembership(ADM),730.34
Kane Area SD,AverageDailyMembership(ADM),1015.95
Karns City Area SD,AverageDailyMembership(ADM),1352.46
Kennett Consolidated SD,AverageDailyMembership(ADM),4138.87
Keystone Academy CS,AverageDailyMembership(ADM),615.75
Keystone Central CTC,AverageDailyMembership(ADM),NULL
Keystone Central SD,AverageDailyMembership(ADM),4136.13
Keystone Education Center CS,AverageDailyMembership(ADM),208.82
Keystone Oaks SD,AverageDailyMembership(ADM),1925.02
Keystone SD,AverageDailyMembership(ADM),903.45
KIPP DuBois CS,AverageDailyMembership(ADM),516.69
KIPP North Philadelphia CS,AverageDailyMembership(ADM),484.14
KIPP Philadelphia CS,AverageDailyMembership(ADM),850.36
KIPP West Philadelphia CS,AverageDailyMembership(ADM),844.08
Kiski Area SD,AverageDailyMembership(ADM),3532.15
Kutztown Area SD,AverageDailyMembership(ADM),1448.19
La Academia Partnership CS,AverageDailyMembership(ADM),193.76
Laboratory CS,AverageDailyMembership(ADM),446.07
Lackawanna Trail SD,AverageDailyMembership(ADM),1008.33
Lake-Lehman SD,AverageDailyMembership(ADM),1708.08
Lakeland SD,AverageDailyMembership(ADM),1510.94
Lakeview SD,AverageDailyMembership(ADM),898.37
Lampeter-Strasburg SD,AverageDailyMembership(ADM),2890.14
Lancaster County CTC-Brownstown Campus,AverageDailyMembership(ADM),NULL
Lancaster SD,AverageDailyMembership(ADM),10182.25
Laurel Highlands SD,AverageDailyMembership(ADM),2817.04
Laurel SD,AverageDailyMembership(ADM),1037.57
Lawrence County CTC,AverageDailyMembership(ADM),NULL
Lebanon County CTC,AverageDailyMembership(ADM),NULL
Lebanon SD,AverageDailyMembership(ADM),5217.58
Leechburg Area SD,AverageDailyMembership(ADM),713.8
Lehigh Career & Technical Institute,AverageDailyMembership(ADM),NULL
Lehigh Valley Academy Regional CS,AverageDailyMembership(ADM),1798.66
Lehigh Valley Charter High School for th,AverageDailyMembership(ADM),596.23
Lehigh Valley Dual Language CS,AverageDailyMembership(ADM),455.21
Lehighton Area SD,AverageDailyMembership(ADM),2385.45
Lenape Tech,AverageDailyMembership(ADM),NULL
Lewisburg Area SD,AverageDailyMembership(ADM),1919.51
Life Male STEAM Academy CS,AverageDailyMembership(ADM),NULL
Ligonier Valley SD,AverageDailyMembership(ADM),1458.16
Lincoln CS,AverageDailyMembership(ADM),675.59
Lincoln Leadership Academy CS,AverageDailyMembership(ADM),776.78
Lincoln Park Performing Arts CS,AverageDailyMembership(ADM),708.44
Lindley Academy CS at Birney,AverageDailyMembership(ADM),743.81
Line Mountain SD,AverageDailyMembership(ADM),1106.12
Littlestown Area SD,AverageDailyMembership(ADM),2081.07
Lower Dauphin SD,AverageDailyMembership(ADM),3761.16
Lower Merion SD,AverageDailyMembership(ADM),8589.27
Lower Moreland Township SD,AverageDailyMembership(ADM),2546.17
Loyalsock Township SD,AverageDailyMembership(ADM),1598.37
Lycoming CTC,AverageDailyMembership(ADM),NULL
Mahanoy Area SD,AverageDailyMembership(ADM),1090.92
Manchester Academic CS,AverageDailyMembership(ADM),369.95
Manheim Central SD,AverageDailyMembership(ADM),2946.28
Manheim Township SD,AverageDailyMembership(ADM),6064.97
Mariana Bracetti Academy CS,AverageDailyMembership(ADM),1494.35
Marion Center Area SD,AverageDailyMembership(ADM),1223.41
Maritime Academy CS,AverageDailyMembership(ADM),796.06
Marple Newtown SD,AverageDailyMembership(ADM),3735.11
Mars Area SD,AverageDailyMembership(ADM),3573.01
MAST Community CS,AverageDailyMembership(ADM),1493.25
MaST Community CS II,AverageDailyMembership(ADM),1598.45
MaST Community CS III,AverageDailyMembership(ADM),1111.55
Mastery CHS-Lenfest Campus,AverageDailyMembership(ADM),581.82
Mastery CS - Mann Campus,AverageDailyMembership(ADM),532.47
Mastery CS - Shoemaker Campus,AverageDailyMembership(ADM),746.57
Mastery CS - Thomas Campus,AverageDailyMembership(ADM),1262.56
Mastery CS John Wister Elementary,AverageDailyMembership(ADM),492.53
Mastery CS-Cleveland Elementary,AverageDailyMembership(ADM),689.72
Mastery CS-Clymer Elementary,AverageDailyMembership(ADM),446.69
Mastery CS-Francis D. Pastorius Elementa,AverageDailyMembership(ADM),620.83
Mastery CS-Gratz Campus,AverageDailyMembership(ADM),1256.77
Mastery CS-Hardy Williams,AverageDailyMembership(ADM),1148.28
Mastery CS-Harrity Campus,AverageDailyMembership(ADM),779.9
Mastery CS-Pickett Campus,AverageDailyMembership(ADM),854.57
Mastery CS-Smedley Campus,AverageDailyMembership(ADM),747.09
Mastery Prep Elementary CS,AverageDailyMembership(ADM),455.34
Math Civics and Sciences CS,AverageDailyMembership(ADM),921.97
McGuffey SD,AverageDailyMembership(ADM),1615.88
McKeesport Area SD,AverageDailyMembership(ADM),3790.61
McKeesport Area Tech Ctr,AverageDailyMembership(ADM),NULL
Mechanicsburg Area SD,AverageDailyMembership(ADM),4543.24
Memphis Street Academy CS @ JP Jones,AverageDailyMembership(ADM),560.42
Mercer Area SD,AverageDailyMembership(ADM),1059.84
Mercer County Career Center,AverageDailyMembership(ADM),NULL
Methacton SD,AverageDailyMembership(ADM),4628.29
Meyersdale Area SD,AverageDailyMembership(ADM),799.16
Mid Valley SD,AverageDailyMembership(ADM),2019.06
Midd-West SD,AverageDailyMembership(ADM),2084.78
Middle Bucks Institute of Technology,AverageDailyMembership(ADM),NULL
Middletown Area SD,AverageDailyMembership(ADM),2555.08
Midland Borough SD,AverageDailyMembership(ADM),354.97
Mifflin County Academy of Science and Te,AverageDailyMembership(ADM),NULL
Mifflin County SD,AverageDailyMembership(ADM),4925.21
Mifflinburg Area SD,AverageDailyMembership(ADM),1921.91
Millcreek Township SD,AverageDailyMembership(ADM),6393.62
Millersburg Area SD,AverageDailyMembership(ADM),805.51
Millville Area SD,AverageDailyMembership(ADM),615.17
Milton Area SD,AverageDailyMembership(ADM),1949.17
Minersville Area SD,AverageDailyMembership(ADM),1205.37
Mohawk Area SD,AverageDailyMembership(ADM),1513.43
Mon Valley CTC,AverageDailyMembership(ADM),NULL
Monessen City SD,AverageDailyMembership(ADM),714.5
Moniteau SD,AverageDailyMembership(ADM),1225.93
Monroe Career & Tech Inst,AverageDailyMembership(ADM),NULL
Montessori Regional CS,AverageDailyMembership(ADM),540.95
