FRANKLIN COUNTY CAREER AND TECHNOLOGY CENTER,325657,6270019.66,1313854.71,8040949.23,8021921.71,2016
FRANKLIN REGIONAL SD,349840,37954106.52,16224241.82,55618826.43,54530379.72,2016
FRANKLIN TOWNE CHS,1517722,14490334,120437,22830799,21716056,2016
FRANKLIN TOWNE CHARTER ELEMENTARY SCHOOL,1082320,9629018,103359,12484042,10814697,2016
FRAZIER SD,419517.7,5903271.78,12034654.81,18268615.4,19151293.29,2016
FREDERICK DOUGLASS MASTERY CHARTER SCHOOL,1606174,10117948,100006,10846279,11824128,2016
FREEDOM AREA SD,500851.82,8910973.35,12884498.5,23145941.77,22354841.55,2016
FREEPORT AREA SD,251316.82,16515748.32,12986773,31124391.04,29754403.14,2016
FREIRE CS,1318273,11463267,255686,12943445,13037226,2016
FULTON COUNTY AREA VOCATIONAL-TECHNICAL SCHOOL,30463,637641,250171,918275,918275,2016
GALETON AREA SD,153385.43,3478118.06,3774621.12,7174161.3,7406124.61,2016
GARNET VALLEY SD,549167.26,81298269.32,17516515.43,99243048.92,99363952.01,2016
GATEWAY SD,1134941.87,51394777.7,18871240.8,88491012.38,90250643.58,2016
GENERAL MCLANE SD,411866,14326367,17556478,31694650.53,32301511,2016
GETTYSBURG AREA SD,1069469.89,41140472.47,17638866.76,58970520.5,59850700.92,2016
GETTYSBURG MONTESSORI CHARTER SCHOOL,49985,2325338,13121.44,2959864.2,3444942.44,2016
GILLINGHAM CHARTER SCHOOL,194209,3055747,63584,3223234,3313540,2016
GIRARD SD,1268873.74,9721341.23,15507369.05,32952349.03,33092584.02,2016
GLENDALE SD,948224.31,3178745.76,8799905.78,12874538.86,12926875.85,2016
GLOBAL LEADERSHIP ACADEMY CS,526510,7965902,67118,8883163,8559530,2016
GLOBAL LEADERSHIP ACADEMY CS SOUTHWEST AT HUEY,0,7018538,0,8839951,7018538,2016
GOVERNOR MIFFLIN SD,717615.24,49074803.49,17517840.08,67611060.78,67335258.81,2016
GREAT VALLEY SD,539483.62,79829787.44,14306073.23,95643746.73,94676251.79,2016
GREATER ALTOONA CAREER AND TECHNOLOGY CENTER,337949,5906690.89,1845568.28,8090208.17,8090208.17,2016
GREATER JOHNSTOWN CAREER AND TECHNOLOGY CENTER,128394.55,4714109.08,1041679.97,6272340.02,5884183.6,2016
GREATER JOHNSTOWN SD,4274491.27,14230009.65,30574434.39,50409077.35,49272723.31,2016
GREATER LATROBE SD,671488.62,34224645.33,20750727.23,74440855.21,75353619.45,2016
GREATER NANTICOKE AREA SD,1285869.77,9367468.6,18604466.85,29726072.91,29307805.22,2016
GREEN WOODS CS,588125,6511535,42411,7025881,7142071,2016
GREENCASTLE-ANTRIM SD,1521895.38,25053373.74,12895467.37,41806458.52,41789593.49,2016
GREENE COUNTY CAREER AND TECHNOLOGY CENTER,478987,2468746.85,599172.97,3475219.62,3546906.82,2016
GREENSBURG SALEM SD,912815.85,24678765.38,19096998.53,43416045.76,44688579.76,2016
GREENVILLE AREA SD,608545.14,7406917.77,11941212.69,20778332.34,19957925.6,2016
GREENWOOD SD,119551,6887205.78,6706813.48,13660116,13713570.26,2016
GROVE CITY AREA SD,1696157.84,21551938.86,16410415.31,39501780.78,39658512.01,2016
HOPE FOR HYNDMAN CHARTER SCHOOL,432740.51,2842444.78,32736.27,3149040.38,3307921.56,2016
HALIFAX AREA SD,336134.42,9888205.17,9939909.99,20123756.92,20520772.92,2016
HAMBURG AREA SD,445441.75,24755222.85,14626282.93,38904521.53,40047397.45,2016
HAMPTON TOWNSHIP SD,243251.41,35349655.1,13395095.35,49735543.23,48988029.78,2016
HANOVER AREA SD,777539.7,14829568.99,14231549.03,31604948.02,29863005.57,2016
HANOVER PUBLIC SD,722542,22948883,7643353,31018040,31314778,2016
HARAMBEE INSTITUTE OF SCIENCE AND TECHNOLOGY CS,715766,5202417,93596,11055183,12681779,2016
HARBOR CREEK SD,324507.4,17169344.84,16470758.68,34459771.72,33964610.92,2016
